site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Lundsfield Quarry, Kellet Road, Carnforth, LA5 9AD",,,2017-03-21,,13.44,200,200,,local-authority-eng:LAC,not owned by a public authority,,https://planning.lancaster.gov.uk/online-applications/,permissioned,,POINT(-2.769003 54.123327),61,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2017-03-21,brownfield-land/local-authority-eng/LAC/61
"Keer Bridge, Warton Road, Carnforth",yes,,2018-02-15,,2.43,30,30,"Site has a draft allocation in the Strategic Policies and Land Allocations DPD, Publication Version",local-authority-eng:LAC,not owned by a public authority,,https://planning.lancaster.gov.uk/online-applications/,not permissioned,,POINT(-2.76844 54.135051),75,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15,brownfield-land/local-authority-eng/LAC/75
"Norjac Service Station, Scotland Road, Carnforth, LA5 9JZ",,,2017-03-21,,0.31,24,24,,local-authority-eng:LAC,,,https://planning.lancaster.gov.uk/online-applications/,permissioned,,POINT(-2.766918 54.129749),76,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2017-03-21,brownfield-land/local-authority-eng/LAC/76
"Windermere Road Garages, Carnforth",yes,,2018-02-15,,0.19,8,8,"Site has a draft allocation in the Strategic Policies and Land Allocations DPD, Publication Version",local-authority-eng:LAC,owned by a public authority,,https://planning.lancaster.gov.uk/online-applications/,not permissioned,,POINT(-2.766751 54.120681),83,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15,brownfield-land/local-authority-eng/LAC/83
"Land West Of Mill Lane, Caton, LA2 9HX",,,2017-03-21,,0.76,21,21,,local-authority-eng:LAC,not owned by a public authority,,,not permissioned,,POINT(-2.725239 54.076692),89,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2017-03-21,brownfield-land/local-authority-eng/LAC/89
"TNT Garage, Hornby Road, Caton, LA2 9JA",,,2017-03-21,,1.94,30,30,,local-authority-eng:LAC,not owned by a public authority,,https://planning.lancaster.gov.uk/online-applications/,permissioned,,POINT(-2.711941 54.077536),97,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2017-03-21,brownfield-land/local-authority-eng/LAC/97
"Burr Tree Meadow, A65, Cowan Bridge, LA6 2HS",,,2017-03-21,,0.58,18,18,,local-authority-eng:LAC,,,https://planning.lancaster.gov.uk/online-applications/,permissioned,,POINT(-2.560379 54.183573),119,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2017-03-21,brownfield-land/local-authority-eng/LAC/119
"Land East Of Village Hall, Bodie Hill, Glasson",yes,,2018-02-15,,0.18,5,5,,local-authority-eng:LAC,,,https://planning.lancaster.gov.uk/online-applications/,not permissioned,,POINT(-2.850593 53.998036),153,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15,brownfield-land/local-authority-eng/LAC/153
"Former Police Station, Heysham Road, Heysham, Heysham",yes,,2018-02-15,,0.06,14,14,"Site has a draft allocation in the Strategic Policies and Land Allocations DPD, Publication Version. 11/01089/FUL - Erection of 14 no apartments. construction of 3000sq ft retail unit with a further 1000sq ft storage area, parking for 10 vehicles and tra. 14/00291/VCN - Erection of 14 no apartments. construction of 3000sq ft retail unit with a further 1000sq ft storage area, parking for 10 vehicles and traffic calming to Knowlys Road (pursuant to the variation of conditions 2, 5, 8 and 9 which relate to t",local-authority-eng:LAC,not owned by a public authority,2012-04-11,https://planning.lancaster.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.892667 54.047946),179,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15,brownfield-land/local-authority-eng/LAC/179
"Garage, Grosvenor Road, Heysham",yes,,2018-02-15,,0.17,9,9,,local-authority-eng:LAC,,,https://planning.lancaster.gov.uk/online-applications/,not permissioned,,POINT(-2.890718 54.059636),202,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15,brownfield-land/local-authority-eng/LAC/202
