name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
CA51,"Former Goods Yard, London Road Carlisle",,,2017-12-31,yes,1.99,50,50,,local-authority-eng:CAR,not owned by a public authority,,,not permissioned,,POINT(-2.918437 54.886287),CA51,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31,/brownfield-land/local-authority-eng/CAR/CA51
CA25,"South Western Terrace, Carlisle",,,2017-12-31,yes,3.11,90,90,Authority to issue permission on site for 7 years. Contamination issues. Not deliverable in 5 years,local-authority-eng:CAR,not owned by a public authority,,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_53082,not permissioned,,POINT(-2.934552 54.882067),CA25,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31,/brownfield-land/local-authority-eng/CAR/CA25
CA12,Site of Morton Primary School Carlisle,yes,,2017-12-31,,1.67,54,54,Permission for 60 bed care home,local-authority-eng:CAR,owned by a public authority,2010-03-30,https://cloud2.atriumsoft.com/ePlanningCMB/loadFullDetails.do?aplId=45192,permissioned,other,POINT(-2.964508 54.881293),CA12,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31,/brownfield-land/local-authority-eng/CAR/CA12
CA49,Nelson Street Carlisle,,,2017-12-31,,2.84,80,80,"Outline permission for residential development on site since 2004, regularly renewed.",local-authority-eng:CAR,not owned by a public authority,,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_56003,permissioned,outline planning permission,POINT(-2.944281 54.888848),CA49,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31,/brownfield-land/local-authority-eng/CAR/CA49
CA42,Hollywell Crescent Carlisle,,,2017-12-31,yes,1.51,66,66,outline permission for 66 dwellings. RM pending.,local-authority-eng:CAR,not owned by a public authority,2014-03-26,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_70305,pending decision,outline planning permission,POINT(-2.901525 54.887052),CA42,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31,/brownfield-land/local-authority-eng/CAR/CA42
CA31,Dalston Road Carlisle,,,2017-12-31,,1.12,30,30,,local-authority-eng:CAR,not owned by a public authority,,,not permissioned,,POINT(-2.947993 54.890886),CA31,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31,/brownfield-land/local-authority-eng/CAR/CA31
CA75,Caxton Rd Carlisle,yes,,2017-12-31,,1.4,40,40,outline permission for 63 dwellings. Reserved matters currently being considered.,local-authority-eng:CAR,not owned by a public authority,2016-08-11,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activhttp://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_71165,permissioned,outline planning permission,POINT(-2.966951 54.897396),CA75,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31,/brownfield-land/local-authority-eng/CAR/CA75
OC23,Harker Carlisle,,,2017-12-31,,10.59,300,300,,local-authority-eng:CAR,not owned by a public authority,,http://publicaccess.carlisle.gov.uk/online-applications/simpleSearchResults.do;jsessionid=DEDBAF9DA529115979CC5176DAB07EF4?action=firstPage,not permissioned,,POINT(-2.954388 54.937828),OC23,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31,/brownfield-land/local-authority-eng/CAR/OC23
CA100,Edgehill Road Carlisle,,,2017-12-31,,3.46,103,103,Land to be used for temporary relocation of school until 2021,local-authority-eng:CAR,not owned by a public authority,2016-07-14,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_67551,permissioned,other,POINT(-2.89453 54.882323),CA100,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31,/brownfield-land/local-authority-eng/CAR/CA100
17/0232,Former KSS Factory Constable St Carlisle,,,2017-12-31,,0.59,44,44,,local-authority-eng:CAR,not owned by a public authority,2017-06-02,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_70255,permissioned,full planning permission,POINT(-2.943084 54.883654),17/0232,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,2017-12-31,/brownfield-land/local-authority-eng/CAR/17-0232
