name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BFL/BAR/003,"Beaufort Walk, Gorwell Barnstaple EX32 7JD",yes,,2020-12-09,,0.41,27,27,"Gross 27 residential units net 11. Site owned by North Devon Homes.. DEMOLITION OF EXISTING DWELLINGS & CAR PARKING AREAS & ERECTION OF 27 DWELLINGS, COMMUNITY CENTRE & ASSOCIATED AMENITY SPACE, LANDSCAPING & PARKING (AMENDED DESCRIPTION & PLANS)",local-authority-eng:NDE,not owned by a public authority,2019-04-10,,permissioned,full planning permission,POINT(-4.047075 51.083756),BFL/BAR/003,https://www.northdevon.gov.uk/media/380395/bfl-bar-003-beaufort-walk-barnstaple-1-1250.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-BAR-003
BFL/ILF/006,"Willow Court, Torrs Park ILFRACOMBE EX34 8AZ",yes,,2020-12-09,,0.24,6,6,"Planning permission has been implemented and part of the development has been completed. Of the remaining part, the central link is currently under construction but the remaining part has stalled. Six units remain undeveloped.. CONVERSION OF NURSING HOME TO FORM 11 APARTMENTS",local-authority-eng:NDE,not owned by a public authority,2007-02-22,,permissioned,full planning permission,POINT(-4.130684 51.206531),BFL/ILF/006,https://www.northdevon.gov.uk/media/380413/bfl-ilf-006-willow-court-torrs-park-ilfracombe-1-1250.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-ILF-006
BFL/GEO/012,"Bay View Farm, Croyde Road Croyde Braunton EX33 1PN",,,2020-12-09,,0.25,6,3,Car parking / reception area and traditional stone barn attached to existing camping and caravan site.,local-authority-eng:NDE,not owned by a public authority,,,Not permissioned,,POINT(-4.226592 51.126987),BFL/GEO/012,https://www.northdevon.gov.uk/media/380411/bfl-geo-012-bay-view-caravan-park-croyde-1-750.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-GEO-012
BFL/GEO/017,"Fairleigh, Crowborough Road Georgeham Braunton EX33 1JZ",,,2020-12-09,,0.37,10,8,Gross 10 residential units net 8. 63390 : ERECTION OF TWO DWELLINGS (ADDITIONAL TO 8 APPROVED DWELLING UNDER PLANNING PERMISSION 59996). Approved subject to s106.. DEMOLITION OF EXISTING BUILDINGS & ERECTION OF 8 DWELLINGS TOGETHER WITH THE ERECTION OF 2 ADDITIONAL DWELLINGS (GROSS 10 NET 8),local-authority-eng:NDE,not owned by a public authority,2017-04-19,,permissioned,full planning permission,POINT(-5.932832 51.087487),BFL/GEO/017,https://www.northdevon.gov.uk/media/380412/bfl-geo-017-fairleigh-crowborough-road-georgeham-1-1250.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-GEO-017
BFL/BAR/018,"The Tile Centre, 113 Boutport Street Barnstaple EX31 1TD",yes,,2020-12-09,,0.03,6,6,ALTERATIONS TO & CONVERSION OF BUILDING TO FORM 6 FLATS TO INCLUDE SEVERAL MINOR AMENDMENTS FROM THE ORIGINAL APPROVAL (61963),local-authority-eng:NDE,not owned by a public authority,2018-11-06,,permissioned,full planning permission,POINT(-4.05895 51.081731),BFL/BAR/018,https://www.northdevon.gov.uk/media/380396/bfl-bar-018-113-boutport-street-barnstaple-1-750.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-BAR-018
BFL/LAN/027,"Westacott Heights, Whiddon Valley BARNSTAPLE EX32 7NF",,,2020-12-09,,0.6,21,18,This site forms part of the strategic urban extension at Westacott in the adopted North Devon & Torridge Local Plan (BAR01). Redevelopment of this brownfield site must not prejudice the comprehensive delivery of BAR01.,local-authority-eng:NDE,not owned by a public authority,,,Not permissioned,,POINT(-4.020828 51.078754),BFL/LAN/027,https://www.northdevon.gov.uk/media/380421/bfl-lan-027-westacott-heights-barnstaple-1-1250.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-LAN-027
BFL/FRE/028,"Land at Yelland Quay, Yelland BARNSTAPLE EX31 3EZ",,,2020-12-09,,11.9,250,250,Site is allocated for approximately 250 dwellings in the adopted North Devon & Torridge Local Plan (FRE02). Hybrid planning application 60823.. OUTLINE APPLICATION FOR 250 DWELLINGS (USE CLASS C3),local-authority-eng:NDE,not owned by a public authority,,,pending decision,,POINT(-4.162222 51.069775),BFL/FRE/028,https://www.northdevon.gov.uk/media/380410/bfl-fre-028-land-at-yelland-quay-fremington-1-3500.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-FRE-028
BFL/BAR/031,"St Johns Garden Centre, St Johns Lane Newport Barnstaple EX32 9DD",yes,,2020-12-09,,1.6,44,44,"62957: APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 12 (LIGHTING SCHEME) 18 (LIGHTING PLAN INCLUDING ECOLOGICAL ASSESSMENT), 20 (AMS) & 22 ( ECOLOGICAL SURVEY) ATTACHED TO PLANNING PERMISSION 57304. Approved 03/07/17. 62838 : APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 3 (WATER COURSE, BUFFER ZONE, LANDSCAPING) 4 (SURFACE WATER DRAINAGE) 5 (LAND CONTAMINATION) 6 (UNSUSPECTED CONTAMINATION) 8 (REFUSE STORAGE), 10 (CONSTRUCTION TRAFFIC MANAGEMENT PLAN) 12 (ROADS, CYCLEWAYS, FOOTWAYS, FOOTPATHS ETC) 16 (SURFACE WATER DISPOSAL) ATTACHED TO PLANNING PERMISSION 57304. Approved 09/06/17. DEMOLITION OF EXISTING GARDEN CENTRE & REDEVELOPMENT OF SITE TO ACCOMMODATE 44 RESIDENTIAL DWELLINGS TOGETHER WITH NEW ADOPTABLE HIGHWAY & ASSOCIATED WORKS (AMENDED DRAWINGS)",local-authority-eng:NDE,not owned by a public authority,2014-10-21,,permissioned,full planning permission,POINT(-4.037937 51.072071),BFL/BAR/031,https://www.northdevon.gov.uk/media/380397/bfl-bar-031-st-johns-garden-centre-barnstaple-1-2000.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-BAR-031
BFL/SWI/037,"Tannery Site, Hannaford Lane Swimbridge EX32 0PL",,,2020-12-09,,0.56,5,5,"A new undetermined planning application (70869) has been received to renew the previous planning permission (60390) but has recently been withdrawn as invalid. 60390 : OUTLINE PLANNING APPLICATION FOR ERECTION OF FIVE DWELLINGS (INCLUDING ACCESS, LAYOUT & SCALE) (AMENDED PLANS). Approved 5/12/16. 70869 : Erection of 5 dwellings. Withdrawn invalid",local-authority-eng:NDE,not owned by a public authority,,,Not permissioned,,POINT(-3.971085 51.052165),BFL/SWI/037,https://www.northdevon.gov.uk/media/380424/bfl-swi-037-former-tannery-site-swimbridge-1-1250.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-SWI-037
BFL/BAR/044,"Telephone Repeater Station, Rackfield BARNSTAPLE EX31 1RL",,,2020-12-09,,0.23,30,10,"Telerealtrillium would estimate that this site will be decommissioned within the next 5 years and adding planning and any development timelines, any housing delivery (subject to purchaserís strategy) would likely be from 2026 onwards.",local-authority-eng:NDE,not owned by a public authority,,,Not permissioned,,POINT(-4.059633 51.083598),BFL/BAR/044,https://www.northdevon.gov.uk/media/380398/bfl-bar-044-telephone-repeater-station-rackfield-court-barnstaple-1-750.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-BAR-044
