site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Jubilee Business Park Snarestone Road Appleby Magna,,,,,2.02,38,38,,local-authority-eng:NWL,not owned by a public authority,,,Not Permissioned,,POINT(-1.528403 52.683435),BLR2,https://www.nwleics.gov.uk/pages/brownfield_land_register,,brownfield-land/local-authority-eng/NWL/BLR2
Breedon Priory Nursery Ashby Road Breedon on the Hill,,,,,2.55,35,35,"18/02198/FULM application site 5.8ha B/F element 1.95ha| Previous outstanding application is 16/01120/FULM application site 3.93ha - B/F element 2.55ha. Demolition of existing buildings and redevelopment for 43 dwellings, a new village hall, formation of vehicular and pedestrian access points and associated infrastructure",local-authority-eng:NWL,not owned by a public authority,,,pending decision,full planning permission,POINT(-1.404222 52.802754),BLR4,https://www.nwleics.gov.uk/pages/brownfield_land_register,,brownfield-land/local-authority-eng/NWL/BLR4
Stevenson House Ashby Road Coalville,,,,,0.28,14,14,13/00107/OUTM expired 2019/12/20. Demolition of existing structures and the change of use of the land to residential with the erection 14 dwellings (Outline - All Matters reserved),local-authority-eng:NWL,not owned by a public authority,,,Not Permissioned,,POINT(-1.380436 52.72711),BLR5,https://www.nwleics.gov.uk/pages/brownfield_land_register,,brownfield-land/local-authority-eng/NWL/BLR5
Former Needle Factory Wolsey Road Coalville,,,,,2.06,38,38,,local-authority-eng:NWL,not owned by a public authority,,,Not Permissioned,,POINT(-1.375383 52.727335),BLR6,https://www.nwleics.gov.uk/pages/brownfield_land_register,,brownfield-land/local-authority-eng/NWL/BLR6
The Piggeries North of Standard Hill Coalville,,,,,0.65,15,15,"19/02159/FULM application site 2.53ha B/F element 0.65ha. Demolition of existing buildings and erection of 85 dwellings with associated infrastructure, landscaping and drainage features",local-authority-eng:NWL,not owned by a public authority,,,pending decision,full planning permission,POINT(-1.383953 52.717114),BLR7,https://www.nwleics.gov.uk/pages/brownfield_land_register,,brownfield-land/local-authority-eng/NWL/BLR7
Workspace 17 Highfield Street Coalville,,,,,0.56,18,18,two applications approved on the same date 16/00414/OUTM is all residential 16/00415/OUTM has a retail element and some Discharge of Conditions. Demolition of existing buildings and erection of up to 20 dwellings (outline - details of part access included) | Demolition of existing buildings and erection of up to 18 dwellings and retail convenience store (A1) (outline - details of part access included),local-authority-eng:NWL,owned by a public authority,,,permissioned,outline planning permission,POINT(-1.376014 52.717387),BLR8,https://www.nwleics.gov.uk/pages/brownfield_land_register,,brownfield-land/local-authority-eng/NWL/BLR8
Car Park Moira Road Doninsthorpe,,,,,0.25,18,18,,local-authority-eng:NWL,owned by a public authority,,,Not Permissioned,,POINT(-1.52802 52.725865),BLR11,https://www.nwleics.gov.uk/pages/brownfield_land_register,,brownfield-land/local-authority-eng/NWL/BLR11
MTS Logistics Mill Lane Heather,,,,,1.05,14,14,19/00824/FULM pending decision | 14/00396/FULM permission lapsed 2019-03-04. Re-development of existing site (including demolition) to provide 14 residential dwellings with associated off-street parking and landscaping,local-authority-eng:NWL,not owned by a public authority,,,pending decision,full planning permission,POINT(-1.415035 52.6921),BLR12,https://www.nwleics.gov.uk/pages/brownfield_land_register,,brownfield-land/local-authority-eng/NWL/BLR12
Former Garage 112-128 Melbourne Road Ibstock,,,,,0.21,12,12,07/01200/OUT for 12 dwellings approved but has since lapsed. Residential development - erection of 12 no. dwellings (Outline - layout and access),local-authority-eng:NWL,not owned by a public authority,,,Not Permissioned,,POINT(-1.401421 52.687906),BLR13,https://www.nwleics.gov.uk/pages/brownfield_land_register,,brownfield-land/local-authority-eng/NWL/BLR13
Brooks Machine Tools Derby Road Kegworth,,,,,0.11,16,16,05/00405/FUL The site was granted planning permission in 2007 at appeal for the development of 16 flats. Whilst this development has been started none of the dwellings have been completed.. Erection of 16 Flats,local-authority-eng:NWL,not owned by a public authority,,,permissioned,full planning permission,POINT(-1.278624 52.836272),BLR14,https://www.nwleics.gov.uk/pages/brownfield_land_register,,brownfield-land/local-authority-eng/NWL/BLR14
The Holly Bush Inn Main Street Oakthorpe,,,,,0.18,5,5,19/00763/FUL. Change of use and partial demolition and alteration of pub building to form two dwellings and erection of three dwellings,local-authority-eng:NWL,not owned by a public authority,,,permissioned,full planning permission,POINT(-1.523022 52.714383),BLR17,https://www.nwleics.gov.uk/pages/brownfield_land_register,,brownfield-land/local-authority-eng/NWL/BLR17
