site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Police Station, 12, Bell Road, Bottisham, CAMBRIDGE, CB25 9DF",yes,,2018-11-09,,0.11048,0,0,Redevelopment of former police station Construction of 9No. Flats with offstreet parking and new access road off Bell Road,local-authority-eng:ECA,not owned by a public authority,2017-09-03,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFM1FRGGKPB00,permissioned,full planning permission,POINT(0.256845 52.222905),BLR0201,https://www.eastcambs.gov.uk/sites/default/files/BLR0201.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR0201
Former D S Smith Site Reach Road Burwell Burwell CB25 0AH,yes,,2018-11-09,,3.052829,0,0,Approval of details for all reserved matters for the housing element ( plots 1-70) of planning application 14/00046/OUM,local-authority-eng:ECA,not owned by a public authority,2016-02-19,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?keyVal=NWOI9ZGGFM100&activeTab=summary,permissioned,reserved matters approval,POINT(0.322746 52.266392),BLR0501,https://www.eastcambs.gov.uk/sites/default/files/BLR0501.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR0501
"1, Oak Lane, Cheveley, NEWMARKET, CB8 9RA",yes,,2018-11-09,,0.512696,0,0,Reserved matters application for erection of eight detached dwellings,local-authority-eng:ECA,not owned by a public authority,2017-12-06,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OXEMKQGGI2S00,permissioned,reserved matters approval,POINT(0.462439 52.21174),BLR0601,https://www.eastcambs.gov.uk/sites/default/files/BLR0601.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR0601
Land At Barton Road Car Park Barton Road Ely Cambridgeshire,yes,,2018-11-09,,0.18571,0,0,"Residential development for 11 dwellings, with minor alterations to the existing vehicular and pedestrian access.",local-authority-eng:ECA,owned by a public authority,2016-12-28,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?keyVal=NXYI08GGGGP00&activeTab=summary,permissioned,reserved matters approval,POINT(0.258723 52.396555),BLR1001,https://www.eastcambs.gov.uk/sites/default/files/BLR1001.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1001
"Pound Store, 10, Forehill, ELY, Cambridgeshire CB7 4AF",yes,,2018-11-09,,0.095662,0,0,Refurbishment and partial demolition of existing building to provide five residential townhouses and one residential apartment over retained commercial unit.,local-authority-eng:ECA,not owned by a public authority,2017-08-08,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OPQMUYGGK4S00,permissioned,full planning permission,POINT(0.266795 52.398304),BLR1002,https://www.eastcambs.gov.uk/sites/default/files/BLR1002.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1002
"The Grange, Nutholt Lane, Ely CB7 4EE",yes,,2018-11-09,,0.604838,0,0,The site is allocated by the Local Plan for mixed-use development.,local-authority-eng:ECA,owned by a public authority,,,not permissioned,,POINT(0.263666 52.400841),BLR1003,https://www.eastcambs.gov.uk/sites/default/files/BLR1003.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1003
"Paradise Leisure Centre, Newnham St, Ely CB7 4PQ",yes,,2018-11-09,,1.036523,0,0,The site is allocated by the Local Plan for mixed-use development.,local-authority-eng:ECA,owned by a public authority,,,not permissioned,,POINT(0.266758 52.401932),BLR1004,https://www.eastcambs.gov.uk/sites/default/files/BLR1004.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1004
"Station Gateway, Angel Drove, Ely",yes,,2018-11-09,,11.369943,0,0,The site is allocated by the Local Plan for mixed-use development.,local-authority-eng:ECA,not owned by a public authority,,,not permissioned,,POINT(0.264881 52.391786),BLR1005,https://www.eastcambs.gov.uk/sites/default/files/BLR1005.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1005
"Princess of Wales Hospital, Lynn Road, Ely CB6 1DN",yes,,2018-11-09,,4.015621,0,0,The submitted Local Plan identifies the site for mixed-use development.,local-authority-eng:ECA,owned by a public authority,,,not permissioned,,POINT(0.276096 52.413149),BLR1006,https://www.eastcambs.gov.uk/sites/default/files/BLR1006.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1006
"Scotsdale Garden Centre, Market Street, Fordham, CB7 5LQ",yes,,2018-11-09,,8.629592,0,0,"The site forms an area of brownfield land within a larger site, with outline permission for 150 residential dwellings, a 75-bed care home, a local shop and an ancillary medical consultation facility.",local-authority-eng:ECA,not owned by a public authority,2018-08-08,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OQGBMOGG0CI00,permissioned,outline planning permission,POINT(0.380995 52.308715),BLR1101,https://www.eastcambs.gov.uk/sites/default/files/BLR1101.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1101
"Fordham Technology Centre, 5 Station Road, Fordham, Ely, Cambridgeshire CB7 5LW",yes,,2018-11-09,,0.258882,0,0,The site boundary includes an area of brownfield land which forms part of a larger site with planning permission for residential development for up to 27 dwellings.,local-authority-eng:ECA,not owned by a public authority,2017-07-03,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGBSK1GG06800,permissioned,outline planning permission,POINT(0.383384 52.305717),BLR1102,https://www.eastcambs.gov.uk/sites/default/files/BLR1102.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1102
"Land Adacent, 12, Holt Fen, Little Thetford, Cambridgeshire, CB6 3BH",yes,,2018-11-09,,0.25882,0,0,Erection of four dwellings and associated works,local-authority-eng:ECA,not owned by a public authority,2016-04-15,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=NYFC8TGGGTW00,permissioned,outline planning permission,POINT(0.251546 52.359867),BLR1701,https://www.eastcambs.gov.uk/sites/default/files/BLR1701.jpg,2018-11-09,brownfield-land/local-authority-eng/ECA/BLR1701
