name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
SDB001,"North Street Quarter and adjacent Eastgate Area, Lewes",yes,,2018-11-26,,9,415,415,,national-park-authority:Q20198711,mixed ownership,2016-01-01,,permissioned,full planning permission,POINT(0.012107 50.877101),SDB001,https://www.southdowns.gov.uk/wp-content/uploads/2017/09/Chapter-8-Chapter_9.pdf,2017-12-31,/brownfield-land/national-park-authority/Q20198711/SDB001
SDB003,"Cowdray Works Yard, Easebourne",yes,,2017-12-31,,1,16,16,,national-park-authority:Q20198711,not owned by a public authority,,,Not Permissioned,,POINT(-0.727171 50.994482),SDB003,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OPZMK7TU0LJ00,2017-12-31,/brownfield-land/national-park-authority/Q20198711/SDB003
SDB004,"School Buildings at Former Easebourne School,Easebourne Street, Easebourne",yes,,2017-12-31,,0.7,14,14,,national-park-authority:Q20198711,not owned by a public authority,,,Not Permissioned,,POINT(-0.721249 50.99841),SDB004,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OPZOB6TU0LJ00,2017-12-31,/brownfield-land/national-park-authority/Q20198711/SDB004
SDB005,"West Sussex County Council Depot and former Brickworks site, Midhurst",,,2017-12-31,,2.7,65,65,,national-park-authority:Q20198711,owned by a public authority,,,Not Permissioned,,POINT(-0.752045 50.982511),SDB005,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P6ALRUTU0EF00,2017-12-31,/brownfield-land/national-park-authority/Q20198711/SDB005
SDB006,"Holmbush Caravan Park,11 The Fairway, Midhurst GU29 9JD",,,2017-12-31,,5,50,50,,national-park-authority:Q20198711,not owned by a public authority,,,Not Permissioned,,POINT(-0.743181 50.97837),SDB006,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P6AOB3TU0EF00,2017-12-31,/brownfield-land/national-park-authority/Q20198711/SDB006
SDB007,"Land at the Fairway, Midhurst GU29 9JF",yes,,2017-12-31,,0.1,8,8,,national-park-authority:Q20198711,not owned by a public authority,,,Not Permissioned,,POINT(-0.743852 50.97674),SDB007,https://www.southdowns.gov.uk/wp-content/uploads/2017/09/Chapter-8-Chapter_9.pdf,2017-12-31,/brownfield-land/national-park-authority/Q20198711/SDB007
SDB008,"Land at Lamberts Lane, Midhurst GU29 9EA",yes,,2017-12-31,,0.4,20,20,,national-park-authority:Q20198711,owned by a public authority,2018-06-18,,permissioned,full planning permission,POINT(-0.740139 50.988687),SDB008,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OUO6IGTULBF00,2017-12-31,/brownfield-land/national-park-authority/Q20198711/SDB008
SDB009,"Stedham Sawmill, Stedham, Midhurst GU29 0NY",yes,,2018-11-26,,0.75,16,16,,national-park-authority:Q20198711,not owned by a public authority,,,Not Permissioned,,POINT(-0.775839 50.992133),SDB009,https://www.southdowns.gov.uk/brownfield,2017-12-31,/brownfield-land/national-park-authority/Q20198711/SDB009
SDB010,"Magistrates court car park, Court Road, Lewes BN7",yes,,2017-12-31,,0.2,9,9,,national-park-authority:Q20198711,owned by a public authority,2016-09-30,,permissioned,full planning permission,POINT(0.015492 50.875172),SDB010,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=O54CV0TUGMI00,2017-12-31,/brownfield-land/national-park-authority/Q20198711/SDB010
SDB012,"Syngenta, Fernhurst",yes,,2017-12-31,,7.7,200,200,,national-park-authority:Q20198711,not owned by a public authority,,,Not Permissioned,,POINT(-0.722563 51.034638),SDB012,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?keyVal=ONXJC0TU0EF00&activeTab=summary,2017-12-31,/brownfield-land/national-park-authority/Q20198711/SDB012
SDB013,"Former ICI Plant Protection, Bridgelands, Verdley Place, Fernhurst",yes,,2018-11-26,,0.43,10,10,,national-park-authority:Q20198711,not owned by a public authority,,,Not Permissioned,,POINT(-0.710916 51.037523),SDB013,https://www.southdowns.gov.uk/brownfield,2017-12-31,/brownfield-land/national-park-authority/Q20198711/SDB013
SDB014,"Hurstfold Industrial Estate, Surney Hatch Lane, Fernhurst , Haslemere GU27 3JG",yes,,2018-11-26,,1.3,10,10,,national-park-authority:Q20198711,not owned by a public authority,2016-12-12,,pending decision,full planning permission,POINT(-0.705871 51.035327),SDB014,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OAQ1T9TUJGE00,2017-12-31,/brownfield-land/national-park-authority/Q20198711/SDB014
