name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BLR0001,"Bartholomews Specialist Distribution, Bognor Road, Chichester, West Sussex, PO19 7TT",yes,,2017-12-31,,1.31,77,77,"Construction of 24 flats and 33 houses with associated car parking, landscaping, cycle and bin storage after demolition of storage buildings but retaining office accommodation. http://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0",local-authority-eng:CHI,not owned by a public authority,2016-07-13,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.757196 50.832602),BLR0001,http://www.chichester.gov.uk/CHttpHandler.ashx?id=29225,2017-12-31,/brownfield-land/local-authority-eng/CHI/BLR0001
BLR0002,"Land south of Graylingwell Drive, Chichester, West Sussex",yes,,2017-12-31,,7.42,160,160,"Demolition of existing hospital buildings and development of up to 160 new homes including retention and improvement of sports pitch/open space, new pavilion and children's play area; restoration of Martin's Farm house for residential use (included in 160 unit total); access arrangements and ancillary works and demolition of pavilion. http://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0",local-authority-eng:CHI,owned by a public authority,2017-01-20,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,outline planning permission,POINT(-0.771201 50.852481),BLR0002,http://www.chichester.gov.uk/CHttpHandler.ashx?id=29226,2017-12-31,/brownfield-land/local-authority-eng/CHI/BLR0002
BLR0003,"St Wilfrids Hospice, Grosvenor Road, Donnington, West Sussex, PO19 8FP",yes,,2017-12-31,,0.68,21,21,Demolition of existing hospice and replacement with 21 no. residential dwellings,local-authority-eng:CHI,not owned by a public authority,2015-11-11,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,outline planning permission,POINT(-0.784682 50.825203),BLR0003,http://www.chichester.gov.uk/CHttpHandler.ashx?id=29260,2017-12-31,/brownfield-land/local-authority-eng/CHI/BLR0003
BLR0004,"Home Farm Hostel, Chichester Road, Selsey, West Sussex, PO20 9DX",yes,,2017-12-31,,0.14,10,10,Change of use of existing agricultural workers accommodation to 10 no. residential dwellings and associated works. https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0,local-authority-eng:CHI,not owned by a public authority,2017-06-21,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.781578 50.75346),BLR0004,http://www.chichester.gov.uk/CHttpHandler.ashx?id=29261,2017-12-31,/brownfield-land/local-authority-eng/CHI/BLR0004
BLR0005,"Land west of Maddoxwood Cottage, Lavant Road, Chichester, PO19 5RD",yes,,2017-12-31,,0.5,10,10,Allocated for housing development within the made Lavant Neighbourhood Development Plan. Erection of 10 no. dwellings with the associated car parking and landscaping and retention of Maddoxwood House. Provision of a foot/cycle path. https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0,local-authority-eng:CHI,not owned by a public authority,,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,pending decision,,POINT(-0.784978 50.85919),BLR0005,http://www.chichester.gov.uk/CHttpHandler.ashx?id=29262,2017-12-31,/brownfield-land/local-authority-eng/CHI/BLR0005
BLR0006,"Camellia, Chalk Road, Ifold, Billingshurst, RH14 0UA",yes,,2017-12-31,,0.26,3,3,Outline application for the erection of 3 residential units and associated parking (appearance and landscaping matters reserved),local-authority-eng:CHI,not owned by a public authority,2015-03-04,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.543806 51.068573),BLR0006,http://www.chichester.gov.uk/CHttpHandler.ashx?id=29263,2017-12-31,/brownfield-land/local-authority-eng/CHI/BLR0006
BLR0007,"Brewhurst Mill, Brewhurst Lane, Loxwood, Billingshurst, West Sussex, RH14 0RJ",yes,,2017-12-31,,1.47,1,1,Residential conversion of part of Brewhurst Mill to dwelling,local-authority-eng:CHI,not owned by a public authority,2015-10-14,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.508624 51.06946),BLR0007,http://www.chichester.gov.uk/CHttpHandler.ashx?id=29264,2017-12-31,/brownfield-land/local-authority-eng/CHI/BLR0007
BLR0008,"Co-operative Food, Malcolm Road, Tangmere, Chichester, West Sussex, PO20 2HS",yes,,2017-12-31,,0.27,3,3,"Change of use of upper floors from vacant (A4) to 3 no. residential apartments (C3) including installation of external stair, bin and cycle store and car parking spaces",local-authority-eng:CHI,not owned by a public authority,2017-03-14,https://publicaccess.chichester.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.716976 50.851421),BLR0008,http://www.chichester.gov.uk/CHttpHandler.ashx?id=29265,2017-12-31,/brownfield-land/local-authority-eng/CHI/BLR0008
BLR0009,"Land at the Tannery, Westgate, Chichester, West Sussex, PO19 3HN",,,2017-12-31,,0.55,16,16,Density calculated using 30 dwellings per hectare. https://www.chichester.gov.uk/CHttpHandler.ashx?id=21778&p=0,local-authority-eng:CHI,owned by a public authority,,,not permissioned,,POINT(-0.788437 50.835889),BLR0009,http://www.chichester.gov.uk/CHttpHandler.ashx?id=29266,2017-12-31,/brownfield-land/local-authority-eng/CHI/BLR0009
BLR0010,"Metro House, Northgate, Chichester, West Sussex, PO19 3HN",,,2017-12-31,,0.2,6,6,Density calculated using 30 dwellings per hectare,local-authority-eng:CHI,not owned by a public authority,,,not permissioned,,POINT(-0.778902 50.840493),BLR0010,http://www.chichester.gov.uk/CHttpHandler.ashx?id=29267,2017-12-31,/brownfield-land/local-authority-eng/CHI/BLR0010
