name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BF006,"WarrenClose,Brandon",yes,,2018-12-13,,0.39,23,23,"Brownfield, previous library and preschool",local-authority-eng:FOR,not owned by a public authority,,,not permissioned,,POINT(0.626043 52.446108),BF006,,2017-09-01,/brownfield-land/local-authority-eng/FOR/BF006
BF007,"LandOffGasHouseLane,Brandon",yes,,2018-12-13,,0.35,10,10,"Brownfield, previous gasworks",local-authority-eng:FOR,not owned by a public authority,,,pending decision,,POINT(0.630605 52.447832),BF007,,2017-09-01,/brownfield-land/local-authority-eng/FOR/BF007
BF012,"Landrearof65,69,73StationRoad,Lakenheath",yes,,2018-12-13,,0.81,24,24,"Brownfield- gardens within settlement boundary, but not town",local-authority-eng:FOR,,,,not permissioned,,POINT(0.520855 52.424065),BF012,,2017-09-01,/brownfield-land/local-authority-eng/FOR/BF012
BF014,"MatthewsNurserySite,DumplingBridgeLane,Lakenheath",yes,,2018-12-13,,1.86,13,13,Mixed - glasshouses and open land within settlement boundary,local-authority-eng:FOR,mixed ownership,2015-08-06,,pending decision,reserved matters approval,POINT(0.51666 52.418076),BF014,,2017-09-01,/brownfield-land/local-authority-eng/FOR/BF014
BF015,"DistrictCouncilOffices,CollegeHeathRoad,Mildenhall",yes,,2018-12-13,,2.01,89,89,Brownfield- Council offices,local-authority-eng:FOR,owned by a public authority,,,not permissioned,,POINT(0.519068 52.345744),BF015,,2017-09-01,/brownfield-land/local-authority-eng/FOR/BF015
BF016,"LandAtWamilCourt,Mildenhall",yes,,2018-12-13,,0.62,19,19,Brownfield - care home,local-authority-eng:FOR,owned by a public authority,,,not permissioned,,POINT(0.50434 52.342092),BF016,,2017-09-01,/brownfield-land/local-authority-eng/FOR/BF016
BF019,"FormerSwimmingPoolSite,Newmarket",yes,,2018-12-13,,0.26,14,14,Brownfield - old swimming pool site and disused public house within settlement boundary,local-authority-eng:FOR,not owned by a public authority,2016-03-10,,permissioned,outline planning permission,POINT(0.397764 52.241325),BF019,,2017-09-01,/brownfield-land/local-authority-eng/FOR/BF019
BF020,"StFelixMiddleSchoolSite,Newmarket",yes,,2018-12-13,,1.39,50,50,"Mixed - playingfields, outbuildings assoc with school, in settlement boundary",local-authority-eng:FOR,owned by a public authority,,,not permissioned,,POINT(0.40085 52.256971),BF020,,2017-09-01,/brownfield-land/local-authority-eng/FOR/BF020
BF021,"LandOffTurnpikeRoad,RedLodge",yes,,2018-12-13,,2.56,132,132,"Mixed - residential, haulage depot, mobile home park, garage",local-authority-eng:FOR,mixed ownership,,,pending decision,,POINT(0.482736 52.30318),BF021,,2017-09-01,/brownfield-land/local-authority-eng/FOR/BF021
BF031,"BuryStEdmundsGardenCentre,BuryStEdmunds",yes,,2018-12-13,,1.37,30,30,Brownfield - garden centre,local-authority-eng:SED,not owned by a public authority,,,not permissioned,,POINT(0.729252 52.235426),BF031,,2017-09-01,/brownfield-land/local-authority-eng/SED/BF031
BF032,"GaragesAndBusDepot,CottonLane,BuryStEdmunds",yes,,2018-12-13,,0.65,50,50,Brownfield - bus depot and car repairs/ dealership,local-authority-eng:SED,not owned by a public authority,,,not permissioned,,POINT(0.719236 52.24697),BF032,,2017-09-01,/brownfield-land/local-authority-eng/SED/BF032
BF033,"HospitalSite,HospitalRoad,BuryStEdmunds",yes,,2018-12-13,,1.59,45,45,Brownfield - hospital,local-authority-eng:SED,owned by a public authority,,,not permissioned,,POINT(0.702883 52.24187),BF033,,2017-09-01,/brownfield-land/local-authority-eng/SED/BF033
BF035,"LandAtRamMeadow,BuryStEdmunds",yes,,2018-12-13,,0.98,84,84,"Mixed - carpark, meadow and football ground",local-authority-eng:SED,owned by a public authority,,,not permissioned,,POINT(0.720978 52.248864),BF035,,2017-09-01,/brownfield-land/local-authority-eng/SED/BF035
BF037,"SchoolYard,BuryStEdmunds",yes,,2018-12-13,,0.28,32,32,Brownfield - auctioneers and car park,local-authority-eng:SED,mixed ownership,,,not permissioned,,POINT(0.709667 52.246705),BF037,,2017-09-01,/brownfield-land/local-authority-eng/SED/BF037
BF039,"StationHill,BuryStEdmunds",yes,,2018-12-13,,1.41,300,300,Brownfield - underused railway sidings and vacant land,local-authority-eng:SED,not owned by a public authority,,,permissioned,,POINT(0.712297 52.252589),BF039,,2017-09-01,/brownfield-land/local-authority-eng/SED/BF039
BF040,"TayfenRoad,BuryStEdmunds",yes,,2018-12-13,,2.2,100,100,Brownfield - commercial/ vacant uses and decommissioned gas holder,local-authority-eng:SED,mixed ownership,2017-12-01,,permissioned,outline planning permission,POINT(0.709067 52.251035),BF040,,2017-09-01,/brownfield-land/local-authority-eng/SED/BF040
