name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
15/00578/FUL,"Sandles Inn, 26 Rosemary Road, Clacton On Sea, Essex CO15 1NZ",,,2018-01-15,,0.16,23,23,"Demolition of all existing buildings (use classes C1 Hotels, A3 Restaurants, A4 Drinking Establishments and Sui Generis Nightclub). Construction of building fronting Rosemary Road containing three A1 retail/A3 restaurant units at ground floor with 17 holiday flats above; Construction of 34 holiday flats in an up to six storey building to the rear; and construction of basement cycle and car parking access from rear service road (off Beach Road), and egress onto Rosemary Road.",local-authority-eng:TEN,not owned by a public authority,,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001GB1QBLI000,pending decision,,POINT(1.155063 51.7898),15/00578/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN3PR3QB0GD00,2018-01-15,/brownfield-land/local-authority-eng/TEN/15-00578-FUL
15/00615/FUL,"20 - 20B Market Street, Harwich CO12 3DX",yes,,2018-01-15,,0.02,3,3,"Demolition of existing building (retail ground floor & residential 1st, 2nd, 3rd floors) and replacement with new residential 4 storey building providing 8 proposed apartments.",local-authority-eng:TEN,not owned by a public authority,2015-06-16,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001EL0QBLI000,permissioned,full planning permission,POINT(1.287475 51.946683),15/00615/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN9NLWQB0GS00,2018-01-15,/brownfield-land/local-authority-eng/TEN/15-00615-FUL
17/01038/FUL,"27-31 High Street, Walton On The Naze, Essex CO14 8BN",yes,,2018-01-15,,0.07,8,8,"Demolition of existing commercial building and erection of new building containing 8 No. flats and 1 No. retail unit (Use Classes A1, A2 and A3), with associated parking, cycle and bin- stores",local-authority-eng:TEN,not owned by a public authority,2017-08-16,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJAEN0QB03B00,permissioned,full planning permission,POINT(1.269221 51.848691),17/01038/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ORY6F4QB0EL00,2018-01-15,/brownfield-land/local-authority-eng/TEN/17-01038-FUL
17/01048/FUL,"274 Harwich Road, Little Clacton, Clacton On Sea, Essex CO16 9PY",yes,,2018-01-15,,0.46,7,7,Proposed conversion to 8 no. apartments. Change of use from C2 to C3.,local-authority-eng:TEN,not owned by a public authority,2017-09-27,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000F5JQBLI000,permissioned,full planning permission,POINT(1.156553 51.841504),17/01048/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OS5W9RQB0KO00,2018-01-15,/brownfield-land/local-authority-eng/TEN/17-01048-FUL
16/01358/FUL,"7 Sea Pink Way, Jaywick, Essex CO15 2HQ",yes,,2018-01-15,,0.02,7,7,Demolition of existing fire damaged building and erection of new block of flats.,local-authority-eng:TEN,not owned by a public authority,2017-02-02,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000MBIQBLI000,permissioned,full planning permission,POINT(1.1166 51.77386),16/01358/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OCS432QB0GS00,2018-01-15,/brownfield-land/local-authority-eng/TEN/16-01358-FUL
11/01124/FUL,723 Main Road Harwich Essex,,,2018-01-15,,0.1,9,9,Permission granted - expired 17.01.2015. Demolition completed.. Demolition of existing buildings and construction of 9 one bedroom flats.,local-authority-eng:TEN,not owned by a public authority,2012-01-17,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001F68QBLI000,Not Permissioned,,POINT(1.24416 51.930359),11/01124/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LRYT6ZQB07Y00,2018-01-15,/brownfield-land/local-authority-eng/TEN/11-01124-FUL
15/01575/FUL,"Land Site of Former Ramsey Primary School, Wix Road, Ramsey, Essex",yes,,2018-01-15,,0.62,8,8,Redevelopment of site with eight dwellings.,local-authority-eng:TEN,not owned by a public authority,2016-06-02,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MBL014QB03B00,permissioned,full planning permission,POINT(1.209004 51.927368),15/01575/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NW7EX1QB0GS00,2018-01-15,/brownfield-land/local-authority-eng/TEN/15-01575-FUL
17/01479/FUL,"2 High Street, Manningtree, Essex CO11 1AD",yes,,2018-01-15,,0.04,7,7,"Alterations and extensions of existing vacant bank premises, to provide a retail unit and change of use to multi-residential accommodation. (1 Retail Unit, 6 Flats and 1 House).",local-authority-eng:TEN,not owned by a public authority,2017-11-10,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001E5JQBLI000,permissioned,full planning permission,POINT(1.062428 51.945187),17/01479/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OVUUROQB0LD00,2018-01-15,/brownfield-land/local-authority-eng/TEN/17-01479-FUL
14/00693/FUL,"70-84A Connaught Avenue, Frinton",yes,,2018-01-15,,0.1,8,8,"Demolition of existing buildings and redevelopment of site to provide retail units (use class A1) at ground floor level, eight two - bedroom residential units (use class C3) at first and second floor level, and associated parking and works.",local-authority-eng:TEN,not owned by a public authority,2014-07-15,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MM0U3RQB03B01,permissioned,full planning permission,POINT(1.245457 51.832986),14/00693/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N6A5IUQB0G400,2018-01-15,/brownfield-land/local-authority-eng/TEN/14-00693-FUL
15/01791/FUL,"79 Stour Road, Harwich",yes,,2018-01-15,,0.05,8,8,Erection of 8 x one bed flats,local-authority-eng:TEN,not owned by a public authority,2016-03-22,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0012RFQBLI000,permissioned,full planning permission,POINT(1.283174 51.940989),15/01791/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NYF3JHQB01U00,2018-01-15,/brownfield-land/local-authority-eng/TEN/15-01791-FUL
