site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Springfield, Royal Engineers Road and Mill Lane,, Maidstone, Kent",yes,,2017-12-01,,1.1,192,192,,local-authority-eng:MAI,not owned by a public authority,,,permissioned,full planning permission,POINT(0.516583 51.284225),05/2350.,,2017-12-01,brownfield-land/local-authority-eng/MAI/05-2350-
"Springfield, Royal Engineers Road and Mill Lane,, Maidstone, Kent",yes,,2017-12-01,,1.55,310,310,,local-authority-eng:MAI,not owned by a public authority,,,permissioned,full planning permission,POINT(0.516172 51.284045),16/507471,,2017-12-01,brownfield-land/local-authority-eng/MAI/16-507471
"Springfield, Royal Engineers Road and Mill Lane,, Maidstone, Kent",yes,,2019-05-01,,6,295,190,,local-authority-eng:MAI,not owned by a public authority,,,permissioned,full planning permission,POINT(0.516172 51.284045),17/502432,,2017-12-01,brownfield-land/local-authority-eng/MAI/17-502432
"180-188, Union Street, Maidstone, Kent",yes,,2018-06-01,,0.54,48,48,,local-authority-eng:MAI,owned by a public authority,,,permissioned,full planning permission,POINT(0.52943 51.275557),17/504428,,2017-12-01,brownfield-land/local-authority-eng/MAI/17-504428
"Medway Street, Maidstone",yes,,2017-12-01,,0.24,40,40,,local-authority-eng:MAI,not owned by a public authority,,,not permissioned,,POINT(0.519366 51.27349),H1(13),,2017-12-01,brownfield-land/local-authority-eng/MAI/H1-13-
"American Golf, Tonbridge Road, Maidstone, Maidstone, Kent, ME16 8RL",yes,,2017-12-01,,0.7645,65,65,,local-authority-eng:MAI,not owned by a public authority,,,permissioned,reserved matters approval,POINT(0.514879 51.270888),15/510179,,2017-12-01,brownfield-land/local-authority-eng/MAI/15-510179
"6, Tonbridge Road, Maidstone",yes,,2017-12-01,,0.1198,15,15,,local-authority-eng:MAI,not owned by a public authority,,,not permissioned,,POINT(0.514324 51.271224),H1(15),,2017-12-01,brownfield-land/local-authority-eng/MAI/H1-15-
"Slencrest House, 3 Tonbridge Road,, Maidstone",yes,,2019-05-01,,0.15,20,20,,local-authority-eng:MAI,not owned by a public authority,,,completing,other,POINT(0.515256 51.2707),16/507491,,2017-12-01,brownfield-land/local-authority-eng/MAI/16-507491
"Laguna, Hart Street,, Maidstone",yes,,2017-12-01,,0.313,76,76,,local-authority-eng:MAI,not owned by a public authority,,,not permissioned,,POINT(0.51499 51.267154),H1(17),,2017-12-01,brownfield-land/local-authority-eng/MAI/H1-17-
"Dunning Hall (off Fremlin Walk), Week Street,, Maidstone",yes,,2017-12-01,,0.03172,14,14,,local-authority-eng:MAI,not owned by a public authority,,,not permissioned,,POINT(0.52182 51.275632),H1(18),,2017-12-01,brownfield-land/local-authority-eng/MAI/H1-18-
