site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Former Magistratesí Court, Pikes Hill, Lyndhurst, SO43 7AY",yes,,2018-12-06,,0.04,5,5,An element of residential use would be considered alongside employment as part of a mixed use redevelopment of this employment site,national-park-authority:Q72617158,owned by a public authority,,,not permissioned,,POINT(-1.57827 50.877638),BFS1,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS1
"Garage Site, Foldsgate Close, Lyndhurst SO43 7BY",yes,,2018-12-06,,0.02,2,2,,national-park-authority:Q72617158,owned by a public authority,,,not permissioned,,POINT(-1.578666 50.877882),BFS2,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS2
"Redmayne Engineering Site, Station Approach, Brockenhurst, SO42 7TW",yes,,2018-12-06,,0.39,9,9,"Demolition of redundant industrial buildings and construction of mixed use development including 9no dwellings, 4no office/retail units on ground floor and 5 no office units at first floor level, carports, parking and landscaping. Existing access retained.",national-park-authority:Q72617158,not owned by a public authority,2018-11-20,,permissioned,full planning permission,POINT(-1.57353 50.81754),BFS3,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS3
"Land at Railway Station, Brockenhurst, SO42 7TW",yes,,2018-12-06,,0.35,10,10,,national-park-authority:Q72617158,,,,not permissioned,,POINT(-1.575547 50.814319),BFS4,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS4
"Former Service Station, 128 Lyndhurst Road, Ashurst, SO40 7AS",yes,,2018-12-06,,0.05,2,2,,national-park-authority:Q72617158,not owned by a public authority,,,not permissioned,,POINT(-1.522698 50.892675),BFS5,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS5
"Land adjoining Cranleigh Paddock Residential Home, Calpe Avenue, Lyndhurst, SO43 7EP",yes,,2018-12-06,,0.35,18,18,,national-park-authority:Q72617158,not owned by a public authority,,,not permissioned,,POINT(-1.579084 50.875707),BFS6,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS6
"Lyndhurst Park Hotel, 78 High Street, Lyndhurst, SO43 7NL",yes,,2018-12-06,,1.61,50,50,"Planning application refused; appeal lodged, public enquiry early 2019",national-park-authority:Q72617158,not owned by a public authority,,,not permissioned,,POINT(-1.572011 50.87204),BFS7,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS7
"Oak Lodge Dental Surgery, Rhinefield Road, Brockenhurst, SO42 7SR",yes,,2018-12-06,,0.15,1,1,"Planning application partly implemented. Demolition of existing, new access",national-park-authority:Q72617158,not owned by a public authority,2005-08-15,,permissioned,full planning permission,POINT(-1.581436 50.82238),BFS8,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS8
"Watersplash Hotel, The Rise, Brockenhurst, SO42 7ZP",yes,,2018-12-06,,0.5,26,26,Construction commenced 2018. 3 villas to create 24 age restricted apartments,national-park-authority:Q72617158,not owned by a public authority,2017-04-26,,permissioned,full planning permission,POINT(-1.578147 50.818753),BFS9,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS9
"First and Second Floor, 49-49A High Street, Lyndhurst, SO43 7BE",yes,,2018-12-06,,0.03,6,6,Change of use of office building to 6 apartments,national-park-authority:Q72617158,not owned by a public authority,2016-08-15,,permissioned,other,POINT(-1.575217 50.872708),BFS10,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS10
"Land To The Rear Of 35 High Street, Lyndhurst, SO43 7BE",yes,,2018-12-06,,0.02,1,1,New dwelling; associated landscaping,national-park-authority:Q72617158,not owned by a public authority,2016-06-21,,permissioned,full planning permission,POINT(-1.575727 50.872826),BFS12,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS12
"Burwood Lodge, 27 Romsey Road, Lyndhurst, SO43 7AA",yes,,2018-12-06,,0.19,1,1,Conversion of Bed and Breakfast to create 2 dwellings,national-park-authority:Q72617158,not owned by a public authority,2016-09-15,,permissioned,full planning permission,POINT(-1.576711 50.874053),BFS13,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS13
"Land Of Forest Park Hotel, Forest Park Road, Brockenhurst, SO42 7SW",yes,,2018-12-06,,0.39,1,1,New dwelling and garage,national-park-authority:Q72617158,not owned by a public authority,2016-06-16,,permissioned,full planning permission,POINT(-1.585894 50.822441),BFS14,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS14
"Lloyds Tsb, Sway Road, Brockenhurst, SO42 7ZH",yes,,2018-12-06,,0.06,2,2,Change of use to dental practice; 2 flats; Internal alterations,national-park-authority:Q72617158,not owned by a public authority,2017-03-21,,permissioned,full planning permission,POINT(-1.575505 50.818959),BFS16,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS16
"Rufus House Hotel, Southampton Road, Lyndhurst, SO43 7BQ",yes,,2018-12-06,,0.14,2,2,Conversion of owners accommodation to create 2 separate units of accommodation,national-park-authority:Q72617158,not owned by a public authority,2017-02-14,,permissioned,full planning permission,POINT(-1.573245 50.873599),BFS17,,2017-12-20,brownfield-land/national-park-authority/Q72617158/BFS17
"3No. Flats, 68 High Street, Lyndhurst, SO43 7BJ",yes,,2018-12-06,,0.18,2,2,"Conversion of flat, including loft space, to create 3No. Flats",national-park-authority:Q72617158,not owned by a public authority,2016-11-10,,permissioned,full planning permission,POINT(-1.573245 50.872262),BFS18,,2018-12-06,brownfield-land/national-park-authority/Q72617158/BFS18
