name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
6189,"440 ALLERTON ROAD, L18",,,2019-11-30,,0.101365,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.892618 53.372341),6189,,,/brownfield-land/local-authority-eng/LIV/6189
5157,LIVERPOOL WATERS - NORTHERN DOCKS,,,2019-11-30,,15.049742,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-3.002699 53.424026),5157,,,/brownfield-land/local-authority-eng/LIV/5157
6312,147 BRECK ROAD,,,2019-11-30,,0.008225,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.953957 53.424722),6312,,,/brownfield-land/local-authority-eng/LIV/6312
4011,HOLLY COTTAGE AND LAND OF WOOD LANE,,,2019-11-30,,0.608753,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.829982 53.381396),4011,,,/brownfield-land/local-authority-eng/LIV/4011
4559,DORSET COURT. MADEIRA DRIVE L25.,,,2019-11-30,,0.519459,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.861819 53.394582),4559,,,/brownfield-land/local-authority-eng/LIV/4559
5714,CATS WHISKERS P.H. HARTSBOURNE AVENUE L25,,,2019-11-30,,0.160509,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.865537 53.391058),5714,,,/brownfield-land/local-authority-eng/LIV/5714
2661,WAREHOUSES ON PALL MALL (NORTH) & LAND TO REAR,,,2019-11-30,,1.190775,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.993428 53.414305),2661,,,/brownfield-land/local-authority-eng/LIV/2661
2877,KING EDWARD TRIANGLE,,,2019-11-30,,2.339496,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.998004 53.411175),2877,,,/brownfield-land/local-authority-eng/LIV/2877
2734,JAMAICA STRRET AND LAND BETWEEN NORFOLK STREET AND BRICK STREET,,,2019-11-30,,0.483236,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.979773 53.396242),2734,,,/brownfield-land/local-authority-eng/LIV/2734
341,PRINCES DOCK AREA,,,2019-11-30,,11.400157,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.999218 53.409061),341,,,/brownfield-land/local-authority-eng/LIV/341
154,LAND AT JUNCTION OF ISLINGTON / ASHTON PLACE / GILDART STREET,,,2019-11-30,,0.521847,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.971634 53.411303),154,,,/brownfield-land/local-authority-eng/LIV/154
6165,ERSKINE STREET / MANFRED STREET / PROSPECT STREET,,,2019-11-30,,0.485342,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.963349 53.411487),6165,,,/brownfield-land/local-authority-eng/LIV/6165
6121,"STRAND HOUSE, 21 STRAND STREET",,,2019-11-30,,0.383448,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.990881 53.403728),6121,,,/brownfield-land/local-authority-eng/LIV/6121
2236,BUILDING AT COCKSPUR ST WEST/ PALL MALL / PRUSSIA ST / HIGHFIELD STREET,,,2019-11-30,,0.3053,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.990838 53.410938),2236,,,/brownfield-land/local-authority-eng/LIV/2236
2245B,33 DEVON STREET,,,2019-11-30,,0.105785,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.969996 53.411388),2245B,,,/brownfield-land/local-authority-eng/LIV/2245B
2261,SOUTH EAST JUNCTION OF ISLINGTON / NORTON STREET,,,2019-11-30,,0.403712,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.974705 53.410729),2261,,,/brownfield-land/local-authority-eng/LIV/2261
5798,11 FONTENOY STREET L3,,,2019-11-30,,0.15921,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.984126 53.41022),5798,,,/brownfield-land/local-authority-eng/LIV/5798
5995,"SILKHOUSE COURT, TITHEBARN STREET L2.",,,2019-11-30,,0.227176,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.991778 53.408665),5995,,,/brownfield-land/local-authority-eng/LIV/5995
6335,"HUGHES HOUSE, 101-113 LONDON ROAD",,,2019-11-30,,0.334164,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.973075 53.409835),6335,,,/brownfield-land/local-authority-eng/LIV/6335
6093,LAND AT NORTON STREET / ISLINGTON,,,2019-11-30,,0.323136,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.976004 53.410269),6093,,,/brownfield-land/local-authority-eng/LIV/6093
6186,122 OLD HALL STREET,,,2019-11-30,,0.134763,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.996136 53.411703),6186,,,/brownfield-land/local-authority-eng/LIV/6186
5719,LAND AT CORNER OF DEVON STREET & MOSS STREET L6,,,2019-11-30,,0.283205,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.968749 53.411452),5719,,,/brownfield-land/local-authority-eng/LIV/5719
3169,GRASSED AREA CORNER OF PRESCOT STREET & ERSKINE STREET,,,2019-11-30,,0.246813,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.962533 53.411322),3169,,,/brownfield-land/local-authority-eng/LIV/3169
4019,LAND BOUNDED BY SKELHORNE ST / BOLTON ST & NEW HILBRE WALK,,,2019-11-30,,0.195873,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.978101 53.40662),4019,,,/brownfield-land/local-authority-eng/LIV/4019
5546,"MERSEY HOUSE, THE STRAND",,,2019-11-30,,0.134031,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.992534 53.404955),5546,,,/brownfield-land/local-authority-eng/LIV/5546
