name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
16/7101/FUL,"Sir Thomas Lipton Memorial Hospital Osidge, 151 Chase Side, Southgate, London",yes,,2017-12-19,,2.01,30,30,Demolition of 3 no. existing buildings and conversion of Osidge House to Class C3 residential use providing 16 no. self-contained flats. Erection of 3-storey apartment building to provide 8 no. self-contained flats. Erection of 3 no. 3-storey townhouses,local-authority-eng:BNE,not owned by a public authority,2017-06-23,,permissioned,full planning permission,POINT(-0.137044 51.634924),16/7101/FUL,https://maps.london.gov.uk/brownfield-site-register,2017-12-19,/brownfield-land/local-authority-eng/BNE/16-7101-FUL
15/04442/FUL,"Imperial House, The Hyde, London",yes,,2017-12-19,,0.41,81,81,Redevelopment of Imperial House comprising the demolition of existing buildings and erection of buildings ranging from 3 to 16 storeys to provide 81 residential units (Use Class C3) and 815sqm of replacement office accommodation (Use Class B1) along with,local-authority-eng:BNE,mixed ownership,2017-03-17,,permissioned,full planning permission,POINT(-0.260006 51.595554),15/04442/FUL,https://maps.london.gov.uk/brownfield-site-register,2017-12-19,/brownfield-land/local-authority-eng/BNE/15-04442-FUL
F/04474/14,"Granville Road Estate, Granville Road, Childs Hill London",yes,,2017-12-19,,3.73,132,132,"Demolition of Beech Court, garages and other ancillary buildings and the erection of new buildings (including an extension to Nant Court) between two and six storeys in height (with additional basement levels in places) to provide 132 new dwellings in to",local-authority-eng:BNE,,2016-08-08,,permissioned,full planning permission,POINT(-0.201089 51.56474),F/04474/14,https://maps.london.gov.uk/brownfield-site-register,2017-12-19,/brownfield-land/local-authority-eng/BNE/F-04474-14
16/0601/FUL,"112-132 Cricklewood Lane, London",yes,,2017-12-19,,0.64,122,122,"The erection of a part 3, part 6, part 8 storey building comprising 122 no. residential units and 279 sqm (GIA) of commercial floorspace, including the provision of private and communal amenity space, landscaping, car parking, cycle parking, refuse stora",local-authority-eng:BNE,not owned by a public authority,2016-08-30,,permissioned,full planning permission,POINT(-0.209208 51.55972),16/0601/FUL,https://maps.london.gov.uk/brownfield-site-register,2017-12-19,/brownfield-land/local-authority-eng/BNE/16-0601-FUL
15/05969/FUL,"Church Walk House, Church Walk, London",yes,,2017-12-19,,0.42,35,35,Demolition of existing building and construction of part two part three storey building with additional roof level and basement level to provide 35 no. self-contained units with associated parking and landscaping,local-authority-eng:BNE,mixed ownership,2016-12-19,,permissioned,full planning permission,POINT(-0.198727 51.561358),15/05969/FUL,https://maps.london.gov.uk/brownfield-site-register,2017-12-19,/brownfield-land/local-authority-eng/BNE/15-05969-FUL
16/5993/FUL,"114 - 120 West Heath Road, London",yes,,2017-12-19,,0.68,46,46,"Demolition of existing buildings and comprehensive redevelopment of the site for a building arranged over basement, partial lower ground floor level and four to five floors above to provide up to 46no. Assisted/Independent Living units (class C2 resident",local-authority-eng:BNE,owned by a public authority,2017-03-21,,permissioned,full planning permission,POINT(-0.192637 51.566139),16/5993/FUL,https://maps.london.gov.uk/brownfield-site-register,2017-12-19,/brownfield-land/local-authority-eng/BNE/16-5993-FUL
17/2690/PNO,"220 The Vale, London",yes,,2017-12-19,,0.05,14,14,Change of use from Use Class B1 (office) to Use Class C3 (residential) to provide (14 Units),local-authority-eng:BNE,not owned by a public authority,2017-06-22,,permissioned,full planning permission,POINT(-0.213086 51.563089),17/2690/PNO,https://maps.london.gov.uk/brownfield-site-register,2017-12-19,/brownfield-land/local-authority-eng/BNE/17-2690-PNO
H/00146/12,"Blocks C5 To C12, Beaufort Park (Land At Former Raf East Camp Site), Aerodrome Road/ Grahame Park Way, Hendon, London",yes,,2017-12-19,,1.52,560,560,"Reserved matters application seeking approval for appearance, landscaping, layout and design in relation to buildings C5 to C12 comprising 560 homes and 900 sqm of non-residential floorspace, pursuant to condition 6 of outline permission W/00198/AA/04 fo",local-authority-eng:BNE,not owned by a public authority,2012-12-21,,permissioned,reserved matters approval,POINT(-0.240493 51.594625),H/00146/12,https://maps.london.gov.uk/brownfield-site-register,2017-12-19,/brownfield-land/local-authority-eng/BNE/H-00146-12
14/07064/FUL,"Buildings D3 To D8, Beaufort Park, Aerodrome Road, Colindale",yes,,2017-12-19,,0.82,237,237,"Construction of a building of 6 cores of up to 10 storeys to comprise 237 residential homes and 357 sq.m GIA of commercial floorspace (A1 to A4, B1, B2, D1 and D2), including associated car and cycle parking and landscaping (This application is accompani",local-authority-eng:BNE,not owned by a public authority,2015-04-21,,permissioned,full planning permission,POINT(-0.239213 51.594498),14/07064/FUL,https://maps.london.gov.uk/brownfield-site-register,2017-12-19,/brownfield-land/local-authority-eng/BNE/14-07064-FUL
16/3652/NMA,"C7-C8A Beaufort Park, Land At Former RAF East Camp, Aerodrome Road/ Grahame Parkway, Hendon, London",yes,,2017-12-19,,0.46,177,177,Non-material amendment to planning permission H/04184/14 dated 13/11/14. Amendments include internal reconfiguration of blocks C7 - C8a,local-authority-eng:BNE,not owned by a public authority,2016-06-09,,permissioned,full planning permission,POINT(-0.240448 51.59466),16/3652/NMA,https://maps.london.gov.uk/brownfield-site-register,2017-12-19,/brownfield-land/local-authority-eng/BNE/16-3652-NMA
W01731JS/04,"Grahame Park Estate - Bounded By Lanacre Avenue To The West, Grahame Park Way To The South And Field Mead To The North London",yes,,2017-12-19,,34.3,2977,2977,"Redevelopment of site involving the demolition of 1314 existing residential units and construction of 2977 new residential units providing a total of 3440 units on the estate, provision of approximately 9074sqm replacement retail (Class A1), office (Clas",local-authority-eng:BNE,not owned by a public authority,2007-01-17,,permissioned,outline planning permission,POINT(-0.244862 51.603017),W01731JS/04,https://maps.london.gov.uk/brownfield-site-register,2017-12-19,/brownfield-land/local-authority-eng/BNE/W01731JS-04
