site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Site of Mount Pleasant Hospital, Frederick Road, St Leonards",,,2017-12-15,,1.84,40,40,,local-authority-eng:HAS,not owned by a public authority,,,not permissioned,,POINT(0.599822 50.869646),BL1,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL1.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL1
"123-125 West Hill Road, Hastings",,,2017-12-15,,0.7,117,117,construction of multi-level apartment block containing 117 residential units with basement car parking,local-authority-eng:HAS,not owned by a public authority,1989-09-11,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_3205,permissioned,reserved matters approval,POINT(0.540465 50.851932),BL2,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL2.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL2
"Hastings Station Yard (Part), Hastings (also known as Station Plaza, Station Approach, Devonshire Road)",yes,,2017-12-15,,0.44,103,103,Site is part of last uncompleted and unimplemented phase of larger station plaza redevelopment,local-authority-eng:HAS,not owned by a public authority,2009-11-11,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_84409,permissioned,full planning permission,POINT(0.579032 50.858544),BL3,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL3.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL3
"Former Observer Building, 53 Cambridge Road, Hastings",,,2017-12-15,,0.07,50,39,"mixed use development comprising Artist Studio (Lower Ground), Shared Residents Gymnasium (Mezzanine), Restaurant & Shop (Ground) and 50 flats with private roof terrace. Proposal includes ancillary reception, common facilities and cycle storage/ shared car parking with ancillary plant and servicing facilities and external alterations",local-authority-eng:HAS,not owned by a public authority,,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_103671,pending decision,full planning permission,POINT(0.575898 50.855317),BL4,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL4.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL4
"Seaside Road, West St Leonards",,,2017-12-15,,2.22,120,120,,local-authority-eng:HAS,owned by a public authority,,,not permissioned,,POINT(0.536785 50.850457),BL5,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL5.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL5
"Broomgrove Redevelopment area, Former Power Station, Ore Valley, Hastings",,,2017-12-15,,2.35,50,50,,local-authority-eng:HAS,not owned by a public authority,,,pending decision,,POINT(0.593313 50.868604),BL6,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL6.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL6
"12-19 Braybrooke Terrace, Hastings",,,2017-12-15,,0.23,25,25,,local-authority-eng:HAS,not owned by a public authority,,,not permissioned,,POINT(0.574521 50.858272),BL7,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL7.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL7
"Taxi Office, Site of Former social club, St John's Road, St Leonards",,,2017-12-15,,0.12,30,30,,local-authority-eng:HAS,not owned by a public authority,,,not permissioned,,POINT(0.561204 50.855647),BL8,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL8.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL8
"Site of Former Stills factory, Fellows Road, Ore Valley, Hastings",,,2017-12-15,,2.71,75,75,,local-authority-eng:HAS,not owned by a public authority,,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_114813,pending decision,,POINT(0.591943 50.869294),BL9,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL9.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL9
"Site of former West St Leonards Primary School, Bexhill Road, Hastings",,,2017-12-15,,3.92,100,100,,local-authority-eng:HAS,owned by a public authority,,,not permissioned,,POINT(0.53228 50.852693),BL10,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL10.pdf,2017-12-15,brownfield-land/local-authority-eng/HAS/BL10
