name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BD072,Trough Laithe Farm,yes,,2019-10-14,,0.512,10,10,Outline: Erection of 5 No. dwelling houses and improvements to access from Wheatley Lane Road (Access and Layout only). No work has been started been started on this site as yet.,local-authority-eng:PEN,not owned by a public authority,2018-08-13,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.2313 53.8472),BD072,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2019-10-14,/brownfield-land/local-authority-eng/PEN/BD072
BK045,"Land at Kirkstall Drive, Barnoldswick",yes,2019-12-17,2019-10-14,,0.11,6,6,Erection of 6 two-storey houses in three blocks Complete,local-authority-eng:PEN,not owned by a public authority,2005-06-08,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1735 53.9209),BK045,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2017-12-14,/brownfield-land/local-authority-eng/PEN/BK045
BK090,"Land to the rear of the Greyhound Pub, Manchester Road, Barnoldswick",yes,,2019-10-14,,0.22,9,9,"Full: Erection of 9 dwellings with associated access, parking and landscaping. Work has not started at this site. A further application at the site was dismissed at appeal. It is unclear as to the owners intentions. No Building Control records available. The owner has returned the Housing Land Survey form and indicated that they intend to start development within 1 year and complete it within 2-5 years.",local-authority-eng:PEN,not owned by a public authority,2015-04-02,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1882 53.9126),BK090,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2017-12-14,/brownfield-land/local-authority-eng/PEN/BK090
BK110,"B Preston Joinery Works, Bank Street, Barnoldswick",yes,,2019-10-14,,0.034,5,5,"Full: Erection of 5 dwellings with associated curtilages, landscaping and parking area to side.Development at the site has not yet started. The demolition of the existing workshop building has now been carried out. No Building Control records available. Owner has returned the Housing Land Survey form indicating they intend to start the development within 1 year and complete it within 2-5 years.",local-authority-eng:PEN,not owned by a public authority,2015-11-25,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1839 53.9178),BK110,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2017-12-14,/brownfield-land/local-authority-eng/PEN/BK110
BK115,"Briercliffe Lodge, Rainhall Crescent, Barnoldswick",yes,,2019-10-14,,0.14,5,5,"Outline: Demolition of existing nursing home and construction of 5 dwelling houses in a terrace row (Access, Layout and Scale).No work has started at this site - Outline permission only. No Reserved Matters application submitted. No Building Control records available. Owner has returned the Housing Land Survey form indicating that they intend to start and complete the site within 2-5 years.",local-authority-eng:PEN,not owned by a public authority,2016-06-13,https://publicaccess.pendle.gov.uk/online-applications/,not permissioned,other,POINT(-2.1716 53.9199),BK115,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2017-12-14,/brownfield-land/local-authority-eng/PEN/BK115
BK116,"St Andrews Methodist Church, Mosley Street, Barnoldswick",yes,,2019-10-14,,0.14,6,6,"Full: Part demolition of school building and conversion to six 1 and 2 bed apartments and erection of two storey extension to rear, erection of single storey extension to rear of church.No work has started at this site. A Building Control application for the extension has been submitted. Owner did not return the Housing Land Survey form.",local-authority-eng:PEN,not owned by a public authority,2016-07-06,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1851 53.9156),BK116,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2017-12-14,/brownfield-land/local-authority-eng/PEN/BK116
BK132 / P077,"Gisburn Street Works, Barnoldswick",yes,,2019-10-14,,0.093,3,3,"Full: Demolition of garage, joiners workshop and office and erection of 7 dwelling houses. Work has started on site",local-authority-eng:PEN,not owned by a public authority,2019-02-27,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1885 53.9207),BK132 / P077,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2019-10-14,/brownfield-land/local-authority-eng/PEN/BK132---P077
BR037,"Four Oaks, The Crescent, Brierfield",yes,,2019-10-14,,0.39,9,9,"Erection of 9 dwellinghouses (Extension of time). Development at the site has not yet started, although Building Control records indicate that some foundations for one of the dwellings has now been laid. Owner did not return the Housing Land Survey form.",local-authority-eng:PEN,not owned by a public authority,2013-09-04,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.2309 53.8185),BR037,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2017-12-14,/brownfield-land/local-authority-eng/PEN/BR037
BR072,"Marsden Cross, 30 Higher Reedley Road, Brierfield",yes,,2019-10-14,,0.26,10,4,"Full: Major: Conversion of former Public House into 10 No. one bed flats, car parking and access. Work has started on this site",local-authority-eng:PEN,not owned by a public authority,2019-12-19,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.2205 53.8224),BR072,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2017-12-14,/brownfield-land/local-authority-eng/PEN/BR072
BY011,"Barley House Farm, Barley Lane, Barley",yes,,2019-10-14,,0.25,5,5,"Reserved Matters: Erection of 5 detached dwelling houses (Appearance, Landscaping, Layout and Scale) of Planning Permission 13/15/0290P and formation of access road (Re-Submission). Work has not started at this site - Outline permission only. A Reserved Matters application has not been submitted. No Building Control records available. Owner did not return the Housing Land Survey form.",local-authority-eng:PEN,not owned by a public authority,2015-09-15,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.2725 53.8603),BY011,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2017-12-14,/brownfield-land/local-authority-eng/PEN/BY011
CE078,"Oak Mill, Skipton Road, Colne",yes,,2019-10-14,,0.78,32,32,"Full: Major: Erection of 32 dwellings with associated works including parking, highways and landscaping. A new planning permission has been granted at this site. The site is now in the Council's ownership and is being brought forward by the Joint Venture Partnership PEARL. No Building Control records available.",local-authority-eng:PEN,owned by a public authority,2016-12-12,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1617 53.8621),CE078,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2017-12-14,/brownfield-land/local-authority-eng/PEN/CE078
CE197 / P167,"Site of Former 1 to 34 Bright Street, Colne",yes,,2019-10-14,,0.287,9,9,Full: Major: Erection of 10 semi-detached bungalows with associated bin storage and parking. Work has started on site,local-authority-eng:PEN,not owned by a public authority,2018-12-07,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1714 53.8581),CE197 / P167,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2019-10-14,/brownfield-land/local-authority-eng/PEN/CE197---P167
CE198,"Colne Commercial Centre, Exchange Street, Colne",yes,,2019-10-14,,0.033,1,1,Prior Approval Notification: (Class O - Offices to Dwelling Houses) Change of use of B1(a) Office to up to 16 dwellings C3. The owner intends to start this year.,local-authority-eng:PEN,not owned by a public authority,2018-10-24,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,other,POINT(-2.1709 53.8559),CE198,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2019-10-14,/brownfield-land/local-authority-eng/PEN/CE198
CE200,"Garage site to the rear of 10-24 Essex Street, Colne",yes,,2019-10-14,,0.274,5,5,Full: Major: Erection of 15 residential units including 9 dwelling houses and 6 apartments with 26 car parking spaces (resubmission). No work has been started been started on this site as yet.,local-authority-eng:PEN,not owned by a public authority,2019-01-14,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1683 53.8543),CE200,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2019-10-14,/brownfield-land/local-authority-eng/PEN/CE200
CE201,"58-60 Brown Street West, Colne",yes,,2019-10-14,,0.058,2,2,Full: Major: Change of use from light industrial (Use Class B1) to 10 residential apartments (Use Class C3). Work has started on site,local-authority-eng:PEN,not owned by a public authority,2019-03-11,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1802 53.8557),CE201,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2019-10-14,/brownfield-land/local-authority-eng/PEN/CE201
CE203,"45 Market Street, Colne",yes,,2019-10-14,,0.013,1,1,"Full: Change of use of first, second and third floors to provide 5x apartments (Use Class C3), replacement of upper floor windows to three elevations and installation of security shutter to re. Work has started on site",local-authority-eng:PEN,not owned by a public authority,2019-03-18,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1662 53.8574),CE203,https://www.pendle.gov.uk/downloads/download/3052/brownfield_register_site_plans,2019-10-14,/brownfield-land/local-authority-eng/PEN/CE203
