name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BLA/0039(a),"Land to rear of 21-33 Western Avenue, Blacon",,,2017-12-21,,0.29,16,16,Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,POINT(-2.9272 53.203847),BLA/0039(a),http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21,/brownfield-land/local-authority-eng/CHW/BLA-0039-a-
BLA/0070,"27 Blacon Point Road, Blacon, Chester. CH1 5LD",yes,,2017-12-21,,0.17,6,6,11/01876/FUL 12/02648/FUL. Two storey side extension to provide four (4) new flats. Addition of two (2) more flats - total of six (6),local-authority-eng:CHW,not owned by a public authority,2012-09-11,,permissioned,full planning permission,POINT(-2.920795 53.20191),BLA/0070,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21,/brownfield-land/local-authority-eng/CHW/BLA-0070
BOU/0010,"King Edward Buildings/ Bensons site and surrounding land, Christleton",,,2017-12-21,,0.34,11,11,Residential development,local-authority-eng:CHW,mixed ownership,,,not permissioned,,POINT(-2.864868 53.189457),BOU/0010,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21,/brownfield-land/local-authority-eng/CHW/BOU-0010
BOU/0045,"Land at Premier House, Charterhall Drive, Chester",,,2017-12-21,,2.48,200,200,"12/04895/FUL 14/03317/REM 14/01799/NMA. Full permission for first office building and outline permission for mixed use development comprising office buildings, dwellings, shops, financial and professional services, restaurants and cafes, drinking establishments, hot food takeaways, non residential institutions, assembly and leisure, access, car parking, servicing and landscaping",local-authority-eng:CHW,not owned by a public authority,,,permissioned,reserved matters approval,POINT(-2.876752 53.194638),BOU/0045,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21,/brownfield-land/local-authority-eng/CHW/BOU-0045
BOU/0074,"125-127 Boughton, Chester, CH3 5BH",yes,,2018-12-30,,,14,14,"Change of use of a listed building to residential (8 apartments), demolition of out-building and erection of 2 storey building for 6 apartments ",local-authority-eng:CHW,not owned by a public authority,2017-01-30,,permissioned,,POINT(-2.873301 53.192722),BOU/0074,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30,/brownfield-land/local-authority-eng/CHW/BOU-0074
BOU/0084,"The Cloud, 10 Boughton, Chester, CH3 5BH",yes,,2018-12-30,,0.07,8,8,"17/04633/PDO, 18/01720/FUL. Change of use of building to 8 apartments",local-authority-eng:CHW,not owned by a public authority,2018-11-08,,permissioned,full planning permission,POINT(-2.879949 53.192106),BOU/0084,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30,/brownfield-land/local-authority-eng/CHW/BOU-0084
CHC/0003,"Linenhall car park, Stanley Street, Chester, CH1 2LR",,,2017-12-21,,0.74,202,202,"13/03210/FUL 17/00530/NMA. Six-storey student accommodation comprising 59 cluster flats and 143 studios, together with ancilliary and communal facilities, landscaping and car parking",local-authority-eng:CHW,not owned by a public authority,2013-12-23,,permissioned,full planning permission,POINT(-2.896198 53.19043),CHC/0003,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21,/brownfield-land/local-authority-eng/CHW/CHC-0003
CHC/0004,"Land off Hoole Way/Black Diamond Street, Chester",,,2017-12-21,,0.3,20,20,Residential development,local-authority-eng:CHW,not owned by a public authority,,,permissioned,,POINT(-2.884913 53.19696),CHC/0004,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21,/brownfield-land/local-authority-eng/CHW/CHC-0004
CHC/0005A,"Land at Trafford Street, Chester",,,2018-12-30,,,,,Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,POINT(-2.88986 53.196572),CHC/0005A,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21,/brownfield-land/local-authority-eng/CHW/CHC-0005A
CHC/0005B,"Former Partco Autoparts, Trafford Street, Chester",yes,,2018-12-30,,,35,35,18/00486/FUL. Re-development of site to provide 35 residential apartments (Class C3),local-authority-eng:CHW,not owned by a public authority,2018-08-17,,permissioned,full planning permission,POINT(-2.889845 53.196581),CHC/0005B,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30,/brownfield-land/local-authority-eng/CHW/CHC-0005B
