site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Bridge House, Bridge Court, Normanby",yes,,2018-12-11,,0.17,12,12,Permission is for 12 No. 1-bed flats.,local-authority-eng:RCC,not owned by a public authority,,https://planning.redcar-cleveland.gov.uk/(S(uu2vptib0zpyew1olpkpck1q))/plaRecord.aspx?AppNo=R/2015/0645/FFM,permissioned,full planning permission,POINT(-1.159834 54.555829),464,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/464.pdf,2017-11-10,brownfield-land/local-authority-eng/RCC/464
"Wilton Lane, Guisborough",yes,,2018-12-11,,0.27,14,14,Local Plan Housing Allocation. Permission is for 14 semi-detached 3-bed dwellings.. https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf,local-authority-eng:RCC,not owned by a public authority,,https://planning.redcar-cleveland.gov.uk/(S(uu2vptib0zpyew1olpkpck1q))/plaRecord.aspx?AppNo=R/2017/0407/FFM,permissioned,full planning permission,POINT(-1.054712 54.539524),136,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/136.pdf,2017-11-10,brownfield-land/local-authority-eng/RCC/136
"Land Adjacent Ryehills School, Redcar",yes,,2018-12-11,,1.4,49,49,"Local Plan Housing Allocation. Permission granted on appealfor 49 dwellings comprising 2,3 and 4-bed semi-detached and detached dwellings.. https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf",local-authority-eng:RCC,owned by a public authority,,,permissioned,full planning permission,POINT(-1.057576 54.605045),387,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/387.pdf,2017-11-10,brownfield-land/local-authority-eng/RCC/387
"Former Rosecroft School, Rosecroft Lane, Loftus",yes,,2018-12-11,,1.38,69,69,Part of wider local plan allocation of with former playing field for 100 dwellings over 3.1ha.. https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf,local-authority-eng:RCC,owned by a public authority,,,permissioned,full planning permission,POINT(-0.891035 54.550708),360,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/360.pdf,2017-11-10,brownfield-land/local-authority-eng/RCC/360
"Hummersea Hills Phase 1, Loftus",,,2018-12-11,,0.41,17,17,Comprises remaining development area on extant consent at phase 1 .,local-authority-eng:RCC,not owned by a public authority,2010-03-08,https://planning.redcar-cleveland.gov.uk/(S(y3dqliq10gifg4sfkqqfuc4f))/plaRecord.aspx?AppNo=R/2009/0766/FFM,permissioned,full planning permission,POINT(-0.886763 54.557688),389,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/389.pdf,2017-11-10,brownfield-land/local-authority-eng/RCC/389
"Hummersea Hills Phase 2, Loftus",,,2018-12-11,,3.11,104,104,Site excludes 1.0ha associated public open space which is part of the planning permission and is adjacent to the site.. Comprises remaining dwellings on phase 2 and excludes separate permission on part of the site for 60 extra-care apartments which is expected to lapse in June 2018. The figure of 104 includes 34 dwellings previously proposed on the apartment permission site.,local-authority-eng:RCC,not owned by a public authority,2011-11-04,https://planning.redcar-cleveland.gov.uk/(S(y3dqliq10gifg4sfkqqfuc4f))/plaRecord.aspx?AppNo=R/2011/0375/FFM,permissioned,full planning permission,POINT(-0.889832 54.557402),392,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/392.pdf,2017-11-10,brownfield-land/local-authority-eng/RCC/392
"Former Abattoir Site, Boosbeck",,,2018-12-11,,0.81,31,31,Local Plan Housing Allocation. Part of larger allocation site (4.3ha.) site with outline permission for 69 dwellings. Rest of allocation is currently Council owned open space.. https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf,local-authority-eng:RCC,not owned by a public authority,2017-02-22,https://planning.redcar-cleveland.gov.uk/(S(uu2vptib0zpyew1olpkpck1q))/plaRecord.aspx?AppNo=R/2016/0759/OOM,permissioned,outline planning permission,POINT(-0.983966 54.54464),457,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/457.pdf,2017-11-10,brownfield-land/local-authority-eng/RCC/457
"Former Handale Primary School, Loftus",,,2018-12-11,,0.28,10,10,Local Plan Housing Allocation. https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf,local-authority-eng:RCC,owned by a public authority,,,not permissioned,,POINT(-0.892609 54.554237),456,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/456.pdf,2017-11-10,brownfield-land/local-authority-eng/RCC/456
"Land at Park Lane, Guisborough",,,2018-12-11,,0.48,40,40,Local Plan Housing Allocation. https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf,local-authority-eng:RCC,owned by a public authority,,,not permissioned,,POINT(-1.057268 54.536596),376,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/376.pdf,2017-11-10,brownfield-land/local-authority-eng/RCC/376
"Land at Stanghow Road, Skelton",,,2018-12-11,,0.33,10,10,Local Plan Housing Allocation. https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf,local-authority-eng:RCC,not owned by a public authority,,,not permissioned,,POINT(-0.972613 54.560263),405,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/405.pdf,2017-11-10,brownfield-land/local-authority-eng/RCC/405
"Former Salvation Army Hall, Bolckow Street, Eston",yes,,2018-12-11,,0.18,6,6,Change of use from assembly hall to 6 flats.,local-authority-eng:RCC,not owned by a public authority,2016-08-03,https://planning.redcar-cleveland.gov.uk/(S(uy1ufumhnyqs3jgp1edp505h))/plaRecord.aspx?AppNo=R/2016/0181/FF,permissioned,full planning permission,POINT(-1.140837 54.557763),472,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/472.pdf,2017-11-10,brownfield-land/local-authority-eng/RCC/472
"Low Grange Farm (part), South Bank",,,2018-12-11,,11.2,438,438,"Local Plan Housing Allocation. This site comprises a cleared housing area and a former landfill site and forms part of a larger (32ha.) area of land at Low Grange Farm with outline planning permission for up to 1,250 dwellings which was granted for a period of 10 years, to 2026, to reflect the scale and market location of the site.. https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf",local-authority-eng:RCC,not owned by a public authority,2016-03-31,https://planning.redcar-cleveland.gov.uk/Planning/Display?applicationNumber=R%2F2014%2F0372%2FOOM,permissioned,outline planning permission,POINT(-1.165608 54.576737),135,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/135.pdf,2018-12-11,brownfield-land/local-authority-eng/RCC/135
"Former Eston Park School (part), Teesville",,,2018-12-11,,1.15,40,40,"The site comprises an area of cleared former school buildings abutting the former school playing field area (3ha) which is also in public (Council) ownership and allocated for approximately 100 dwellings in Policy H3.9 of the Local Plan. The brownfield site became available following plan adoption, but It is anticipated that both sites would logically come forward as a single development scheme.",local-authority-eng:RCC,owned by a public authority,,,not permissioned,,POINT(-1.159298 54.566107),452,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/452.pdf,2018-12-11,brownfield-land/local-authority-eng/RCC/452
"Wykeham Close, Redcar",,,2018-12-11,,0.55,19,19,Cleared site within 1970s former public housing estate in suburban location. The yield estimate assumes a gross density of 35dwellings per hectare.,local-authority-eng:RCC,not owned by a public authority,,,not permissioned,,POINT(-1.07464 54.596019),413,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/413.pdf,2018-12-11,brownfield-land/local-authority-eng/RCC/413
"Layland House, North Skelton",yes,,2018-12-11,,0.18,6,6,The layout attached to the outline permission shows 6 no. semi-detached dwellings.,local-authority-eng:RCC,not owned by a public authority,2017-11-20,https://planning.redcar-cleveland.gov.uk/Planning/Display?applicationNumber=R%2F2017%2F0665%2FOO,permissioned,outline planning permission,POINT(-0.964549 54.558091),476,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/476.pdf,2018-12-11,brownfield-land/local-authority-eng/RCC/476
"1 Pearl Street, Saltburn",yes,,2018-12-11,,0.02,10,10,Permission is for conversion from HMO to 10 flats.,local-authority-eng:RCC,not owned by a public authority,2018-02-18,https://planning.redcar-cleveland.gov.uk/Planning/Display?applicationNumber=R%2F2018%2F0014%2FCAM,permissioned,full planning permission,POINT(-0.972868 54.58453),519,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/519.pdf,2018-12-11,brownfield-land/local-authority-eng/RCC/519
"Parklands Public House, Normanby",,,2018-12-11,,0.46,12,12,Yield assumes 12 no semi-detached dwellings and access road.,local-authority-eng:RCC,not owned by a public authority,,,not permissioned,,POINT(-1.164364 54.556625),460,https://wca.redclev.net/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202018%20site%20plans/460.pdf,2018-12-11,brownfield-land/local-authority-eng/RCC/460
