site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"High Road Broxbourne, Broxbourne, EN10 7DD, Broxbourne School",,,,,6.093,,,,,owned by a public authority,,,permissioned,,POINT(-5.002568 54.685449),BR01,,,
"Churchgate, Cheshunt, EN8 9ED, Former St Marys High School Site",,,,,3.055,,,,,not owned by a public authority,,,permissioned,,POINT(-0.053365 51.704633),BR02,,,
"Park Lane Paradise, Cheshunt, EN7 6TD, Cheshunt Park Farm",,,,,2.238,,,,,not owned by a public authority,,,permissioned,,POINT(-5.032888 54.666694),BR03,,,
"Land rear of 45-47 high Street, Cheshunt, EN8 0BS, Land rear of 45-47 High Street",,,,,0.083,,,,,not owned by a public authority,,,permissioned,,POINT(-0.036569 51.709812),BR04,,,
"Rosedale Way, Cheshunt, Waltham Cross, Hertfordshire, EN7 6HR, Fourfields",,,,,0.5224,,,,,owned by a public authority,,,permissioned,,POINT(-5.048675 54.663744),BR05,,,
"6 Windmill Lane, Cheshunt, EN8 9AA, Wolsey Hall",,,,,0.158,,,,,owned by a public authority,,,permissioned,,POINT(-5.069064 54.679898),BR06,,,
"Delamare Road, Cheshunt, Cheshunt Lakeside",,,,,12.46,,,,,not owned by a public authority,,,not permissioned,,POINT(-5.063678 54.684197),BR07,,,
"Bishops College, Churchgate, Cheshunt, EN8 9XG, Broxbourne Borough Council Offices and Car Park",,,,,1.911,,,,,owned by a public authority,,,not permissioned,,POINT(-5.067554 54.671808),BR08,,,
"Theobalds Lane, Cheshunt, Hertfordshire, EN8 8RU, Cheshunt Football Club",,,,,5.304,,,,,owned by a public authority,,,not permissioned,,POINT(-5.082967 54.674986),BR09,,,
"577-579 Goffs Lane, Goffs Oak, EN7 5HJ, South of Goffs Lane/Manning Ground",,,,,1.883,,,,,not owned by a public authority,,,not permissioned,,POINT(-5.057745 54.649462),BR10,,,
"104 Cuffley Hill, Goffs Oak, EN7 5EY, CG Edwards",,,,,1.208,,,,,not owned by a public authority,,,not permissioned,,POINT(-5.053771 54.641345),BR11,,,
"Rye Road, Hoddesdon, EN11, Turnford Surfacing Site",,,,,0.5787,,,,,not owned by a public authority,,,not permissioned,,POINT(-4.952312 54.705196),BR12,,,
"Lord Street, Hoddesdon, EN11 8NL, Rosehill Bowls Club",,,,,0.3019,,,,,not owned by a public authority,,,not permissioned,,POINT(-4.967868 54.687761),BR13,,,
"Essex Road, Hoddesdon, EN11 0BX, Oaklands Yard",,,,,0.908,,,,,not owned by a public authority,,,permissioned,,POINT(-0.003161 51.763356),BR14,,,
"Land rear of 76 High Street, Hoddesdon, EN11 8ET, Land rear of 76 High Street",,,,,0.231,,,,,not owned by a public authority,,,permissioned,,POINT(-4.970666 54.694822),BR15,,,
