site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Sunningdale Park Civil Service College Silwood Road Ascot Berkshire SL5 0LS,,,2018-01-19,,4,150,150,,local-authority-eng:WNM,owned by a public authority,,http://publicaccess.rbwm.gov.uk/online-applications/,,,POINT(-0.638624 51.40042),H00036,,2018-01-19
Land at ICL Silwood Campus - Zone A Imperial College Silwood Park Buckhurst Road Ascot,,,2018-01-19,,3,5,5,,local-authority-eng:WNM,owned by a public authority,,http://publicaccess.rbwm.gov.uk/online-applications/,REC,,POINT(-0.643268 51.407218),H00037a,,2018-01-19
Land at ICL Silwood Campus - Zone B Imperial College Silwood Park Buckhurst Road Ascot,,,2018-01-19,,3,5,5,,local-authority-eng:WNM,owned by a public authority,,http://publicaccess.rbwm.gov.uk/online-applications/,REC,,POINT(-0.641429 51.408609),H00037b,,2018-01-19
"Land west of St George's Lane, including Shorts Recycling, Ascot",,,2018-01-19,,6,35,35,,local-authority-eng:WNM,not owned by a public authority,,http://publicaccess.rbwm.gov.uk/online-applications/,,,POINT(-0.669618 51.407853),H00040,,2018-01-19
Boyn Valley Rd/Kings Grove Industrial Area,,,2018-01-19,,4,40,40,,local-authority-eng:WNM,not owned by a public authority,,http://publicaccess.rbwm.gov.uk/online-applications/,,,POINT(-0.730007 51.517767),H00066,,2018-01-19
Boyn Valley Rd/Kings Grove Industrial Area,,,2018-01-19,,1,40,40,,local-authority-eng:WNM,not owned by a public authority,,http://publicaccess.rbwm.gov.uk/online-applications/,REC,,POINT(-0.728959 51.518151),H00066a,,2018-01-19
"Straight Works, Straight Road, Old Windsor",,,2018-01-19,,1,13,13,,local-authority-eng:WNM,not owned by a public authority,,http://publicaccess.rbwm.gov.uk/online-applications/,REC,,POINT(-0.577697 51.457966),H00069,,2018-01-19
"OW NP site: 95 Straight Road, Old Windsor",,,2018-01-19,,0,8,8,,local-authority-eng:WNM,not owned by a public authority,,http://publicaccess.rbwm.gov.uk/online-applications/,,,POINT(-0.575994 51.455787),H00070,,2018-01-19
Gas Holder Station Whyteladyes Lane Cookham Maidenhead,,,2018-01-19,,1,35,35,,local-authority-eng:WNM,not owned by a public authority,,http://publicaccess.rbwm.gov.uk/online-applications/,REC,,POINT(-0.730165 51.553035),H00077,,2018-01-19
St Cloud's Gate,,,2018-01-19,,3,400,400,,local-authority-eng:WNM,owned by a public authority,,http://publicaccess.rbwm.gov.uk/online-applications/,REC,,POINT(-0.718551 51.52542),H00080,,2018-01-19
