name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
04/P0775,"59 Cambridge Road, West Wimbledon, London, SW20 0SB",,,2017-12-31,,0.07,7,7,,local-authority-eng:MRT,not owned by a public authority,2004-11-29,,permissioned,full planning permission,POINT(-0.23607 51.412669),04/P0775,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/04-P0775
08/P0258,"Part of ground, 1st & 2nd floors, 143 Cannon Hill Lane, Raynes Park, London, SW20 9BZ",,,2017-12-31,,0.02,5,5,,local-authority-eng:MRT,not owned by a public authority,2011-06-24,,permissioned,full planning permission,POINT(-0.214258 51.403373),08/P0258,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/08-P0258
08/P1522,"18 & 18a Oakwood Road, West Wimbledon, London, SW20 0PN",,,2017-12-31,,0.04,5,5,,local-authority-eng:MRT,not owned by a public authority,2010-02-03,,permissioned,full planning permission,POINT(-0.240554 51.414976),08/P1522,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/08-P1522
08/P3098,"1 York Road, South Wimbledon, SW19 8TP",,,2017-12-31,,0.06,8,8,,local-authority-eng:MRT,not owned by a public authority,2009-09-29,,permissioned,full planning permission,POINT(-0.188598 51.422547),08/P3098,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/08-P3098
09/P1848,"85 - 86 High Street, Wimbledon, SW19 5EG",,,2017-12-31,,0.05,8,8,,local-authority-eng:MRT,not owned by a public authority,2012-07-11,,permissioned,full planning permission,POINT(-0.216604 51.425099),09/P1848,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/09-P1848
09/P2716,"472 London Road, Mitcham, CR4 4ED",,,2017-12-31,,0.05,5,5,,local-authority-eng:MRT,not owned by a public authority,2010-01-27,,permissioned,full planning permission,POINT(-0.172649 51.398343),09/P2716,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/09-P2716
13/P0952,"247 The Broadway, Wimbledon, SW19 1SD",,,2017-12-31,,0.14,9,9,,local-authority-eng:MRT,not owned by a public authority,2014-03-21,,permissioned,full planning permission,POINT(-0.195344 51.41927),13/P0952,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/13-P0952
13/P3496,"1st, 2nd & 3rd Floors, 138-140 Alexandra Road, Wimbledon, SW19 7JY",,,2017-12-31,,0.05,12,12,,local-authority-eng:MRT,not owned by a public authority,2013-12-20,,permissioned,full planning permission,POINT(-0.207076 51.421572),13/P3496,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/13-P3496
13/P3497,"1st & 2nd Floors, 296 Kingston Road, Raynes Park, SW20 8LX",,,2017-12-31,,0.06,7,7,,local-authority-eng:MRT,not owned by a public authority,2013-12-23,,permissioned,full planning permission,POINT(-0.213049 51.40929),13/P3497,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/13-P3497
13/P3761,"1st, 2nd & 3rd Floors, 6-12 Gladstone Road, Wimbledon, SW19 1QT",,,2017-12-31,,0.22,11,11,,local-authority-eng:MRT,not owned by a public authority,2014-01-20,,permissioned,full planning permission,POINT(-0.202335 51.419225),13/P3761,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/13-P3761
13/P4024,"1st & 2nd Floors, Ashville House, 131-139 The Broadway, Wimbledon, SW19 1QJ",,,2017-12-31,,0.09,11,11,,local-authority-eng:MRT,not owned by a public authority,2014-02-06,,permissioned,full planning permission,POINT(-0.199658 51.418914),13/P4024,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/13-P4024
14/P0792,"187 Commonside East, Mitcham, CR4 1HB",yes,,2017-12-31,,0.06,9,9,,local-authority-eng:MRT,not owned by a public authority,2016-07-27,,permissioned,full planning permission,POINT(-0.153907 51.402159),14/P0792,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/14-P0792
14/P4287,"Rainbow Industrial Estate, Approach Road, Raynes Park, SW20 0JY",yes,,2017-12-31,,2.23,224,224,,local-authority-eng:MRT,not owned by a public authority,2016-05-23,,permissioned,full planning permission,POINT(-0.231165 51.408612),14/P4287,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/14-P4287
14/P1172,"78 Durham Road, West Wimbledon, SW20 0TL",yes,,2017-12-31,,0.03,5,5,,local-authority-eng:MRT,not owned by a public authority,2015-04-02,,permissioned,full planning permission,POINT(-0.233193 51.411942),14/P1172,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/14-P1172
14/P2817,"Holt Lodge, London Road, Morden, SM4 5AN",yes,,2017-12-31,,0.07,7,7,,local-authority-eng:MRT,not owned by a public authority,2014-11-27,,permissioned,full planning permission,POINT(-0.19951 51.398534),14/P2817,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/14-P2817
15/P2082,"258 Coombe Lane, Raynes Park, SW20 0RW",yes,,2017-12-31,,0.25,5,5,,local-authority-eng:MRT,not owned by a public authority,2016-09-05,,permissioned,full planning permission,POINT(-0.242922 51.413231),15/P2082,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/15-P2082
14/P3076,"24a High Street, Wimbledon, SW19 5EE",,,2017-12-31,,0.04,5,5,,local-authority-eng:MRT,not owned by a public authority,2014-09-26,,permissioned,full planning permission,POINT(-0.218156 51.425132),14/P3076,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/14-P3076
14/P3574,"Thornton House, 17 Hillside & Faraday House, 49 Thornton Road, West Wimbledon, SW19 4NQ",yes,,2017-12-31,,0.22,14,14,,local-authority-eng:MRT,not owned by a public authority,2014-11-17,,permissioned,full planning permission,POINT(-0.218294 51.419387),14/P3574,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/14-P3574
14/P3746,"1st Floor and part of 2nd and 3rd Floors, Standor House, 284 London Road, Mitcham, CR4 3NB",yes,,2017-12-31,,0.13,16,16,,local-authority-eng:MRT,not owned by a public authority,2014-12-03,,permissioned,full planning permission,POINT(-0.164973 51.404779),14/P3746,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31,/brownfield-land/local-authority-eng/MRT/14-P3746
