site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Former Pegasus/Hamptons Site, Coldecott Road, Oulton Broad, Suffolk",yes,,2017-11-23,yes,1.69,76,76,"Was allocated in 2014 Site Specific Local Plan and allocated in emerging Local Plan policy OUL2. Details of the application (BA/2012/0271/FUL). Re-development of former Pegasus Boatyard to provide 76 dwellings, new boatyard buildings, office, moorings and new access road. Policy Number OUL2 and Planning Application Number BA/2012/0271/FUL.",,not owned by a public authority,2014-07-14,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?keyVal=M96Z8STBT0000&activeTab=summary,permissioned,full planning permission,POINT(1.708607 52.477034),BF000008,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M96Z8STBT0000,2017-11-23,
Derbys Quay Bridge Wharf Gillingham Dam Gillingham Beccles Norfolk NR34 0PA,yes,,2017-11-23,,0.03,2,2,Planning application number: BA/2013/0171/EXT8W extends time limit for BA/2010/0124/FUL.. Application to extend time limit of previous PP - BA/2010/0124/FUL for the conversion of offices and stores into two first floor holiday studio flats,,not owned by a public authority,2014-08-08,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MOJ2UJTB00200,permissioned,full planning permission,POINT(1.560871 52.464464),BF000001,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MOJ2UJTB00200,2017-11-23,
"Hedera House, The Street, Thurne, Norfolk",yes,,2017-11-23,,0.77,16,16,Allocated in Sites Specifics Local Plan 2014 and draft allocated in emerging new Local Plan Policy THU1. Details of the planning application: BA/2017/0103/OUT. Outline application to redevelop Hedera House to form 6 residential dwellings and 10 new holiday cottages. Policy number THU1. Planning Application number: BA/2017/0103/OUT,,not owned by a public authority,2017-09-12,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?keyVal=ON9TEYTB01W00&activeTab=summary,permissioned,outline planning permission,POINT(1.554869 52.686439),BF000010,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ON9TEYTB01W00,2017-11-23,
"Building next to Kings Head Hotel, Station Road, Hoveton.",yes,,2017-11-23,,0.03,0,0,Allocated in emerging Local Plan - Policy HOV3.. Allocated in emerging Local Plan for holiday accommodation. Policy HOV3.,,not owned by a public authority,,,not permissioned,,POINT(1.409031 52.712724),BF000007,http://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,2017-11-23,
"Spinnakers, near A143, St Olaves, Norfolk.",yes,,2017-11-23,,0.12,1,1,Allocated in Sites Specifics Local Plan 2014. Allocated in emerging Local Plan Policy SOL2.. Allocated in emerging Local Plan for holiday accommodation amongst other uses to complement the flood risk in the area. Policy SOL2.,,not owned by a public authority,,,not permissioned,,POINT(1.617158 52.534793),BF000009,http://www.broads-authority.gov.uk/__data/assets/pdf_file/0012/995574/16_ST_OLAVES-new.pdf,2017-11-23,
Riverside House Woods End Kirby Bedon NR14 7ED,yes,,2017-11-23,,0.21,1,1,Planning application number: BA/2016/0379/CU.. Extension to existing residential dwelling and conversion of outbuilding to holiday accommodation,,not owned by a public authority,2016-12-15,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OF0SJATBG8V00,permissioned,other,POINT(1.380951 52.605294),BF000004,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OF0SJATBG8V00,2017-11-23,
The Valley House Low Road Mettingham Suffolk NR35 1TS,yes,,2017-11-23,,2.56,4,4,BA/2014/0239/FUL withdrawn. BA/2003/6138/HISTAP Approved subject to conditions.. Conversion of existing barns and outbuildings to form new residential units and erection of a new stable block.,,not owned by a public authority,2016-06-30,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZUKQATBFTZ00,permissioned,full planning permission,POINT(1.472336 52.465423),BF000003,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZUKQATBFTZ00,2017-11-23,
"Barnes Brinkcraft (Formerly Moore & Co), Staitheway Road, Wroxham, Norwich, NR12 8TH",yes,,2017-11-23,,0.06,3,3,Planning application number: BA/2015/0381/FUL .. BA/2015/0381/FUL Part demolition of boatshed and erection of 3 no. holiday dwellings. Application for re-approval of extant permission BA/2013/0019/FUL.,,not owned by a public authority,2016-01-11,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NXYOW9TB01W00,permissioned,full planning permission,POINT(1.406998 52.709253),BF000002,http://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NXYOW9TB01W00,2017-11-23,
"Former Waterside Rooms, Station Road, Hoveton.",yes,,2017-11-23,,0.1,0,0,Allocated in emerging Local Plan - Policy HOV3.. Allocated in emerging Local Plan for A3 and A4 uses and an element of residential may be acceptable. Policy HOV3.,,not owned by a public authority,,,not permissioned,,POINT(1.40878 52.712854),BF000006,http://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,2017-11-23,
"Old Broads Hotel Site, Station Road, Hoveton",yes,,2017-11-23,,0.11,0,0,Allocated in emerging Local Plan - Policy HOV3.. Allocated in emerging Local Plan for A3 and A4 land uses and an element of residential may be acceptable. Policy HOV3.,,not owned by a public authority,,,not permissioned,,POINT(1.408405 52.713662),BF000005,http://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,2017-11-23,
