name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
180556,Greencoat House 32 St Leonards Road,yes,,2019-12-12,,0.068,5,5,,local-authority-eng:EAS,not owned by a public authority,2018-08-30,,permissioned,full planning permission,,180556,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2019-12-12,/brownfield-land/local-authority-eng/EAS/180556
EP36,Former Railway Sidings Tutts Barn Lane,,,2019-12-12,,4.06,181,181,,local-authority-eng:EAS,not owned by a public authority,,,not permissioned,,,EP36,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2019-12-12,/brownfield-land/local-authority-eng/EAS/EP36
HA18,Garages adjacent 25-32 Fletching Road,,,2018-12-11,,0.1,8,8,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,HA18,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/HA18
HA27,14-29 Brassey Parade,yes,,2018-12-11,,0.39,22,22,,local-authority-eng:EAS,not owned by a public authority,,,pending decision,,,HA27,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2018-12-11,/brownfield-land/local-authority-eng/EAS/HA27
HA35,Garages to the rear of 11 Cade Street,,,2018-12-11,,0.05,6,6,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,HA35,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2018-12-11,/brownfield-land/local-authority-eng/EAS/HA35
HA43,Garages to the rear of 17 Pulborough Avenue,,,2018-12-11,,0.16,6,6,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,HA43,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/HA43
HA45,Garages adjacent to 1 Wadhurst Close,,,2018-12-11,,0.09,5,5,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,HA45,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/HA45
LA01,Car park to east of Langney Shopping Centre,,,2018-12-11,,0.13,10,10,,local-authority-eng:EAS,not owned by a public authority,,,not permissioned,,,LA01,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/LA01
LA22,Garages between 7 and 9 Biddenden Close,yes,,2018-12-11,,0.08,5,5,,local-authority-eng:EAS,owned by a public authority,2018-09-07,,permissioned,full planning permission,,LA22,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/LA22
LA31,Garages adjacent to 45 Westerham Road,,,2018-12-11,,0.08,6,6,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,LA31,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/LA31
LA32,Garages to the rear of Antrim Court Wrotham Close,,,2018-12-11,,0.07,6,6,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,LA32,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/LA32
LA35,"Woods Cottages, Swanley Close",,,2019-12-12,,0.22,8,8,,local-authority-eng:EAS,not owned by a public authority,,,pending decision,,,LA35,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2019-12-12,/brownfield-land/local-authority-eng/EAS/LA35
LA44,Car Park rear of Langney shopping centre,,,2019-12-12,,0.12,9,9,,local-authority-eng:EAS,not owned by a public authority,,,pending decision,,,LA44,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2019-12-12,/brownfield-land/local-authority-eng/EAS/LA44
ME05,"Wood Winton, 63A Silverdale Road",yes,,2019-12-12,,0.37,6,6,,local-authority-eng:EAS,not owned by a public authority,2019-08-27,,permissioned,full planning permission,,ME05,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2019-12-12,/brownfield-land/local-authority-eng/EAS/ME05
ME28,"Kempston, 3 Granville Road, Eastbourne, East Sussex, BN20 7EB",yes,,2019-12-12,,0.12,8,8,,local-authority-eng:EAS,not owned by a public authority,2019-07-15,,permissioned,full planning permission,,ME28,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2019-12-12,/brownfield-land/local-authority-eng/EAS/ME28
OC10,"St. Elizabeth’s Church, Old Town",,,2018-12-11,,0.5,20,20,,local-authority-eng:EAS,not owned by a public authority,,,not permissioned,,,OC10,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/OC10
OL10,Land adjacent 51 Church Street,,,2018-12-11,,0.04,6,6,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,OL10,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/OL10
OL12,Greenfield Road Methodist Church,,,2018-12-11,,0.07,5,5,,local-authority-eng:EAS,not owned by a public authority,,,not permissioned,,,OL12,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2018-12-11,/brownfield-land/local-authority-eng/EAS/OL12
OL16,"Milton Garage, 72a Milton Road",,,2019-12-12,,0.11,5,5,,local-authority-eng:EAS,not owned by a public authority,,,not permissioned,,,OL16,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2019-12-12,/brownfield-land/local-authority-eng/EAS/OL16
