site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Former working men's club, New Road, Audley",yes,22/05/2019,2019-12-12,,0.33,,,15/00692/FUL - Erection of 12 dwellings. Now completed,local-authority-eng:NEC,not owned by a public authority,2016-05-27,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0016SIBMLI000,permissioned,full planning permission,POINT(-2.292382 53.055588),AB17,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NSLI1MBMGW500,2017-12-18,brownfield-land/local-authority-eng/NEC/AB17
"Land at Wedgewood Avenue, Wood Lane",,,2019-12-12,,0.16,,,Site promoted by registered provider,local-authority-eng:NEC,not owned by a public authority,,,not permissioned,,POINT(-2.284465 53.04953),AB29,,2019-12-12,brownfield-land/local-authority-eng/NEC/AB29
West Avenue (North West Site) Kidsgrove,,,2019-12-12,,0.98,,,"19/00760/FUL - Residential development for 71 dwellings, 53 dwellinghouses and 18 apartments. Pending decision",local-authority-eng:NEC,not owned by a public authority,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001O2PBMLI000,pending decision,full planning permission,POINT(-2.267113 53.087567),BL7,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PYA1YPBM01S00,2019-12-12,brownfield-land/local-authority-eng/NEC/BL7
"Land adjacent to roundabout at West Avenue, Kidsgrove",yes,,2019-12-12,,1.42,,,15/00368/OUT - Residential development for 44 dwellings,local-authority-eng:NEC,not owned by a public authority,2016-09-07,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0017IRBMLI000,permissioned,outline planning permission,POINT(-2.265407 53.086337),BL8,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NNMN7MBMN3F00,2017-12-18,brownfield-land/local-authority-eng/NEC/BL8
"Land between Johnson Avenue and Liverpool Road, Cross Heath",,,2019-12-12,,0.23,,,09/00045/FUL - Demolition of existing bungalow and erection of eight dwellings,local-authority-eng:NEC,not owned by a public authority,2009-03-27,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0015ADBMLI000,permissioned,full planning permission,POINT(-2.236159 53.027163),CH12,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=KEA2Q4BM06500,2019-12-12,brownfield-land/local-authority-eng/NEC/CH12
"Wilmott Drive, Cross Heath, Newcastle-under-Lyme",yes,,2019-12-12,,8.79,,,17/00281/FUL - Development of 276 dwellings,local-authority-eng:NEC,not owned by a public authority,2018-05-16,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IIY4TKBMY3000,permissioned,full planning permission,POINT(-2.243963 53.023674),CH4,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ONOB4WBMK6800,2017-12-18,brownfield-land/local-authority-eng/NEC/CH4
"Dragon Square, Rosevale Court",,,2019-12-12,,0.35,,,Site promoted by registered provider,local-authority-eng:NEC,not owned by a public authority,,,not permissioned,,POINT(-2.253582 53.043811),CT12,,2019-12-12,brownfield-land/local-authority-eng/NEC/CT12
"Heathcote Street, Chesterton (Chesterton Ex-Servicemens Club)",yes,,2019-12-12,,0.1,,,18/00559/FUL - Proposed 10 no. two bedroom self contained flats,local-authority-eng:NEC,not owned by a public authority,2019-03-08,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001M94BMLI000,permissioned,full planning permission,POINT(-2.250345 53.043764),CT13,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PC1SPJBMJF700,2017-12-18,brownfield-land/local-authority-eng/NEC/CT13
Ex Servicemens Club Heathcote Street,yes,22/05/2019,2019-12-12,,0.31,,,17/00417/FUL - Residential development of 14 dwellings. Now completed,local-authority-eng:NEC,not owned by a public authority,2017-09-28,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001M94BMLI000,permissioned,full planning permission,POINT(-2.250515 53.043873),CT22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OQ3EWWBMH0G00,2017-12-18,brownfield-land/local-authority-eng/NEC/CT22
"Corona Park, Sandford Street, Chesterton",yes,22/05/2019,2019-12-12,,0.3,,,10/00480/FUL - Erection of 16 terraced dwellings. Now completed,local-authority-eng:NEC,not owned by a public authority,2010-12-07,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0017SDBMLI000,permissioned,full planning permission,POINT(-2.250297 53.043168),CT23,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=L7AIQNBM4V000,2017-12-18,brownfield-land/local-authority-eng/NEC/CT23
"Hulston Site, Birch House Road, Chesterton, Newcastle-under-Lyme",yes,,2019-12-12,,0.61,,,17/01033/FUL - Demolition of former Community Centre and construction of 30 dwellings,local-authority-eng:NEC,not owned by a public authority,2019-05-29,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001ND6BMLI000,permissioned,full planning permission,POINT(-2.255443 53.047141),CT9,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P1COTGBMMNA00,2018-12-11,brownfield-land/local-authority-eng/NEC/CT9
"London Road, Chesterton (Bennett Arms)",yes,,2019-12-12,,0.15,,,09/00155/FUL - Demolition of existing public house and erection of seven dwellings,local-authority-eng:NEC,not owned by a public authority,2009-05-22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001IMBBMLI000,permissioned,full planning permission,POINT(-2.241555 53.033535),HD18,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=KGT5XUBM06A00,2017-12-18,brownfield-land/local-authority-eng/NEC/HD18
"Wrinehill Garage, Main Road, Betley",yes,,2019-12-12,,0.16,,,17/00968/FUL - Erection of 9 no. dwellings,local-authority-eng:NEC,not owned by a public authority,2018-04-10,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00013SBMLI000,permissioned,full planning permission,POINT(-2.368071 53.019213),HM3,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0C7NOBMKXQ00,2017-12-18,brownfield-land/local-authority-eng/NEC/HM3
"Minnie Close, Halmerend (Working Mens Club)",yes,,2019-12-12,,0.23,,,19/00117/FUL - Proposed demolition of existing Working Mens Club and the development of 7 new dwelling houses,local-authority-eng:NEC,not owned by a public authority,2019-04-05,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DCVBMLI000,permissioned,full planning permission,POINT(-2.298715 53.039266),HM9,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PN6GFYBMMY100,2019-12-12,brownfield-land/local-authority-eng/NEC/HM9
"Land off East Lawns, Betley",,,2019-12-12,,0.23,,,Site promoted by registered provider,local-authority-eng:NEC,not owned by a public authority,,,not permissioned,,POINT(-2.366432 53.036595),HM28,,2019-12-12,brownfield-land/local-authority-eng/NEC/HM28
"Former Garages at Gloucester Road, Kidsgrove",yes,,2019-12-12,,0.29,,,18/00059/REM - 8 dwellings,local-authority-eng:NEC,owned by a public authority,2018-03-27,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NBSAMEBM03Y00,permissioned,reserved matters approval,POINT(-2.234533 53.094598),KG15,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P323PPBMI9400,2017-12-18,brownfield-land/local-authority-eng/NEC/KG15
"Lock Up Garages Sussex Drive, Kidsgrove",yes,,2019-12-12,,0.13,,,18/00686/REM - Erection of 6 town houses,local-authority-eng:NEC,not owned by a public authority,2018-10-30,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001O4CBMLI000,permissioned,reserved matters approval,POINT(-2.241689 53.091838),KG16,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PEJ7HOBMFQG00,2017-12-18,brownfield-land/local-authority-eng/NEC/KG16
"William Road, Kidsgrove (site of the Galley PH)",yes,,2019-12-12,,0.18,,,11/00494/FUL - Development of new town houses. Now lapsed,local-authority-eng:NEC,not owned by a public authority,2011-12-23,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0016AHBMLI000,not permissioned,,POINT(-2.237602 53.091812),KG6,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LRRZTZBM4V000,2017-12-18,brownfield-land/local-authority-eng/NEC/KG6
"Pepper Street, Keele",yes,,2019-12-12,,14.16,,,18/00262/REM - Erection of 100 dwellings,local-authority-eng:NEC,not owned by a public authority,2018-08-17,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=JE2HYOBMY3000,permissioned,reserved matters approval,POINT(-2.293089 53.013843),KL16,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P6CXZXBMGZH00,2018-12-11,brownfield-land/local-authority-eng/NEC/KL16
