site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Former Mansfield Brewery (part B), Great Central Road, Mansfield",,,2017-12-13,,0.76,30,20,2017/0631/PIP. https://planning.mansfield.gov.uk/online-applications,local-authority-eng:MAS,not owned by a public authority,2017-12-12,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9535&p=0,permissioned,Permission in principle,POINT(-1.19 53.14),1,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9535&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/1
"Former Mansfield General Hospital, West Hill Drive, Mansfield",yes,,2017-09-26,,1.11,54,54,REGULATION 3 APPLICATION FOR 42 NO APARTMENTS WITH COMMUNAL AREAS AND 12 NO. BUNGALOWS FOR OCCUPATION BY THE ELDERLY,local-authority-eng:MAS,owned by a public authority,2016-03-10,,permissioned,full planning permission,POINT(-1.2 53.15),2,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/2
"Wood Lane (Miners Welfare), Wood Lane, Church Warsop",,,2017-12-13,,1.05,35,25,2017/0633/PIP. https://planning.mansfield.gov.uk/online-applications,local-authority-eng:MAS,not owned by a public authority,2017-12-12,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9536&p=0,permissioned,Permission in principle,POINT(-1.17 53.21),33,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9536&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/33
"Former Evans Halshaw site, Nottingham Road, Mansfield",yes,,2017-09-26,,1.92,66,66,DEMOLITION OF EXISTING BUILDINGS AND CONSTRUCTION OF 66 NO. RESIDENTIAL DWELLINGS WITH ASSOCIATED ACCESS CAR PARKING AND GARAGES,local-authority-eng:MAS,not owned by a public authority,2017-06-30,,permissioned,full planning permission,POINT(-1.19 53.12),54,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/54
"Kirkland Avenue Industrial Park, Kirkland Avenue, Mansfield",,,2017-12-13,,0.7,25,15,2017/0636/PIP. https://planning.mansfield.gov.uk/online-applications,local-authority-eng:MAS,not owned by a public authority,2017-12-12,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9537&p=0,permissioned,Permission in principle,POINT(-1.21 53.14),68,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9537&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/68
"Former Mansfield Hosiery Mill Car Park & Electricity Board workshops & social club, Botany Avenue, Mansfield",,,2017-12-13,,0.97,35,25,2017/0637/PIP. https://planning.mansfield.gov.uk/online-applications,local-authority-eng:MAS,not owned by a public authority,2017-12-12,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9538&p=0,permissioned,Permission in principle,POINT(-1.21 53.14),75,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9538&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/75
"Land at the corner of Quarry Lane, Mansfield., Quarry Lane, Mansfield",yes,,2017-09-26,,0.25,21,21,CONSTRUCTION OF 21 NO. TWO AND THREE BEDROOM APARTMENTS TOGETHER WITH ASSOCIATED PARKING AND SITE DEVELOPMENT WORKS,local-authority-eng:MAS,not owned by a public authority,2015-10-21,,permissioned,full planning permission,POINT(-1.21 53.13),86,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/86
"Pleasley Hill Regeneration Area, Chesterfield Road North, Pleasley",yes,,2017-09-26,,3.81,151,151,151 NO. NEW HOMES INCLUDING 12 NO. APARTMENTS AND 1 NO. COMMERCIAL/RETAIL BUILDING,local-authority-eng:MAS,not owned by a public authority,2014-12-19,,permissioned,full planning permission,POINT(-1.24 53.17),92,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/92
"Vauxhall Garage, Sutton Road, Mansfield",,,2017-09-26,,0.87,41,41,APPLICATION TO REPLACE AN EXTANT PERMISSION (2010/0407/ST) IN ORDER TO EXTEND THE TIME LIMIT FOR IMPLEMENTATION - OUTLINE APPLICATION FOR RESIDENTIAL DEVELOPMENT COMPRISING 41 NO. UNITS AND FORMATION OF NEW MEANS OF ACCESS FROM SUTTON ROAD.,local-authority-eng:MAS,not owned by a public authority,2016-09-06,,permissioned,outline planning permission,POINT(-1.22 53.14),95,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/95
"Land at Hermitage Lane, Mansfield",yes,,2017-09-26,,0.9,25,25,DEMOLITION OF EXISTING BUILDING AND ERECTION OF 25 NO. HOUSES AND ANCILLARY WORKS,local-authority-eng:MAS,not owned by a public authority,2015-05-18,,permissioned,full planning permission,POINT(-1.22 53.14),96,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/96
"18 Burns Street, Mansfield",yes,,2017-09-26,,0.17,21,21,CONVERSION OF DISUSED FACTORY AND ANCILLARY BUILDINGS TO 8NO. APARTMENTS AND 13NO. FLATS,local-authority-eng:MAS,not owned by a public authority,,,pending decision,full planning permission,POINT(-1.21 53.15),99,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/99
"Land at 7 Oxclose Lane, Grosvenor Close, Mansfield Woodhouse",yes,,2017-09-26,,0.45,17,17,RESIDENTIAL DEVELOPMENT OF 17 NO. BUNGALOWS (FOR THE OVER 50 AGE GROUP) WITH OFF ROAD PARKING AND AMENDED VEHICULAR ACCESS,local-authority-eng:MAS,not owned by a public authority,2016-12-15,,permissioned,full planning permission,POINT(-1.2 53.16),105,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/105
"Former Mansfield Sand Co, Sandhurst Avenue, Mansfield",yes,,2017-09-26,,3.35,107,107,APPLICATION FOR OUTLINE PLANNING PERMISSION FOR RESIDENTIAL DEVELOPMENT (107 UNITS) WITH ACCESS TO BE CONSIDERED AND OTHER MATTERS RESERVED,local-authority-eng:MAS,not owned by a public authority,2014-09-09,,permissioned,outline planning permission,POINT(-1.19 53.13),106,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/106
"Land off Sutton Road, Mansfield",yes,,2017-09-26,,0.21,10,10,RESIDENTIAL DEVELOPMENT OF 10 NO. THREE BEDROOM DWELLINGS WITH ACCESS ROAD AND LANDSCAPING,local-authority-eng:MAS,not owned by a public authority,2015-12-30,,permissioned,full planning permission,POINT(-1.23 53.13),109,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/109
"Former Miners Offices, Berry Hill Lane, Mansfield",yes,,2017-09-26,,0.93,18,18,"APPROVAL OF RESERVED MATTERS (APPEARANCE, LANDSCAPING, LAYOUT AND SCALE) FOR 18 NO. DWELLINGS FOLLOWING OUTLINE PERMISSION (2013/0174/ST)",local-authority-eng:MAS,not owned by a public authority,2015-03-31,,permissioned,reserved matters approval,POINT(-1.18 53.13),156,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,2017-09-26,brownfield-land/local-authority-eng/MAS/156
