name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
SC/001,"Land to rear of 119-127 Warley Road, Blackpool, FY1 2RW",,,2017-12-15,,0.224855,11,9,Site is in 2014 SHLAA. Site is in employment use but is for sale. Assumed density range 40 - 50 dph reflecting outer area location.,local-authority-eng:BPL,not owned by a public authority,,,not permissioned,,POINT(-3.047884 53.830272),SC/001,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,/brownfield-land/local-authority-eng/BPL/SC-001
SC/005,"Land at Coopers Way, Blackpool, FY1 3RJ",yes,,2017-12-15,,1.973876,74,74,"Site commenced and units completed. Site has stalled with 74 dwellings outstanding. Erection of residential development consisting of 64, two-storey and three-storey dwellinghouses, and 36 flats in three-storey blocks with associated vehicle and pedestrian access, public open space, car parking, garages and incidental landscaping",local-authority-eng:BPL,not owned by a public authority,2006-10-20,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_31195|http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_37044,permissioned,full planning permission,POINT(-3.041108 53.827886),SC/005,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,/brownfield-land/local-authority-eng/BPL/SC-005
SC/017,"37 Charles Street, Blackpool, FY1 3EY",,,2017-12-15,,0.036917,5,5,Site is in 2014 SHLAA. Permission 12/0826 for 5 dwellings expired. Density minimum and maximum reflect expired application.,local-authority-eng:BPL,not owned by a public authority,,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_57656,not permissioned,,POINT(-3.045974 53.820105),SC/017,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,/brownfield-land/local-authority-eng/BPL/SC-017
SC/063,"Land at Devonshire Road & Talbot Road, Blackpool, FY3 8AZ",,,2017-12-15,,1.47202,118,94,Site is in 2014 SHLAA. Site has been cleared and is available for redevelopment. Assumed density range 80 - 100 dph reflecting inner area location & assuming 80% developable area due to size of site.,local-authority-eng:BPL,owned by a public authority,,,not permissioned,,POINT(-3.040623 53.824834),SC/063,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,/brownfield-land/local-authority-eng/BPL/SC-063
SC/074,"119-125 Buchanan Street & 230-234 Talbot Road, Blackpool, FY1 3BP",,,2017-12-15,,0.099592,23,10,Site is in 2014 SHLAA. Outline permission for 23 residential units (11/0556) expired. Site in use as a car wash and a mobility centre but for sale for redevelopment. Density maximum reflects expired application and density minimum equates to 100 dph.,local-authority-eng:BPL,not owned by a public authority,,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_39214,not permissioned,,POINT(-3.04714 53.822368),SC/074,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,/brownfield-land/local-authority-eng/BPL/SC-074
SC/080,"Land rear of 2-14 Durham Road, Blackpool, FY1 3QB",,,2017-12-15,,0.05141,8,5,Site is in 2014 SHLAA. Permission 07/1138 for 4 terraced houses & 4 self contained flats expired. Site is advertised as for sale for redevelopment purposes. Density maximum reflects expired permission.,local-authority-eng:BPL,not owned by a public authority,,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_33962,not permissioned,,POINT(-3.041426 53.819227),SC/080,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,/brownfield-land/local-authority-eng/BPL/SC-080
SC/081,"102-110 Hornby Road, Blackpool, FY1 4QS",,,2017-12-15,,0.20537,32,16,Site is in 2014 SHLAA. Outline permission 11/0421 for 32 flats expired. Site is advertised as for sale. Density maximum reflects expired permission and density minimum equates to 80 dph reflecting inner area location.,local-authority-eng:BPL,not owned by a public authority,,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_34257,not permissioned,,POINT(-3.046877 53.814883),SC/081,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,/brownfield-land/local-authority-eng/BPL/SC-081
SC/085,"76 and 76a Kent Road, Blackpool, FY1 5ET",yes,,2017-12-15,,0.109623,12,12,Erection of 12 x three storey terrace dwelling houses with integral garages,local-authority-eng:BPL,not owned by a public authority,2016-03-14,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_60116,permissioned,outline planning permission,POINT(-3.047991 53.809607),SC/085,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,/brownfield-land/local-authority-eng/BPL/SC-085
SC/088,"7-11 Alfred Street, Blackpool, FY1 4LH",yes,,2017-12-15,,0.051554,14,14,Erection of a four-storey block of 14 self-contained permanent flats with balconies associated access and parking following the demolition of existing building,local-authority-eng:BPL,not owned by a public authority,2017-02-24,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_60930,permissioned,outline planning permission,POINT(-3.04875 53.817474),SC/088,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,/brownfield-land/local-authority-eng/BPL/SC-088
SC/094,"273-275 Promenade, Blackpool, FY1 6AJ",yes,,2017-12-15,,0.071137,14,14,"Site is in 2014 SHLAA. In relation to application 10/1445 records indicate foundation works have been undertaken that indicate a commencement. Permission 17/0568 granted for use of land as a car park for a temporary period of 3 years.. Renewal of planning permission 05/0541 involving the erection of six storey building to form retail unit at ground floor, restaurant at ground and first floor and 14 self contained permanent flats at upper floors, and basement parking",local-authority-eng:BPL,not owned by a public authority,2011-03-01,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_BLCKP_DCAPR_38568|http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_61698,permissioned,full planning permission,POINT(-3.054854 53.805286),SC/094,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,/brownfield-land/local-authority-eng/BPL/SC-094
