site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Former Network Rail Depot, Kings Road, Spalding",yes,,2017-11-22,,1.29,42,42,Residential development - erection of 42 dwellings. http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0486-16&from=planningSearch,local-authority-eng:SHO,not owned by a public authority,2017-01-04,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0486-16&from=planningSearch,permissioned,reserved matters approval,POINT(-0.153864 52.791491),BLR/SPA/001,https://www.sholland.gov.uk/media/7520/Former-Network-Rail-Depot-Kings-Road-Spalding/pdf/Former_Network_Rail_Depot__Kings_Road__Spalding.pdf,2017-11-22,brownfield-land/local-authority-eng/SHO/BLR-SPA-001
"15-21 and land to rear Winsover Road, Spalding",yes,,2017-11-22,,0.18,27,27,16 dwellings under construction. Demolition of 15-21 Winsover Road and buildings to rear and erect 27 dwellings and replacement shops. http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1004-09&from=planningSearch,local-authority-eng:SHO,not owned by a public authority,2014-05-27,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1004-09&from=planningSearch,permissioned,full planning permission,POINT(-0.156246 52.7867),BLR/SPA/002,https://www.sholland.gov.uk/media/7531/15-21-and-land-to-the-rear-Winsover-Road-Spalding/pdf/15-21_and_land_to_the_rear_Winsover_Road__Spalding.pdf,2017-11-22,brownfield-land/local-authority-eng/SHO/BLR-SPA-002
"30 Westlode Street, Spalding",yes,,2017-11-22,,0.06,7,7,"6 dwellings completed, 1 not started. Demolition of storage building and replace with 6 residential flats and conversion of first floor flat into two self contained flats with associated works. http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0532-15&from=planningSearch",local-authority-eng:SHO,not owned by a public authority,2015-09-14,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0532-15&from=planningSearch,permissioned,full planning permission,POINT(-0.148168 52.789406),BLR/SPA/003,https://www.sholland.gov.uk/media/7530/30-Westlode-Street-Spalding/pdf/30_Westlode_Street__Spalding.pdf,2017-11-22,brownfield-land/local-authority-eng/SHO/BLR-SPA-003
"5b and 5c Sheep Market, Spalding",yes,,2017-11-22,,0.1,6,6,Conversion of existing first floor into 6 no. self-contained residential flats. http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0150-16&from=planningSearch,local-authority-eng:SHO,not owned by a public authority,2016-04-04,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0150-16&from=planningSearch,permissioned,full planning permission,POINT(-0.153147 52.787056),BLR/SPA/004,https://www.sholland.gov.uk/media/7532/5b-and-5c-Sheep-Market-Spalding/pdf/5b_and_5c_Sheep_Market__Spalding.pdf,2017-11-22,brownfield-land/local-authority-eng/SHO/BLR-SPA-004
"Land immediately adjact to Spalding Library, Victoria Street, Spalding",yes,,2017-11-22,,0.14,6,6,"A new planning application (H16-0601-17) is currently under consideration for the erection of 7 apartments, including part demolition of existing brick building. This application is due to be determined by 21/12/17.. Demoliton of dilapidated building and erection of 6 No. 1 bed apartments. http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0146-16&from=planningSearch",local-authority-eng:SHO,not owned by a public authority,2016-04-11,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0146-16&from=planningSearch,permissioned,full planning permission,POINT(-0.154791 52.787091),BLR/SPA/005,https://www.sholland.gov.uk/media/7517/Land-immediately-adjacent-to-Spalding-Library-Victoria-Street-Spalding/pdf/Land_immediately_adjacent_to_Spalding_Library__Victoria_Street__Spalding.pdf,2017-11-22,brownfield-land/local-authority-eng/SHO/BLR-SPA-005
"The Robin Hood Inn, 1 Bourne Road, Spalding",yes,,2017-11-22,,0.03,6,6,Conversion of Public House into 6 self-contained flats. http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0172-16&from=planningSearch,local-authority-eng:SHO,not owned by a public authority,2016-05-19,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0172-16&from=planningSearch,permissioned,full planning permission,POINT(-0.167888 52.784219),BLR/SPA/006,https://www.sholland.gov.uk/media/7496/The-Robin-Hood-Inn-1-Bourne-Road-Spalding/pdf/The_Robin_Hood_Inn__1_Bourne_Road__Spalding.pdf,2017-11-22,brownfield-land/local-authority-eng/SHO/BLR-SPA-006
"Banbury Close, Spalding",yes,,2017-11-22,,0.35,10,10,Residential development of 10 dwellings with associated parking and garages on former builders yard. http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1163-15&from=planningSearch,local-authority-eng:SHO,not owned by a public authority,2017-01-12,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1163-15&from=planningSearch,permissioned,full planning permission,POINT(-0.148101 52.795519),BLR/SPA/007,https://www.sholland.gov.uk/media/7527/Banbury-Close-Spalding/pdf/Banbury_Close__Spalding.pdf,2017-11-22,brownfield-land/local-authority-eng/SHO/BLR-SPA-007
"EMG Hyundai, 2 St Johns Road, Spalding",yes,,2017-11-22,,1.06,48,48,"22 dwellings under construction. Demolition of existing properties and erection of 48 residential dwellings with associated access, hard landscaping, soft landscaping and parking. http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1083-16&from=planningSearch",local-authority-eng:SHO,not owned by a public authority,2017-03-20,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1083-16&from=planningSearch,permissioned,full planning permission,POINT(-0.161698 52.784726),BLR/SPA/008,https://www.sholland.gov.uk/media/7524/EMG-Hyundai-2-St-Johns-Road-Spalding/pdf/EMG_Hyundai__2_St_Johns_Road__Spalding.pdf,2017-11-22,brownfield-land/local-authority-eng/SHO/BLR-SPA-008
"Land off Willow Walk (Former Laws Yard), Spalding",yes,,2017-11-22,,0.52,21,16,"Resolution to grant full planning permission for the development of 22 dwellings, subject to the applicant entering into a s106 agreement. SHLAA ref no: Stp005. http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0283-17&from=planningSearch",local-authority-eng:SHO,not owned by a public authority,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0283-17&from=planningSearch,pending decision,,POINT(-0.143589 52.790378),BLR/SPA/009,https://www.sholland.gov.uk/media/7514/Land-off-Willow-Walk-Former-Laws-Yard-Spalding/pdf/Land_off_Willow_Walk__Former_Laws_Yard__Spalding.pdf,2017-11-22,brownfield-land/local-authority-eng/SHO/BLR-SPA-009
"Land to the east of Spalding Road, Pinchbeck",,,2017-11-22,,0.37,15,11,The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) indicates that there is a need to improve the water and foul sewerage network but that this should not impact upon the site's deliverability. SHLAA ref no: Pin025. The site is a proposed housing allocation in the South East Lincolnshire Local Plan (2011-2036): Publication Version (March 2017).. http://www.southeastlincslocalplan.org/wp-content/uploads/2017/03/Spalding-map-and-report.pdf,local-authority-eng:SHO,not owned by a public authority,,,Not permissioned,,POINT(-0.153326 52.805238),BLR/SPA/010,https://www.sholland.gov.uk/media/7512/Land-to-the-east-of-Spalding-Road-Pinchbeck/pdf/Land_to_the_east_of_Spalding_Road__Pinchbeck.pdf,2017-11-22,brownfield-land/local-authority-eng/SHO/BLR-SPA-010
