name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
SH_34_10_16,"Former Glendinning Site, Torhil, Ipplepen Road, Marldon, TQ3 1SE",yes,,2018-12-19,,0.68,10,10,3951/17/FUL,local-authority-eng:SHA,not owned by a public authority,,,pending decision,full planning permission,POINT(-3.600534 50.459882),SH_34_10_16,https://www.southhams.gov.uk/article/4291/Brownfield-LandRegister,2017-12-22,/brownfield-land/local-authority-eng/SHA/SH-34-10-16
SH_30_05_16,"Noss Marina, Bridge Road, Kingswear, Dartmouth, TQ6 0EA",yes,,2018-12-19,,8.93,130,130,2161/17/OPA,local-authority-eng:SHA,not owned by a public authority,,,pending decision,other,POINT(-3.575313 50.364775),SH_30_05_16,https://www.southhams.gov.uk/article/4291/Brownfield-LandRegister,2017-12-22,/brownfield-land/local-authority-eng/SHA/SH-30-05-16
SH_14_27_16,"Foxhole Complex and Shops, Dartington, Totnes, TQ9 6QT",yes,,2018-12-19,,5.87,130,130,,local-authority-eng:SHA,not owned by a public authority,,,not permissioned,,POINT(-3.70634 50.448089),SH_14_27_16,https://www.southhams.gov.uk/article/4291/Brownfield-LandRegister,2017-12-22,/brownfield-land/local-authority-eng/SHA/SH-14-27-16
SH_49_07_13,"Marquis Motorhomes Site, Lee Mill",yes,,2018-12-19,,0.34,30,30,,local-authority-eng:SHA,not owned by a public authority,,,not permissioned,,POINT(-3.976871 50.383887),SH_49_07_13,https://www.southhams.gov.uk/article/4291/Brownfield-LandRegister,2017-12-22,/brownfield-land/local-authority-eng/SHA/SH-49-07-13
SH_34_09_14,"RMC Quarry Site, Marldon",yes,,2018-12-19,,0.52,5,5,34/1890/15/O,local-authority-eng:SHA,not owned by a public authority,2017-09-27,,permissioned,outline planning permission,POINT(-3.603906 50.457524),SH_34_09_14,https://www.southhams.gov.uk/article/4291/Brownfield-LandRegister,2017-12-22,/brownfield-land/local-authority-eng/SHA/SH-34-09-14
1483/17/POD,"Parkers Barn, Parkers Way, Totnes, Devon, TQ9 5UF",yes,,2018-12-19,,0.46,26,26,1483/17/POD & 3895/17/POD,local-authority-eng:SHA,not owned by a public authority,2017-07-27,,permissioned,other,POINT(-3.678014 50.426988),1483/17/POD,https://www.southhams.gov.uk/article/4291/Brownfield-LandRegister,2017-12-22,/brownfield-land/local-authority-eng/SHA/1483-17-POD
37/2548/14/O,"SX5670, 4944 West of Collaton Park, Newton Ferrers, Devon, PL8 2NE",yes,,2018-12-19,,3.14,70,70,37/2548/14/O,local-authority-eng:SHA,not owned by a public authority,2016-09-16,,permissioned,outline planning permission,POINT(-4.013264 50.328101),37/2548/14/O,https://www.southhams.gov.uk/article/4291/Brownfield-LandRegister,2017-12-22,/brownfield-land/local-authority-eng/SHA/37-2548-14-O
0805/16/FUL,"Police Station, Mayors Avenue, Dartmouth, Devon, TQ6 9NF",yes,,2018-12-19,,0.02,5,5,0805/16/FUL,local-authority-eng:SHA,not owned by a public authority,2016-06-22,,permissioned,full planning permission,POINT(-3.579282 50.352211),0805/16/FUL,https://www.southhams.gov.uk/article/4291/Brownfield-LandRegister,2017-12-22,/brownfield-land/local-authority-eng/SHA/0805-16-FUL
58/2441/15/F,"Fort Bovisand, Bovisand, Bovisand, Devon, PL9 0AB",yes,,2018-12-19,,3.05,81,81,"58/2441/15/F, 2821/17/FUL",local-authority-eng:SHA,not owned by a public authority,2015-03-23,,permissioned,full planning permission,POINT(-4.125643 50.336974),58/2441/15/F,https://www.southhams.gov.uk/article/4291/Brownfield-LandRegister,2017-12-22,/brownfield-land/local-authority-eng/SHA/58-2441-15-F
14/0142/15/F,"Brimhay Bungalows, Development Site At Sx 7863 6192 Forder Lane, Dartington, Devon, TQ9 6HT",yes,,2018-12-19,,0.75,32,32,14/0142/15/F,local-authority-eng:SHA,not owned by a public authority,2015-12-09,,permissioned,full planning permission,POINT(-3.710645 50.444437),14/0142/15/F,https://www.southhams.gov.uk/article/4291/Brownfield-LandRegister,2017-12-22,/brownfield-land/local-authority-eng/SHA/14-0142-15-F
58/1014/15/F,"The Eddystone Inn, Heybrook Bay, Plymouth, PL9 0BN",yes,,2018-12-19,,0.37,16,16,58/1014/15/F,local-authority-eng:SHA,not owned by a public authority,2015-11-12,,permissioned,full planning permission,POINT(-4.113192 50.320525),58/1014/15/F,https://www.southhams.gov.uk/article/4291/Brownfield-LandRegister,2017-12-22,/brownfield-land/local-authority-eng/SHA/58-1014-15-F
SH_14_26_16,"Higher Barton Farm, Dartington",yes,,2018-12-19,,1.28,20,20,,local-authority-eng:SHA,not owned by a public authority,,,not permissioned,,POINT(-3.69337 50.453684),SH_14_26_16,https://www.southhams.gov.uk/article/4291/Brownfield-LandRegister,2017-12-22,/brownfield-land/local-authority-eng/SHA/SH-14-26-16
SH_57_21_16,"Land adjacent to Siding Cross, Wrangaton",yes,,2018-12-19,,1.39,36,36,1317/16/OPA,local-authority-eng:SHA,not owned by a public authority,2018-08-14,,permissioned,outline planning permission,POINT(-3.856986 50.403123),SH_57_21_16,https://www.southhams.gov.uk/article/4291/Brownfield-LandRegister,2017-12-22,/brownfield-land/local-authority-eng/SHA/SH-57-21-16
