site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Former Hope High School, Tanhouse Road, Skelmersdale",yes,,2017-10-26,,1.8,27,27," Site promoted through the SHELAA, it is partly covered by EN3 designation however, part of the remaining site can be developed for residential development therefore a yield of 27.",local-authority-eng:WLA,owned by a public authority,,,not permissioned,,POINT(-2.751925 53.544701),WL002,,2016-08-03,brownfield-land/local-authority-eng/WLA/WL002
"Former Reynolds Garage (part), Southport Road, Brown Edge, Scarisbrick",yes,,2017-10-26,,0.71,47,47,2017/0427/FUL erection of 47 affordable housing units - pending.. Site has a pending planning application for 47 affordable dwellings.,local-authority-eng:WLA,not owned by a public authority,,https://pa.westlancs.gov.uk/online-applications/search.do?action=simple&searchType=Application,pending decision,,POINT(-2.95556 53.620126),WL003,,2016-08-03,brownfield-land/local-authority-eng/WLA/WL003
"Land at Findon, Skelmersdale",yes,,2017-10-26,,3.34,128,128,Site has an LDO 2015/1328/LDO with a figure of upto 128 dwellings on the site.,local-authority-eng:WLA,owned by a public authority,2016-03-15,https://pa.westlancs.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-2.771123 53.553449),WL004,,2016-08-03,brownfield-land/local-authority-eng/WLA/WL004
"Site of Former Sports Centre, Digmoor Road, Skelmersdale",yes,,2017-10-26,,2.56,45,45,Site has an LDO 2015/1327/LDO with the figure of 45 dwellings on the site.,local-authority-eng:WLA,owned by a public authority,2016-03-15,https://pa.westlancs.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-2.768379 53.541465),WL005,,2016-08-03,brownfield-land/local-authority-eng/WLA/WL005
"Site of Former Greaves Hall Hospital, Greaves Hall Avenue, Banks",yes,,2017-10-26,,10.26,128,128,2016/0706/ARM For 128 dwellings light industrial units and assoicated road and infrastructure including details of appearance landscaping layout and scale - Pending decision.. Site promoted through the SHELAA and has planning permission outline 2013/0104/OUT for residenital development and a reserved pending planning application for the erection of 128 dwellings 2016/0706/AMR.,local-authority-eng:WLA,not owned by a public authority,2014-06-27,https://pa.westlancs.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,outline planning permission,POINT(-2.91439 53.676507),WL006,,2016-08-04,brownfield-land/local-authority-eng/WLA/WL006
"Longreach Warpers Moss Lane, Burscough",yes,,2017-10-26,,0.51,6,6,Site promoted through SHELAA and has Outline planning permission 2013/0517/OUT for 6 residential dwellings.,local-authority-eng:WLA,not owned by a public authority,2017-03-28,https://pa.westlancs.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,outline planning permission,POINT(-2.836296 53.607522),WL007,,2016-08-04,brownfield-land/local-authority-eng/WLA/WL007
" Site of Former 111 Aughton Street, Ormskirk",yes,,2017-10-26,,0.26,6,6,2013/1002/OUT erection of mixed use residential and office building including details of landscaping expired 29/10/2016.. Expired planning permission for 6 apartments and groundfloor commercial units 2013/0975/OUT.,local-authority-eng:WLA,not owned by a public authority,,,not permissioned,,POINT(-2.889392 53.564807),WL008,,2016-08-04,brownfield-land/local-authority-eng/WLA/WL008
"Henry Alty Lts Station Road, Hesketh Bank",yes,,2017-10-26,,16.5,212,212,"Outline planning permission 2013/1258/OUT , followed by the the approval of reserved matters application 2017/0492/AMR which is pending for 212 dwellings.",local-authority-eng:WLA,not owned by a public authority,2015-04-30,https://pa.westlancs.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,outline planning permission,POINT(-2.835198 53.697869),WL009,,2016-08-04,brownfield-land/local-authority-eng/WLA/WL009
"Bull And Dog Inn, 5 Liverpool Road South, Burscough",yes,,2017-10-26,,0.27,7,7,"2014/0079/FUL construction of 6 new build dwellings and conversion of existing barn to 1 4 bed dwelling plus associated parking driveways and landscaping. . Site is promoted in the SHELAA, the site has planning permission for the construction of 6 new dwellings and the conversion of an existing barn 2014/0079/FUL.",local-authority-eng:WLA,not owned by a public authority,2014-08-15,https://pa.westlancs.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-2.862039 53.588021),WL010,,2016-08-04,brownfield-land/local-authority-eng/WLA/WL010
"Rear of 94 Church Road, Tarleton",yes,,2017-10-26,,0.19,5,5,"2014/1177/ARM erection of 5 2 storey dwellings.. Site was promoted through the SHELAA, planning permission for 5 two storey dwellings 2014/1177/AMR.",local-authority-eng:WLA,not owned by a public authority,2015-02-13,https://pa.westlancs.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,reserved matters approval,POINT(-2.830759 53.678908),WL011,,2016-08-05,brownfield-land/local-authority-eng/WLA/WL011
