name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
HDCBLR02,"Land At And Including British Gas Plc, Mill Common, Huntingdon",yes,,2018-12-14,,0.6,11,11,"16/02093/FUL. Draft allocation HU7: Gas Depot, Mill Common, Huntingdon in the Local Plan to 2036.. Residential development for 11 dwellings and creation of access. http://huntsdc.objective.co.uk/portal/pp/hlp2036/cd2017/helaa2017?pointId=s1432199916927#s1432199916927",local-authority-eng:HUN,not owned by a public authority,2018-01-05,https://publicaccess.huntingdonshire.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=JNUP5ZIK03P00,permissioned,full planning permission,POINT(-0.184985 52.326003),HDCBLR02,https://publicaccess.huntingdonshire.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OEF2OOIKHXA00,2017-12-20,/brownfield-land/local-authority-eng/HUN/HDCBLR02
HDCBLR03,"Land Adjacent And Including 2 Cromwell Road, Eynesbury",yes,,2018-12-14,,2.6,80,80,"Draft allocation SN3 Cromwell Road North, St Neots in Local Plan to 2036. Residential development for 80 dwellings. http://huntsdc.objective.co.uk/portal/pp/hlp2036/cd2017/helaa2017?pointId=s1435050323013#s1435050323013",local-authority-eng:HUN,not owned by a public authority,,https://publicaccess.huntingdonshire.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001B0000LI000,not permissioned,,POINT(-0.25347 52.226135),HDCBLR03,http://huntsdc.objective.co.uk/portal/pp/hlp2036/cd2017/helaa2017?pointId=s1435050323013#s1435050323013,2017-12-20,/brownfield-land/local-authority-eng/HUN/HDCBLR03
HDCBLR04,"Car Park, Cromwell Road, Eynesbury",yes,,2018-12-14,,0.6,21,21,"0901288OUT submitted October 2009. Pending completion of S106 agreement. Draft allocation SN4 Cromwell Road Car Park, St Neots in Local Plan to 2036. Outline application for residential development of up to 21 dwellings. http://huntsdc.objective.co.uk/portal/pp/hlp2036/cd2017/helaa2017?pointId=s1435050323015#s1435050323015",local-authority-eng:HUN,not owned by a public authority,,https://publicaccess.huntingdonshire.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=HJAQ74IKP3000,pending decision,,POINT(-0.255604 52.223604),HDCBLR04,https://publicaccess.huntingdonshire.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,2017-12-20,/brownfield-land/local-authority-eng/HUN/HDCBLR04
HDCBLR06,"94 Great Whyte, Ramsey, Huntingdon, PE26 1HR",yes,,2018-12-14,,0.7,32,32,"15/02384/FUL. Draft allocation RA6 94 Great Whyte, Ramsey in Local Plan to 2036. Change of use of land, demolition of existing warehouse/store buildings and portable cabin. Construction of a housing development consisting of 32 dwellings with associated vehicular/pedestrian access and landscaping.. http://huntsdc.objective.co.uk/portal/pp/hlp2036/cd2017/helaa2017?pointId=s1432202757731#s1432202757731",local-authority-eng:HUN,not owned by a public authority,2018-06-22,https://publicaccess.huntingdonshire.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00122Y00LI000,permissioned,full planning permission,POINT(-0.110341 52.451431),HDCBLR06,https://publicaccess.huntingdonshire.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZURQ4IKKMP00,2017-12-20,/brownfield-land/local-authority-eng/HUN/HDCBLR06
HDCBLR07,"Land At And Including 46 Whytefield Road, Ramsey",yes,,2018-12-14,,0.9,40,40,Allocated for housing in Local Plan Alteration 2002. Draft allocation RA5 Whytefield Road Ramsey in Local Plan to 2036. Residential development. http://huntsdc.objective.co.uk/portal/pp/hlp2036/cd2017/helaa2017?pointId=s1432202623157#s1432202623157,local-authority-eng:HUN,not owned by a public authority,,https://publicaccess.huntingdonshire.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0012BP00LI000,not permissioned,,POINT(-0.112094 52.449319),HDCBLR07,http://huntsdc.objective.co.uk/portal/pp/hlp2036/cd2017/helaa2017?pointId=s1432202623157#s1432202623157,2017-12-20,/brownfield-land/local-authority-eng/HUN/HDCBLR07
HDCBLR08,"Former RAF Upwood and Upwood Hill House, Bury Road, Ramsey",yes,,2018-12-14,,25,450,450,"1201274OUT approved in June 2017 on part of the site for 160 homes. Draft allocation RA8 Former RAF Upwood and Upwood Hill House, Ramsey in Local Plan to 2036 is for 450 homes.. The draft allocation RA8 is for approximately 450 homes, outline permission has been granted on part of the site for 160 homes. http://huntsdc.objective.co.uk/portal/pp/hlp2036/cd2017/helaa2017?pointId=s1432202922047#s1432202922047",local-authority-eng:HUN,not owned by a public authority,2017-06-07,https://publicaccess.huntingdonshire.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001NEC00LI000,permissioned,outline planning permission,POINT(-0.129183 52.435699),HDCBLR08,http://huntsdc.objective.co.uk/portal/pp/hlp2036/cd2017/helaa2017?pointId=s1432202922047#s1432202922047,2017-12-20,/brownfield-land/local-authority-eng/HUN/HDCBLR08
HDCBLR09,"Clinic, RAF Upwood, Upwood Road, Bury",yes,,2018-12-14,,2,60,60,15/00029/FUL approved December 2015. Development of 60 houses following demolition of former USAF clinic building. https://publicaccess.huntingdonshire.gov.uk/online-applications/applicationDetails.do?keyVal=NHYSB8IKMNQ00&activeTab=summary,local-authority-eng:HUN,not owned by a public authority,2015-12-23,https://publicaccess.huntingdonshire.gov.uk/online-applications/applicationDetails.do?keyVal=NHYSB8IKMNQ00&activeTab=summary,permissioned,full planning permission,POINT(-0.122328 52.435338),HDCBLR09,https://publicaccess.huntingdonshire.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NHYSB8IKMNQ00,2017-12-20,/brownfield-land/local-authority-eng/HUN/HDCBLR09
HDCBLR10,"Land Adjacent St Marys Road Industrial Estate, St Marys Road, Ramsey",yes,,2018-12-14,,1.7,52,52,"16/00311/FUL. Draft allocation RA2 Ramsey Gateway, Ramsey in Local Plan to 2036. Change of use. Construction of 52 dwellings and associated infrastructure, landscaping and parking. http://huntsdc.objective.co.uk/portal/pp/hlp2036/cd2017/helaa2017?pointId=s1430127377882#s1430127377882",local-authority-eng:HUN,not owned by a public authority,2018-12-11,https://publicaccess.huntingdonshire.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001JJD00LI000,permissioned,full planning permission,POINT(-0.113773 52.454471),HDCBLR10,https://publicaccess.huntingdonshire.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O2N01FIKLHS00,2017-12-20,/brownfield-land/local-authority-eng/HUN/HDCBLR10
HDCBLR11,"West Station Yard and Northern Mill, Ramsey",yes,,2018-12-14,,1,30,30,"Draft allocation RA3 West Station Yard and Northern Mill, Ramsey. Draft residential allocation for 30 homes. http://huntsdc.objective.co.uk/portal/pp/hlp2036/cd2017/helaa2017?pointId=s1430127377884#section-s1430127377884",local-authority-eng:HUN,not owned by a public authority,,https://publicaccess.huntingdonshire.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=HLGUCYIKS1000,not permissioned,,POINT(-0.114292 52.454029),HDCBLR11,http://huntsdc.objective.co.uk/portal/pp/hlp2036/cd2017/helaa2017?pointId=s1430127377884#section-s1430127377884,2018-12-14,/brownfield-land/local-authority-eng/HUN/HDCBLR11
HDCBLR12,Land Between Brampton Road And Ermine Street Huntingdon,yes,,2018-12-14,,3.5,41,41,"17/01950/FUL. Part of Draft allocation HU6 Edison Bell Way, Huntingdon as altered by the Council's Proposed Main Modifications 2018. 41 apartments. http://huntsdc.objective.co.uk/portal/pp/hlp2036/cd2017/helaa2017?pointId=s1432199462387#section-s1432199462387",local-authority-eng:HUN,not owned by a public authority,2018-10-16,https://publicaccess.huntingdonshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OWBIQFIKH2700,permissioned,full planning permission,POINT(-0.190883 52.332154),HDCBLR12,https://publicaccess.huntingdonshire.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OWBIQFIKH2700,2018-12-14,/brownfield-land/local-authority-eng/HUN/HDCBLR12
