site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Site of Former Whaley Thorns Social Club, Portland Road, Nether Langwith",yes,,2017-10-31,,0.15,7,7,,local-authority-eng:BOS,not owned by a public authority,2014-11-06,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NBQV69DDIEN00,permissioned,full planning permission,POINT(-1.203934 53.231119),14/00426/FUL,,2017-10-31,brownfield-land/local-authority-eng/BOS/14-00426-FUL
"4 High Street, Whitwell, Worksop, S80 4QU",yes,,2017-10-31,,0.1,6,6,,local-authority-eng:BOS,not owned by a public authority,2015-04-30,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=NGD10WDD06X00&activeTab=summary,permissioned,outline planning permission,POINT(-1.206955 53.284903),14/00581/OUT,,2017-10-31,brownfield-land/local-authority-eng/BOS/14-00581-OUT
"The Sportsman, New Bolsover, Bolsover, Chesterfield, S44 6QD",yes,,2017-10-31,,0.05,6,6,,local-authority-eng:BOS,not owned by a public authority,2015-06-23,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=NNXLE4DD06X00&activeTab=summary,permissioned,full planning permission,POINT(-1.305829 53.228592),15/00218/FUL,,2017-10-31,brownfield-land/local-authority-eng/BOS/15-00218-FUL
"Land to the West of Sun Inn Public House, Town Street, Pinxton",yes,,2017-10-31,,0.18,6,6,,local-authority-eng:BOS,not owned by a public authority,2016-04-15,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=O0TVGPDDMH800&activeTab=summary,permissioned,outline planning permission,POINT(-1.316853 53.095833),16/00010/OUT,,2017-10-31,brownfield-land/local-authority-eng/BOS/16-00010-OUT
"Garage block at Derwent Drive, Tibshelf",yes,,2017-10-31,,0.63,12,12,,local-authority-eng:BOS,owned by a public authority,,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=O9HDG0DDG5W00&activeTab=summary,permissioned,full planning permission,POINT(-1.350057 53.142025),16/00288/FUL,,2017-10-31,brownfield-land/local-authority-eng/BOS/16-00288-FUL
"Former Creswell Miners Welfare Institute, 321 Model Village, Creswell",yes,,2017-10-31,,0.26,11,11,,local-authority-eng:BOS,not owned by a public authority,2016-09-29,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=O9L2PTDDG6H00&activeTab=summary,permissioned,full planning permission,POINT(-1.219503 53.258891),16/00294/FUL,,2017-10-31,brownfield-land/local-authority-eng/BOS/16-00294-FUL
"16 High Street, Clowne, Chesterfield, S43 4JU",yes,,2017-10-31,,0.61,26,26,,local-authority-eng:BOS,not owned by a public authority,2017-02-08,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OE5LGUDD09P00&activeTab=summary,permissioned,full planning permission,POINT(-1.26585 53.273999),16/00473/FUL,,2017-10-31,brownfield-land/local-authority-eng/BOS/16-00473-FUL
"Shirebrook Miners Welfare Institute, Central Drive, Shirebrook, Mansfield, NG20 8BA",yes,,2017-10-31,,0.2,7,7,,local-authority-eng:BOS,not owned by a public authority,2017-01-23,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OEXZ81DDIY400&activeTab=summary,permissioned,full planning permission,POINT(-1.218465 53.201516),16/00504/FUL,,2017-10-31,brownfield-land/local-authority-eng/BOS/16-00504-FUL
"Jacques Brickyard, Water Lane, South Normanton, Alfreton, DE55 2EE",yes,,2017-10-31,,0.93,32,32,,local-authority-eng:BOS,not owned by a public authority,,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OF1IZCDDJ1V00&activeTab=summary,pending decision,full planning permission,POINT(-1.332396 53.106618),16/00510/FUL,,2017-10-31,brownfield-land/local-authority-eng/BOS/16-00510-FUL
"The White Swan, Market Place, Bolsover, Chesterfield, S44 6PH",yes,,2017-10-31,,0.2,14,14,,local-authority-eng:BOS,not owned by a public authority,2017-04-04,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OLS1IKDDMPW00&activeTab=summary,permissioned,outline planning permission,POINT(-1.291664 53.2301),17/00082/OUT,,2017-10-31,brownfield-land/local-authority-eng/BOS/17-00082-OUT
