name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BLR/BOS/001,"Whitehorse Lane, Boston",yes,,2019-12-05,,0.48,60,50,"Planning permission for the development of 60 dwellings (B/17/0121). The site is identified as a housing allocation capable of providing 50 dwellings in the South East Lincolnshire Local Plan 2011-2036: Adopted March 2019, site ref no: Cen001.. 1. Erection of two apartment blocks, one fronting John Adams Way and the other fronting White Horse Lane, Boston 2. Erection of one dwelling attached to the north gable of 82 High Street, Boston 3. Conversion of Haven Wharf warehouse to provide 21 flats 4. Relevant demolition in a conservation area including the demolition of outbuilding to the rear of 78 High Street Boston, an industrial building attached to the south elevation of Haven Wharf Warehouse and buildings nos 1, 2 and 3",local-authority-eng:BOT,not owned by a public authority,2018-06-06,https://www.mybostonuk.com/planning-application-search/?ref=B/17/0121,permissioned,full planning permission,POINT(-0.024064 52.974125),BLR/BOS/001,http://www.mybostonuk.com/wp-content/uploads/2019/12/Whitehorse-Lane.pdf,2017-11-20,/brownfield-land/local-authority-eng/BOT/BLR-BOS-001
BLR/BOS/002,"138-142 High Street, Boston",yes,,2019-12-05,,0.19,17,17,"9 dwellings completed, 8 outstanding but there has been no activity for about 15 years.. Residential development for 17 houses",local-authority-eng:BOT,not owned by a public authority,2003-09-18,https://www.mybostonuk.com/planning-application-search/?ref=B/03/0358,permissioned,full planning permission,POINT(-0.024521 52.971615),BLR/BOS/002,http://www.mybostonuk.com/wp-content/uploads/2019/12/138-142-High-Street.pdf,2017-11-20,/brownfield-land/local-authority-eng/BOT/BLR-BOS-002
BLR/BOS/003,"Land to the north of Langrick Road, Boston",yes,,2019-12-05,,1.16,46,35,"The site is identified as a housing allocation capable of providing 35 dwellings in the South East Lincolnshire Local Plan 2011-2036: Adopted (March 2018), site ref no: Fen002.. Demolition of dwelling and outbuildings; Outline planning permission for up to 46 no. residential dwellings with consideration given to access (Appearance, Landscaping, Layout, and Scale reserved matters for later approval)",local-authority-eng:BOT,not owned by a public authority,,https://www.mybostonuk.com/planning-application-search/?ref=B/18/0435,pending decision,outline planning permission,POINT(-0.046633 52.982599),BLR/BOS/003,http://www.mybostonuk.com/wp-content/uploads/2019/12/Land-to-the-north-of-Langrick-Road.pdf,2017-11-20,/brownfield-land/local-authority-eng/BOT/BLR-BOS-003
BLR/BOS/007,"Land to the north of Main Ridge East, Boston",yes,,2019-12-05,,0.25,14,8,An outline planning application B/09/0074 for residential development (maximum 14 dwellings) plus means of access has lapsed.,local-authority-eng:BOT,not owned by a public authority,,,not permissioned,,POINT(-0.016725 52.978606),BLR/BOS/007,http://www.mybostonuk.com/wp-content/uploads/2019/12/Main-Ridge-East.pdf,2017-11-20,/brownfield-land/local-authority-eng/BOT/BLR-BOS-007
BLR/BOS/011,"Former Norton Lea (NHS) Site, Cork Tree Crescent, London Road, Boston",yes,,2019-12-05,,2.08,62,60,"A planning application B/15/0009 for the Demolition of existing buildings and outline consent (up to 60 dwellings) with consideration given to access. (Matters relating to appearance, landscaping, layout and scale are reserved for later approval) has lapsed. The Site is also shown as a commitment on the SE Lincolnshire Adopted Local Plan. (The application had not lapsed on 31 Match 2017, which is the date housing data is calculated at).",local-authority-eng:BOT,owned by a public authority,,,not permissioned,,POINT(-0.028468 52.964093),BLR/BOS/011,http://www.mybostonuk.com/wp-content/uploads/2019/12/Norton-Lea.pdf,2017-11-20,/brownfield-land/local-authority-eng/BOT/BLR-BOS-011
BLR/BOS/012,"Magnadata International, Norfolk Street, Boston",yes,,2019-12-05,,1.21,48,36,Planning permission was granted subject to the signing of a s106 agreement and as a consequence the site is shown as a commitment in the SE Lincolnshire Adopted Local Plan. The application was withdrawn afterwards.,local-authority-eng:BOT,not owned by a public authority,,,not permissioned,,POINT(-0.020716 52.983833),BLR/BOS/012,http://www.mybostonuk.com/wp-content/uploads/2019/12/Norfolk-Street.pdf,2017-11-20,/brownfield-land/local-authority-eng/BOT/BLR-BOS-012
BLR/BOS/013,"Magnadata International, Horncastle Road, Boston",yes,,2019-12-05,,5.78,173,173,,local-authority-eng:BOT,not owned by a public authority,,,not permissioned,,POINT(-0.021798 52.987546),BLR/BOS/013,http://www.mybostonuk.com/wp-content/uploads/2019/12/Horncastle-Road.pdf,2017-11-20,/brownfield-land/local-authority-eng/BOT/BLR-BOS-013
BLR/BOS/015,"Land to the south of Swineshead Road, Boston",yes,,2019-12-05,,2.84,85,85,"The site is identified as a housing allocation capable of providing 85 dwellings in the South East Lincolnshire Local Plan Adopted March 2019, site ref no: Wyb013.",local-authority-eng:BOT,not owned by a public authority,,,not permissioned,,POINT(-0.065123 52.967545),BLR/BOS/015,http://www.mybostonuk.com/wp-content/uploads/2019/12/Land-to-the-south-of-Swineshead-Road.pdf,2017-11-20,/brownfield-land/local-authority-eng/BOT/BLR-BOS-015
BLR/BOS/016,"291-293 London Road, Wyberton, Boston",yes,,2019-12-05,,1.38,41,28,"The site is identified as a housing allocation capable of providing 41 dwellings in the South East Lincolnshire Local Plan 2011-2036: Adopted March 2019, site ref no: Wyb041.",local-authority-eng:BOT,not owned by a public authority,,,not permissioned,,POINT(-0.044968 52.952183),BLR/BOS/016,http://www.mybostonuk.com/wp-content/uploads/2019/12/291-293-London-Road.pdf,2017-11-20,/brownfield-land/local-authority-eng/BOT/BLR-BOS-016
BLR/BOS/027,"New Castle Inn, 36 Fydell Street, Boston",yes,,2019-12-05,,0.12,9,9,"A planning application (B/18/0370) for the erection of 3 no. three storey apartment blocks consisting of 55 no. flats including some amenity facilities, following demolition of existing public house and additional land was refused.. Conversion of a public house to 4 apartments, and the erection of 5.no attached 3 storey apartments",local-authority-eng:BOT,not owned by a public authority,2017-03-06,https://www.mybostonuk.com/planning-application-search/?ref=B/16/0424,permissioned,full planning permission,POINT(-0.032065 52.980947),BLR/BOS/027,http://www.mybostonuk.com/wp-content/uploads/2019/12/New-Castle-Inn.pdf,2017-11-20,/brownfield-land/local-authority-eng/BOT/BLR-BOS-027
