name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BLR/010,"Meriden Road Depot, Meriden Road, Hampton in Arden",yes,,2018-03-23,,5.21,10,5,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001R4FOELI000,not permissioned,,POINT(-1.691732 52.42786),BLR/010,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-010.pdf,2018-03-23,/brownfield-land/local-authority-eng/SOL/BLR-010
BLR/013,"Widney Manor House, Widney Manor House, Bentley Heath",yes,,2018-03-23,,1,2,1,,local-authority-eng:SOL,not owned by a public authority,,,not permissioned,,POINT(-1.765544 52.389309),BLR/013,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-013.pdf,2018-03-23,/brownfield-land/local-authority-eng/SOL/BLR-013
BLR/014,"The Glider Yard, Houndsfield Lane, Shirley",yes,,2018-03-23,,0.13,4,2,Erection of a single dwelling and garage replacing existing storage and workshop buildings.,local-authority-eng:SOL,not owned by a public authority,2017-12-12,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=OJXAJ3OE03G00,permissioned,outline planning permission,POINT(-1.85239 52.387777),BLR/014,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-014.pdf,2018-03-23,/brownfield-land/local-authority-eng/SOL/BLR-014
BLR/015,"Land East of 106 - 118 Old Station Road,Old Station Road, Hampton in Arden",yes,,2018-03-23,,0.5,2,1,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZV0BOETA917,not permissioned,,POINT(-1.703691 52.436305),BLR/015,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-015.pdf,2018-03-23,/brownfield-land/local-authority-eng/SOL/BLR-015
BLR/016,"Pheasant Oak Farm, Hob Lane Balsall Common",yes,,2018-03-23,,1.37,20,10,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000DK8OELI000,not permissioned,,POINT(-1.631819 52.383457),BLR/016,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-016.pdf,2018-03-23,/brownfield-land/local-authority-eng/SOL/BLR-016
BLR/017,"National Motorcycle Museum, Coventry Road, Bickenhill",yes,,2018-03-23,,3.6,125,50,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000HWGOELI000,not permissioned,,POINT(-1.70639 52.444016),BLR/017,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-017.pdf,2018-03-23,/brownfield-land/local-authority-eng/SOL/BLR-017
BLR/018,"Windmill House, Windmill Lane, Balsall Common",yes,,2018-03-23,,0.3,3,2,,local-authority-eng:SOL,not owned by a public authority,,,not permissioned,,POINT(-1.636396 52.380648),BLR/018,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-018.pdf,2018-03-23,/brownfield-land/local-authority-eng/SOL/BLR-018
BLR/020,"Whitehouse Kennels, Back Lane, Meriden",yes,,2018-03-23,,0.83,4,2,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000DJSOELI000,not permissioned,,POINT(-1.632086 52.422052),BLR/020,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-020.pdf,2018-03-23,/brownfield-land/local-authority-eng/SOL/BLR-020
BLR/021,"Land at and to the rear of 146-152 Tilehouse Lane, Tidbury Green",yes,,2018-03-23,,0.87,10,5,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000L9QOELI000,not permissioned,,POINT(-1.852 52.390105),BLR/021,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-021.pdf,2018-03-23,/brownfield-land/local-authority-eng/SOL/BLR-021
BLR/024,"1806 Warwick Road, Knowle",yes,,2018-03-23,,3.01,3,1,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000R3JOELI000,not permissioned,,POINT(-1.736304 52.381704),BLR/024,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-024.pdf,2018-03-23,/brownfield-land/local-authority-eng/SOL/BLR-024
BLR/025,"1817 Warwick Road, Knowle",yes,,2018-03-23,,1.46,3,1,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000JMFOELI000,not permissioned,,POINT(-1.734047 52.383201),BLR/025,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-025.pdf,2018-03-23,/brownfield-land/local-authority-eng/SOL/BLR-025
