site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Westbury Estate,yes,,2019-12-20,,2.84,181,181,,,owned by a public authority,2019-09-26,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P0T1RVBOIWV00,permissioned,outline planning permission,POINT(-0.139441 51.46984),BLR028,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,2017-12-15,
"Land Bounded By Somerleyton Road, Coldharbour Lane And Railway",yes,2019-12-20,2017-12-15,,1.61,304,304,,,mixed ownership,2017-03-23,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTFJUBO0I800|https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZRAVLBOJME00,permissioned,full planning permission,POINT(-0.109462 51.460578),BLR001,,2017-12-15,
Land to the rear of Colin Court at Woodfield Avenue,yes,,2019-12-20,,0.16,9,9,,local-authority-eng:LBH,not owned by a public authority,2019-05-20,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P79Y2GBOJ2U00,permissioned,full planning permission,POINT(-0.131703 51.436606),BLR038,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,2018-12-17,brownfield-land/local-authority-eng/LBH/BLR038
184 Larkhall Lane,yes,,2018-12-17,,0.06,14,14,,,not owned by a public authority,2018-04-06,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=makeComment&keyVal=O4G9WSBOK2J00,permissioned,full planning permission,POINT(-0.131237 51.469863),BLR022,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,2017-12-15,
Fenwick Estate South,yes,2019-12-20,2017-12-15,,0.47,55,55,,,owned by a public authority,2017-02-10,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTTNKBO0IB00,permissioned,full planning permission,POINT(-0.127122 51.463812),BLR003,,2017-12-15,
93 King's Avenue,yes,2019-12-20,2017-12-15,,0.29,5,5,,,not owned by a public authority,2017-06-27,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONMVRYBOGKM00,permissioned,full planning permission,POINT(-0.129232 51.452703),BLR006,,2017-12-15,
Fenwick Estate,,2019-12-20,2017-12-15,,3.15,236,236,,,owned by a public authority,,,not permissioned,,POINT(-0.127103 51.464639),BLR027,,2017-12-15,
"Olive Morris House, 18 Brixton Hill",yes,2019-12-20,2017-12-15,,0.28,74,74,,,owned by a public authority,2015-10-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NMX66CBOJX200,permissioned,full planning permission,POINT(-0.118156 51.457805),BLR007,,2017-12-15,
12-20 Wyvil Road,yes,,2017-12-15,,0.38,278,278,,,not owned by a public authority,2017-09-06,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCIUJFBO0GI00,permissioned,full planning permission,POINT(-0.124917 51.481472),BLR005,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,2017-12-15,
12G Leigham Court Road,yes,,2018-12-17,,0.03,6,6,,local-authority-eng:LBH,not owned by a public authority,,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P9W8F3BOM0G00,pending decision,,POINT(-0.123682 51.435605),BLR043,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,2018-12-17,brownfield-land/local-authority-eng/LBH/BLR043
"Texaco Garage, 36-46 Albert Embankment",yes,,2017-12-15,,0.19,166,166,,,not owned by a public authority,2017-10-13,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2AEV2BO0GI00,permissioned,full planning permission,POINT(-0.121093 51.488785),BLR009,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,2017-12-15,
41-45 Acre Lane,yes,,2018-12-17,,0.11,24,24,,local-authority-eng:LBH,not owned by a public authority,2018-08-10,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OUB92IBOKC800,permissioned,full planning permission,POINT(-0.119436 51.459082),BLR037,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,2018-12-17,brownfield-land/local-authority-eng/LBH/BLR037
2-7 Stockwell Green,yes,,2019-12-20,,0.09,24,24,,,not owned by a public authority,2019-05-02,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O4YKWIBO0GI00,permissioned,full planning permission,POINT(-0.118361 51.46821),BLR020,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,2017-12-15,
85 Brixton Hill,yes,,2017-12-15,,0.06,7,7,,,not owned by a public authority,2017-06-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEBQZMBOJAK00,permissioned,full planning permission,POINT(-0.117135 51.454396),BLR014,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,2017-12-15,
340A Clapham Road,yes,2019-12-20,2017-12-15,,0.19,62,62,,,not owned by a public authority,2017-06-21,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OH7S7DBOFLE00,permissioned,full planning permission,POINT(-0.126674 51.469497),BLR010,,2017-12-15,
44 Clapham Common South Side,yes,2019-12-20,2018-12-17,,1.41,293,293,,,not owned by a public authority,2018-03-29,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=OL40Z6BOKOL00&activeTab=summary,permissioned,full planning permission,POINT(-0.138776 51.45763),BLR017,,2017-12-15,
South Lambeth Estate,yes,,2019-12-20,,2.28,261,261,,,owned by a public authority,2019-09-26,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=P0T7CFBOIX100&activeTab=summary,permissioned,outline planning permission,POINT(-0.116633 51.477464),BLR030,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,2017-12-15,
Land between 33 and 35 Medora Road,yes,,2018-12-17,,0.06,5,5,,local-authority-eng:LBH,not owned by a public authority,2018-11-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OTLVHLBOJNM00,permissioned,full planning permission,POINT(-0.114899 51.449455),BLR045,http://lambethopenmappingdata-lambethcouncil.opendata.arcgis.com/datasets/brownfield-land-register,2018-12-17,brownfield-land/local-authority-eng/LBH/BLR045
Central Hill Estate,,2019-12-20,2017-12-15,,6.86,503,503,,,owned by a public authority,,,not permissioned,,POINT(-0.086676 51.420577),BLR025,,2017-12-15,
