site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"91 Barton Lane, Eccles",,,2019-12-11,,0.22,15,15,Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,,,not permissioned,,POINT(-2.341964 53.480512),S/BAR/003,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.480512/-2.341964,2017-12-01,brownfield-land/local-authority-eng/SLF/S-BAR-003
"M And J Motors, Barton Lane, Eccles, M30 0HX",yes,,2019-12-11,,0.17,8,8,Outline planning permission - 17/70060/OUT - Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,2018-04-25,,permissioned,outline planning permission,POINT(-2.350523 53.476846),S/BAR/004,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.476846/-2.350523,2017-12-01,brownfield-land/local-authority-eng/SLF/S-BAR-004
117 Liverpool Road Eccles M30 0ND,,,2019-12-11,,0.11,2,2,Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,,,not permissioned,,POINT(-2.3486 53.483017),S/BAR/085,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.483017/-2.348600,2018-12-12,brownfield-land/local-authority-eng/SLF/S-BAR-085
"Land adjacent to 23 Eldon Place, Eccles, M30 8QE",yes,,2019-12-11,,0.02,1,1,Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,,,not permissioned,,POINT(-2.360033 53.479401),S/BAR/093,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.479401/-2.360033,2019-12-11,brownfield-land/local-authority-eng/SLF/S-BAR-093
"7 Edison Road, Eccles, M30 7AW",yes,,2019-12-11,,0.03,1,1,Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,,,not permissioned,,POINT(-2.357424 53.476335),S/BAR/094,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.476335/-2.357424,2019-12-11,brownfield-land/local-authority-eng/SLF/S-BAR-094
"Former Royal Archer Public House, Lower Broughton Road",,,2019-12-11,,0.48,36,36,Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,,,not permissioned,,POINT(-2.264023 53.491479),S/BRO/004,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.491479/-2.264023,2017-12-01,brownfield-land/local-authority-eng/SLF/S-BRO-004
"268-272 Lower Broughton Road, Salford",,,2019-12-11,,0.2,30,30,Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,,,not permissioned,,POINT(-2.26831 53.497685),S/BRO/006,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.497685/-2.268310,2019-12-11,brownfield-land/local-authority-eng/SLF/S-BRO-006
"Land Formerly Griffin Hotel, Lower Broughton Road, Salford",yes,,2019-12-11,,0.28,57,57,Full planning permission - 17/70056/FUL - Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,2018-06-26,,permissioned,full planning permission,POINT(-2.269781 53.498968),S/BRO/032,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.498968/-2.269781,2017-12-01,brownfield-land/local-authority-eng/SLF/S-BRO-032
"Manchester Alloys & Metals, Meadow Road, Salford, M7 1PA",,,2019-12-11,,0.42,42,42,Outline planning permission - 14/64798/OUT - Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,2016-06-19,,permissioned,outline planning permission,POINT(-2.267828 53.489371),S/BRO/043,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.489371/-2.267828,2017-12-01,brownfield-land/local-authority-eng/SLF/S-BRO-043
"Castle Green, 342-344 Lower Broughton Road, Salford, M7 2HY",yes,,2019-12-11,,0.15,16,16,Full planning permission - 15/66855/FUL - Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,2016-05-06,,permissioned,full planning permission,POINT(-2.269007 53.501274),S/BRO/087,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.501274/-2.269007,2017-12-01,brownfield-land/local-authority-eng/SLF/S-BRO-087
"12 Grassfield Avenue, Salford, M7 1HW",yes,,2019-12-11,,0.03,1,1,Full planning permission - 18/72277/FUL - Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,2018-11-30,,permissioned,full planning permission,POINT(-2.266762 53.501253),S/BRO/099,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.501253/-2.266762,2019-12-11,brownfield-land/local-authority-eng/SLF/S-BRO-099
"311-315 Bury New Road, Salford, M7 2YN",,,2019-12-11,,0.14,30,30,Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,,,not permissioned,,POINT(-2.258101 53.501365),S/BRO/105,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.501365/-2.258101,2019-12-11,brownfield-land/local-authority-eng/SLF/S-BRO-105
Land at Astley Road (former council offices),,,2019-12-11,,0.81,28,28,Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,owned by a public authority,,,not permissioned,,POINT(-2.430737 53.43892),S/CAD/004,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#18/53.438920/-2.430737,2017-12-01,brownfield-land/local-authority-eng/SLF/S-CAD-004
"1 Moss Lane, Cadishead",,,2019-12-11,,0.18,9,9,Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,,,not permissioned,,POINT(-2.438319 53.426408),S/CAD/021,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.426408/-2.438319,2017-12-01,brownfield-land/local-authority-eng/SLF/S-CAD-021
"Former Red Rose Inn, 665/667, Liverpool Road, Irlam",,,2019-12-11,,0.08,9,9,Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,,,not permissioned,,POINT(-2.432271 53.432546),S/CAD/048,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.432546/-2.432271,2017-12-01,brownfield-land/local-authority-eng/SLF/S-CAD-048
Land west of Hayes Road,,,2019-12-11,,5.89,200,200,Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,,,not permissioned,,POINT(-2.437424 53.422762),S/CAD/051,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#17/53.422762/-2.437424,2017-12-01,brownfield-land/local-authority-eng/SLF/S-CAD-051
"Land adjacent to 10 Tramway Road, Irlam, M44 5BE",yes,,2019-12-11,,0.12,7,7,Full planning permission - 16/68145/FUL - Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,2016-08-22,,permissioned,full planning permission,POINT(-2.428341 53.436891),S/CAD/102,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.436891/-2.428341,2017-12-01,brownfield-land/local-authority-eng/SLF/S-CAD-102
"Cadishead Labour Club, Fir Street, Cadishead, M44 5AG",yes,,2019-12-11,,0.14,6,6,Outline planning permission - 18/71527/OUT - Construction not started as of 31 March 2019. Planning permission details as of 31 March 2019.,local-authority-eng:SLF,not owned by a public authority,2018-07-23,,permissioned,outline planning permission,POINT(-2.442904 53.428576),S/CAD/109,https://map.salford.gov.uk/?lyrs=v_brownfield_land_register_2019#19/53.428576/-2.442904,2018-12-12,brownfield-land/local-authority-eng/SLF/S-CAD-109
