site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"14 Bath Road And Land To Rear Of 12-24 Bath Road, Old Town",yes,2020-12-23,2020-12-23,,0.13,12,12,18HMR005 - S/14/0886 | Erection of 10no. dwellings and change of use from office to 2no. flats,local-authority-eng:SWD,not owned by a public authority,2015-02-03,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=N68LSEPT0FL00,permissioned,full planning permission,POINT(-1.778704 51.55303),18HMR005,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=N68LSEPT0FL00,2019-04-05,brownfield-land/local-authority-eng/SWD/18HMR005
"Abbey Stadium, Lady Lane, Swindon (Residual)",yes,,2020-12-23,,6.4,100,100,"18HMR006 - S/OUT/14/0833 | Outline application for a mixed use development comprising up to 100no. dwellings, car parking in association with stadium events, fire station and associated facilities, access works, landscaping and open space.",local-authority-eng:SWD,not owned by a public authority,2015-04-02,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=N5PKY5PT97000,permissioned,outline planning permission,POINT(-1.791156 51.606531),18HMR006,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=N5PKY5PT97000,2019-04-05,brownfield-land/local-authority-eng/SWD/18HMR006
"Land At Clevedon House, 29 Woodland View, Wroughton",yes,,2020-12-23,,0.6,10,10,18HMR010 - S/OUT/15/1338 | Outline application for the demolition of 3no. existing dwellings and the erection of up to 10no. dwellings,local-authority-eng:SWD,not owned by a public authority,2016-04-15,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NSX5RKPT04V00,permissioned,outline planning permission,POINT(-1.793776 51.522148),18HMR010,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NSX5RKPT04V00,2019-04-05,brownfield-land/local-authority-eng/SWD/18HMR010
"Land At Nursery Close, Wroughton, Swindon",yes,2020-12-23,2020-12-23,,0.08,5,5,"18HMR012 - S/15/0467 | Erection of 5 no. dwellings, a detached garage",local-authority-eng:SWD,not owned by a public authority,2015-11-26,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NLK10IPT97000,permissioned,full planning permission,POINT(-1.780443 51.564704),18HMR012,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NLK10IPT97000,2018-12-31,brownfield-land/local-authority-eng/SWD/18HMR012
"3-5 Lagos Street, Swindon, SN1 2BU",yes,,2020-12-23,,0.12,8,8,18HMR015 - S/16/1911 | Erection of 8no. flats,local-authority-eng:SWD,not owned by a public authority,2017-01-18,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OG26DDPTJP200,permissioned,full planning permission,POINT(-1.79342 51.597808),18HMR015,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OG26DDPTJP200,2018-12-31,brownfield-land/local-authority-eng/SWD/18HMR015
44 Victoria RoadOld TownSwindonSN1 3AY,yes,,2020-12-23,,0.01,5,5,18HMR016 - S/17/1150 | Change of use of house in multiple occupation (HMO) to 5no. flats,local-authority-eng:SWD,not owned by a public authority,2017-09-12,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OSQ72TPTGAM00,permissioned,full planning permission,POINT(-1.819241 51.562092),18HMR016,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OSQ72TPTGAM00,2018-12-31,brownfield-land/local-authority-eng/SWD/18HMR016
"Abbeymeads Medical Practice, Elstree Way, Abbey Meads, Swindon",yes,,2020-12-23,,0.19,7,7,18HMR019 - S/16/1059 | Erection of a new dental practice and adjoining opticians (Class A1) with 3no. flats above. and 4 no. dwellings,local-authority-eng:SWD,not owned by a public authority,2016-08-19,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O8K8VHPTHYQ00,permissioned,full planning permission,POINT(-1.816581 51.559986),18HMR019,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O8K8VHPTHYQ00,2018-12-31,brownfield-land/local-authority-eng/SWD/18HMR019
"The Quadrant, Stonehill Green, Swindon",yes,2020-12-23,2020-12-23,,0.62,100,100,18HMR023 - S/PRIORC/16/0477 | Prior Approval Notification for the change of use from offices (class B1(a)) to dwelling houses (class C3) (100no. flats),local-authority-eng:SWD,not owned by a public authority,2016-03-11,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O41CUTPT0IN00,permissioned,full planning permission,POINT(-1.800472 51.60946),18HMR023,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O41CUTPT0IN00,2018-12-31,brownfield-land/local-authority-eng/SWD/18HMR023
"Minerva House, Delta 800, Welton Road, Westlea, Swindon",yes,,2020-12-23,,0.42,38,38,18HMR024 - S/PRIORC/16/0988 | Prior Approval Notification for the change of use from offices (Class B1a) to dwellings (Class C3) (38no. apartments).,local-authority-eng:SWD,not owned by a public authority,2016-07-18,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O83M09PT0IN00,permissioned,permission in principle,POINT(-1.756112 51.588008),18HMR024,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O83M09PT0IN00,2018-12-31,brownfield-land/local-authority-eng/SWD/18HMR024
"Land At Abbey Farm, Tadpole Lane Blunsdon St. Andrew Swindon",yes,,2020-12-23,,0.08,6,6,18HMR025 - S/17/0775 | Erection of 2no. retail units with 6no. flats above,local-authority-eng:SWD,not owned by a public authority,2018-01-10,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OPHJ2GPTMNV00,permissioned,full planning permission,POINT(-1.719676 51.587405),18HMR025,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OPHJ2GPTMNV00,2018-12-31,brownfield-land/local-authority-eng/SWD/18HMR025
"Former Hertz Rent A Car, Hyde Road, Stratton St Margaret, Swindon",yes,,2020-12-23,,0.23,19,19,18HMR027 - S/18/1903 | Erection of 19no. dwellings and associated works.,local-authority-eng:SWD,not owned by a public authority,2019-05-02,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PIN6ZVPT0FL00,permissioned,full planning permission,POINT(-1.775882 51.550054),18HMR027,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PIN6ZVPT0FL00,2018-12-31,brownfield-land/local-authority-eng/SWD/18HMR027
South Marston Hotel And Spa Old Vicarage LaneSouth Marston Swindon SN3 4SH,yes,,2020-12-23,,2.59,69,69,18HMR029 - S/RES/18/1145 | Reserved matters to S/OUT/15/1985 - Erection of 69no. Dwellings,local-authority-eng:SWD,not owned by a public authority,2019-03-19,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PBHKXEPTGWA00,permissioned,reserved matters approval,POINT(-1.751255 51.574131),18HMR029,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PBHKXEPTGWA00,2018-12-31,brownfield-land/local-authority-eng/SWD/18HMR029
