name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BLR002,"Egginton Street Car Park, Egginton Street, Hull Local Plan Housing Allocation H2, HU2 8BT",,,2020-12-01,,0.120785,24,24,Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 24 flats/dwellings. 04/01171/OUT Erection of a three storey apartment block for 18 two bedroom and 6 one bedroom apartments,local-authority-eng:KHL,owned by a public authority,2007-09-26,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=I13TFJSO50000,Not Permissioned,,POINT(-0.338928 53.748197),BLR002,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR002
BLR007,"Upper Floors 41 - 65 George Street (Upper Floors), Hull Local Plan Housing Allocation H7, HU1 3BA",,,2020-12-01,,0.068855,6,6,"Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 6 (net) flats. Change of use of floors 1, 2 and 3 from existing single apartment per floor to 3 apartments per floor.",local-authority-eng:KHL,not owned by a public authority,2013-09-25,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=MR3T8TSO05500,Not Permissioned,,POINT(-0.337188 53.74624),BLR007,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR007
BLR008,"25 - 27 Dock Street, Hull Local Plan Housing Allocation H8, HU1 3DL",yes,,2020-12-01,,0.020367,9,9,"Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 9 flats/dwellings. 14/01212/FULL (implemented) & 11/01161/FULL Erection of 7 storey building, offices on first floor/self contained flats on floors 2 - 6 (9 flats)",local-authority-eng:KHL,not owned by a public authority,2014-12-05,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=NCV1DOSO00300,permissioned,full planning permission,POINT(-0.336351 53.745856),BLR008,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR008
BLR043,"48 Pearson Park, Hull Local Plan Housing Allocation H43, HU5 2TG",,,2020-12-01,,0.053281,6,6,Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 6 dwellings. 13/01025/PCOU Change of use from offices to 6 flats,local-authority-eng:KHL,owned by a public authority,2013-12-05,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=MU5EYESO3B000,Not Permissioned,,POINT(-0.355068 53.759951),BLR043,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR043
BLR051,"20-24 Lambert Street, Hull Local Plan Housing Allocation H51, HU5 2SJ",,,2020-12-01,,0.070416,9,5,Hull Local Plan 2016 to 2032 - Housing Allocation indicative capacity 5 flats/dwellings. 10/01024/FULL Erection Part three and part two storey building -5 flats. Two storey building - 2 flats.Single storey building -2 flats,local-authority-eng:KHL,not owned by a public authority,2012-09-07,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=LAC47NSO05500,permissioned,full planning permission,POINT(-0.353563 53.763843),BLR051,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR051
BLR1001,"Land at Convent Lane, Anlaby Road. HU3 2SA",,,2020-12-01,,0.241012,12,12,Potential for housing - New build 12 dwellings.,local-authority-eng:KHL,owned by a public authority,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,Not Permissioned,,POINT(-0.355618 53.742597),BLR1001,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR1001
BLR1004,"Land at Former New York Hotel, Anlaby Road HU3 2LL",,,2020-12-01,,0.172799,24,24,Potential for housing - 24 Flats,local-authority-eng:KHL,not owned by a public authority,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,Not Permissioned,,POINT(-0.347385 53.742802),BLR1004,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR1004
BLR1022,"Former Lloyds TSB Bank George Street, Upper Floors, 1-7 George Street , HU1 3BB",yes,,2020-12-01,,0.126542,24,24,17/00206/PCOU - 18/00440/FULL Change of Use from vacant bank offices on upper floors to 10 ground floor banking hall to 14 flat units,local-authority-eng:KHL,not owned by a public authority,2018-06-29,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=P6RPSGSO00300,permissioned,full planning permission,POINT(-0.338737 53.745785),BLR1022,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR1022
BLR1023,"Valbon Nightclub, 135-141 George Street, Hull, HU1 3BN",yes,,2020-12-01,,0.092154,18,18,16/00863/FULL Change of use from nightclub to 18 flats.,local-authority-eng:KHL,mixed ownership,2017-03-10,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=O8JYN9SOMU600,permissioned,full planning permission,POINT(-0.334305 53.747245),BLR1023,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR1023
BLR1036,"121 - 123 Sharp Street, Kingston Upon Hull, HU5 2AE",,,2020-12-01,,0.050861,5,5,Erection of two storey building 3 self contained flats. Erection of 2 dwellings at the rear,local-authority-eng:KHL,not owned by a public authority,2015-01-29,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=MGZF3VSO05500,Not Permissioned,,POINT(-0.363806 53.763358),BLR1036,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR1036
BLR1054,"186-188 Hessle Road, Kingston Upon Hull, HU3 3AD",yes,,2020-12-01,,0.030905,6,6,"Change of use, extensions and alterations to provide 2no. retail units and 6 flats ( revised submission )",local-authority-eng:KHL,not owned by a public authority,2018-04-18,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=P0N5DNSOLUZ00,permissioned,full planning permission,POINT(-0.359634 53.736433),BLR1054,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2019-01-31,/brownfield-land/local-authority-eng/KHL/BLR1054
BLR1055,"The Cottage, 2050-2052 Hessle Road, Kingston Upon Hull , HU13 9NW",yes,,2020-12-01,,0.198521,8,8,Proposed 8 No. dwellings following demolition of existing building.,local-authority-eng:KHL,not owned by a public authority,2018-06-29,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=OVJNVXSOJOO00,permissioned,full planning permission,POINT(-0.417949 53.725772),BLR1055,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2019-01-31,/brownfield-land/local-authority-eng/KHL/BLR1055
BLR1057,"22 Park Street, Kingston Upon Hull , HU2 8RR",yes,,2020-12-01,,0.112291,16,16,Demolish existing warehouse and associated offices and erection of 2 no. 4 storey apartment blocks containing a total of 16 no. 2 bed apartments.,local-authority-eng:KHL,not owned by a public authority,2018-07-27,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=OVYJZCSOLL700,permissioned,full planning permission,POINT(-0.352416 53.745076),BLR1057,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2019-01-31,/brownfield-land/local-authority-eng/KHL/BLR1057
BLR1062,"Rawling Way, Former Smith And Nephew Ltd Car Park, Kingston Upon Hull , HU3 2BN",,,2020-12-01,,0.359103,24,24,Outline application for erection of 24 one-bedroom residential dwellings,local-authority-eng:KHL,not owned by a public authority,2018-11-08,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=P45937SO03400,permissioned,outline planning permission,POINT(-0.358598 53.738434),BLR1062,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2019-01-15,/brownfield-land/local-authority-eng/KHL/BLR1062
