site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Former Worsley Inn, High Stret, Wroxall, PO38 3HB",,,2017-12-22,,0.31,5,5,Residential led development,local-authority-eng:IOW,not owned by a public authority,,,not permissioned,,POINT(-1.223373 50.615762),BFR008,https://www.iwight.com/brownfieldlandregister,2017-12-22,brownfield-land/local-authority-eng/IOW/BFR008
"Former Somerton Reservoir, Newport Road, Cowes, PO31 7ER",,,2017-12-22,,1.89,5,5,Residential led development,local-authority-eng:IOW,not owned by a public authority,,,not permissioned,,POINT(-1.303079 50.750485),BFR026,https://www.iwight.com/brownfieldlandregister,2017-12-22,brownfield-land/local-authority-eng/IOW/BFR026
"9-11 George Street, Ryde, PO33 2EB",,,2017-12-22,,0.09,5,5,Residential led development,local-authority-eng:IOW,not owned by a public authority,,,not permissioned,,POINT(-1.160125 50.732115),BFR038a,https://www.iwight.com/brownfieldlandregister,2017-12-22,brownfield-land/local-authority-eng/IOW/BFR038a
"6-8 Georges Street, Ryde, PO33 2EB",,,2017-12-22,,0.03,5,5,Residential led development,local-authority-eng:IOW,not owned by a public authority,,,not permissioned,,POINT(-1.159589 50.732021),BFR038b,https://www.iwight.com/brownfieldlandregister,2017-12-22,brownfield-land/local-authority-eng/IOW/BFR038b
"SPA site, Shanklin Esplanade",,,2017-12-22,,0.37,5,5,Residential led development,local-authority-eng:IOW,owned by a public authority,,,not permissioned,,POINT(-1.17284 50.629561),BFR047,https://www.iwight.com/brownfieldlandregister,2017-12-22,brownfield-land/local-authority-eng/IOW/BFR047
"23, Carter Street, Sandown, PO36 8DG",,,2017-12-22,,0.19,5,5,Residential led development,local-authority-eng:IOW,not owned by a public authority,,,not permissioned,,POINT(-1.153344 50.657865),BFR050,https://www.iwight.com/brownfieldlandregister,2017-12-22,brownfield-land/local-authority-eng/IOW/BFR050
"Car sales area, Havenstreet Garage, Main Road, Havenstreet, PO33 4DR",,,2017-12-22,,0.28,5,5,Residential led development,local-authority-eng:IOW,not owned by a public authority,,,not permissioned,,POINT(-1.209424 50.708395),BFR053,https://www.iwight.com/brownfieldlandregister,2017-12-22,brownfield-land/local-authority-eng/IOW/BFR053
"Cheeks Farm, Merstone Lane, Merstone, Newport, PO30 3DE",,,2017-12-22,,0.6,5,5,Residential led development,local-authority-eng:IOW,not owned by a public authority,,,not permissioned,,POINT(-1.25409 50.664786),BFR073,https://www.iwight.com/brownfieldlandregister,2017-12-22,brownfield-land/local-authority-eng/IOW/BFR073
"Berkeley Court Hotel, 2 Culver Road, Shanklin, PO376ER",yes,,2017-12-22,,0.17,9,9,"Permission was for 14, 5 have been built to date. P/01675/10&P/01194/12& P/00164/16. Demolition of hotel, residential development comprising 14 flats",local-authority-eng:IOW,not owned by a public authority,2016-04-07,,permissioned,full planning permission,POINT(-1.174076 50.634875),BFR080,https://www.iwight.com/brownfieldlandregister,2017-12-22,brownfield-land/local-authority-eng/IOW/BFR080
"Site of Former Rozelle Hotel, 22 Atherley Road, Shanklin, PO377AT",yes,,2017-12-22,,0.08,1,1,P/00689/15. 4 Storey block of 11 Flats with associated parking,local-authority-eng:IOW,not owned by a public authority,2015-09-03,,permissioned,full planning permission,POINT(-1.17865 50.633721),BFR081,https://www.iwight.com/brownfieldlandregister,2017-12-22,brownfield-land/local-authority-eng/IOW/BFR081
"Land between Castle Street and Church Path fronting Old Road, East Cowes, PO32",yes,,2017-12-22,,0.38,41,41,"P/01562/14. Mixed use development comprising four/five storey block of 39 sheltered apartments with Class B1 commercial on ground floor, 10 dwellings and parking",local-authority-eng:IOW,not owned by a public authority,2015-03-19,,permissioned,reserved matters approval,POINT(-1.287966 50.759998),BFR082,https://www.iwight.com/brownfieldlandregister,2017-12-22,brownfield-land/local-authority-eng/IOW/BFR082
"Sans Souci, Main Road, Havenstreet, Ryde, PO334DL",yes,,2017-12-22,,0.75,10,10,P/01263/14. Proposed residential comprising 3 paris of semi-detached houses and 5 detached houses with parking,local-authority-eng:IOW,not owned by a public authority,2015-07-01,,permissioned,full planning permission,POINT(-1.206517 50.710308),BFR083,https://www.iwight.com/brownfieldlandregister,2017-12-22,brownfield-land/local-authority-eng/IOW/BFR083
"Westfield Holiday Centre, Shore Road, Ventnor, PO381RL",yes,,2017-12-22,,1.08,12,12,P/00039/16. Permission of 12 flats to be used as permanent residential,local-authority-eng:IOW,not owned by a public authority,2017-03-08,,permissioned,full planning permission,POINT(-1.190038 50.597154),BFR084,https://www.iwight.com/brownfieldlandregister,2017-12-22,brownfield-land/local-authority-eng/IOW/BFR084
"Former Harcourt Sands Holiday Park, Puckpool Hill, Ryde, PO331PJ",yes,,2017-12-22,,11.29,128,128,"P/00573/15. Demolition of buildings, outline for 128 units, 63 bed hotel and parking",local-authority-eng:IOW,not owned by a public authority,2015-12-01,,permissioned,outline planning permission,POINT(-1.13406 50.724838),BFR085,https://www.iwight.com/brownfieldlandregister,2017-12-22,brownfield-land/local-authority-eng/IOW/BFR085
