name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
101700/OO/2013/N1,103 Queens Road Cheetham,yes,,2019-12-31,,0.075925,9,9,"Application for approval of reserved matters following outline approval under application 101700/OO/2013/N1 which gave approval for new part 2, part 3 storey residential development for a maximum of 9 no. apartments",local-authority-eng:MAN,,2013-07-29,http://pa.manchester.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.232739 53.501012),101700/OO/2013/N1,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2019_gm#os_maps_light/18/53.501012/-2.232739,2018-12-31,/brownfield-land/local-authority-eng/MAN/101700-OO-2013-N1
106943/FO/2014/S2,Land At 30 Trenchard Drive_x000D_Woodhouse Park_x000D_Wythenshawe_x000D_Manchester_x000D_M22 5NA_x000D_,yes,,2019-12-31,,0.308758,15,15,"Erection of 15 x 2 storey dwellinghouses consisting of 6 pairs of semi-detached dwellings and 3 No.detached dwellings (Class C3) together with associated landscaping, boundary treatments and car parking following demolition of existing buildings",local-authority-eng:MAN,,2016-05-31,http://pa.manchester.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.242642 53.365796),106943/FO/2014/S2,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2019_gm#os_maps_light/18/53.365796/-2.242642,2017-12-31,/brownfield-land/local-authority-eng/MAN/106943-FO-2014-S2
107804/FO/2015/N1,67 Hillier Street And Land Adjacent To 1 Kingcombe Walk Harpurhey,yes,,2019-12-31,,0.102257,9,9,"Change of use and conversion of vacant public house/hotel to 9 no. self contained apartments (1 x three-bedroom, 5 x two-bedroom, and 3 x one-bedroom),",local-authority-eng:MAN,,2016-09-05,http://pa.manchester.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.207481 53.511952),107804/FO/2015/N1,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2019_gm#os_maps_light/18/53.511952/-2.207481,2017-12-31,/brownfield-land/local-authority-eng/MAN/107804-FO-2015-N1
109660/FO/2015/C1,St John's Place Tower (Globe & Simpson site),,,2019-12-31,,0.936916,387,387,Hotel use (Class C1) and residential use (Class C3) within building 1 (ground floor plus 51 storeys); residential use (Class C3) within building 3; residential use (Class C3) within building 4 - total of 387 residential units,local-authority-eng:MAN,,2016-10-21,http://pa.manchester.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.255527 53.47969),109660/FO/2015/C1,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2019_gm#os_maps_light/18/53.47969/-2.255527,2017-12-31,/brownfield-land/local-authority-eng/MAN/109660-FO-2015-C1
109840/FO/2015/N1,40 Swan Street,yes,,2019-12-31,,0.132546,103,103,"Erection of a part 5, part 7 storey building for form 103 residential apartments (C3a) with ground floor commercial unit",local-authority-eng:MAN,,2017-07-31,http://pa.manchester.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.234193 53.485728),109840/FO/2015/N1,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2019_gm#os_maps_light/18/53.485728/-2.234193,2017-12-31,/brownfield-land/local-authority-eng/MAN/109840-FO-2015-N1
110074/FO/2015/C2,76 - 82 Oldham Street (Car park),,,2019-12-31,,0.243766,100,100,"Building A - Part 4, part 5, part 6 and part 8 storey building including 72 residential apartments (C3), Building B - Part 3 and part 5 storey building including 28 residential apartments",local-authority-eng:MAN,,2019-08-30,http://pa.manchester.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.233113 53.483834),110074/FO/2015/C2,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2019_gm#os_maps_light/18/53.483834/-2.233113,2017-12-31,/brownfield-land/local-authority-eng/MAN/110074-FO-2015-C2
110554/MO/2015/N1,Bowker Bank Industrial Estate_x000D_Off Bowker Bank Av,yes,,2019-12-31,,2.67743,36,36,"Reserved matters application for the approval of layout, appearance, scale and landscaping following outline planning permission for the erection of a maximum of 48 units with means of access from Bowker Bank Avenue",local-authority-eng:MAN,,2017-04-10,http://pa.manchester.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.242365 53.523338),110554/MO/2015/N1,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2019_gm#os_maps_light/17/53.523338/-2.242365,2017-12-31,/brownfield-land/local-authority-eng/MAN/110554-MO-2015-N1
110678/FO/2015/S1,"Behind Platt Lane Methodist Church, Platt Lane",yes,,2019-12-31,,0.086092,6,6,"Erection of 3no. two-storey, three-bed terraced properties facing Hart Road, and 3no. two-storey, three-bed terraced properties facing Platt Lane",local-authority-eng:MAN,,2016-08-08,http://pa.manchester.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.235534 53.447292),110678/FO/2015/S1,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2019_gm#os_maps_light/18/53.447292/-2.235534,2017-12-31,/brownfield-land/local-authority-eng/MAN/110678-FO-2015-S1
110785/FO/2015/C2,34 Charlotte Street (Lindencourt House),yes,,2019-12-31,,0.028649,12,12,Conversion of existing warehouse to 12no. self contained apartments with common areas and boundary and external treatments,local-authority-eng:MAN,,2017-01-23,http://pa.manchester.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.239021 53.478708),110785/FO/2015/C2,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2019_gm#os_maps_light/18/53.478708/-2.239021,2017-12-31,/brownfield-land/local-authority-eng/MAN/110785-FO-2015-C2
111141/FO/2016/N1,20-26 Middleton Old Road Blackley,yes,,2019-12-31,,0.03115,9,9,"Erection of one residential apartment building, four-storeys to Middleton Old Road, and three-storeys to Rochdale Road to form 9 x2 bedroom self-contained apartments",local-authority-eng:MAN,,2016-06-15,http://pa.manchester.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.215955 53.523541),111141/FO/2016/N1,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2019_gm#os_maps_light/18/53.523541/-2.215955,2017-12-31,/brownfield-land/local-authority-eng/MAN/111141-FO-2016-N1
