name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BLR2,1 To 4A Church Lane And 12 To 14 Parsons Street Banbury,yes,,2020-10-31,,0.12,8,8,Planning permission expired in November 2019.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,POINT(-1.337632 52.062033),BLR2,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,/brownfield-land/local-authority-eng/CHR/BLR2
BLR4,"27 Park Road, Banbury",yes,,2019-10-30,,0.07,6,6,Planning permission expired in December 2018.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,POINT(-1.348312 52.060824),BLR4,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,/brownfield-land/local-authority-eng/CHR/BLR4
BLR5,"3 West Bar Street, Banbury",yes,,2020-10-31,,0.14,8,8,,local-authority-eng:CHR,not owned by a public authority,2019-08-02,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.342454 52.059443),BLR5,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,/brownfield-land/local-authority-eng/CHR/BLR5
BLR9,"Canalside, Banbury",,,2020-10-31,,24.62,654,654,2018 HELAA site - HELAA258. A Canalside Supplementary Planning Documents is being prepared. Planning permission for 46 homes at Crown House has already been given and is now complete. The 46 homes have been deducted from the total of 700 homes. Further planning permissions for 86 homes which have not been started.,local-authority-eng:CHR,mixed ownership,,,Not permissioned,,POINT(-1.328958 52.058756),BLR9,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,/brownfield-land/local-authority-eng/CHR/BLR9
BLR10,"Car Park Edmunds House, 40 South Bar Street, Banbury",yes,,2018-12-03,,0.08,6,6,,local-authority-eng:CHR,not owned by a public authority,2017-07-31,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.34132 52.05825),BLR10,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,/brownfield-land/local-authority-eng/CHR/BLR10
BLR11,"Land at Bolton Road, Banbury",,,2018-12-03,,2,200,200,2018 HELAA site - HELAA257.,local-authority-eng:CHR,,,,Not permissioned,,POINT(-1.337983 52.062943),BLR11,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,/brownfield-land/local-authority-eng/CHR/BLR11
BLR12,"Land at Higham Way, Banbury",yes,,2017-12-04,,3,150,150,2018 HELAA site - HELAA254.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,POINT(-1.323207 52.058112),BLR12,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,/brownfield-land/local-authority-eng/CHR/BLR12
BLR15,"P R Alcock And Sons Ltd, Castle Street, Banbury",yes,,2017-12-04,,0.16,5,5,Planning permission expired in November 2018.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,POINT(-1.336673 52.063771),BLR15,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,/brownfield-land/local-authority-eng/CHR/BLR15
BLR16,"1 to 6 Malthouse Walk, Banbury",yes,,2020-10-31,,0.07,20,20,,local-authority-eng:CHR,not owned by a public authority,2019-10-18,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.333411 52.061406),BLR16,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,/brownfield-land/local-authority-eng/CHR/BLR16
BLR17,"The Imperial Oriental, 13 - 14 South Bar Street, Banbury",yes,,2018-12-03,,0.03,7,7,Planning permission expired in March 2018,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,POINT(-1.340026 52.058944),BLR17,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,/brownfield-land/local-authority-eng/CHR/BLR17
BLR20,"Former Bicester Library, Old Place Yard, Bicester",yes,,2020-10-31,,0.04,3,3,The site was previously used as a library however is now vacant. Part of land identified for residential development in the Non-Statutory Cherwell Local Plan 2011. A full planning application (20/02405/F) for erection of terrace of 3no affordable housing units on site of dis-used library is pending.,local-authority-eng:CHR,owned by a public authority,,,Not permissioned,,POINT(-1.153385 51.895375),BLR20,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,/brownfield-land/local-authority-eng/CHR/BLR20
BLR22,"McKay Trading Estate, Station Approach, Bicester",yes,,2017-12-04,,1.2,60,60,The site is currently being used for employment purposes and is located at an industrial estate. Planning permission given for redevelopment to include new offices.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,POINT(-1.149517 51.893962),BLR22,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,/brownfield-land/local-authority-eng/CHR/BLR22
