name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BFR01,"Land at Ryewood, Rye Lane, Dunton Green",,,2017-12-01,,,0,0,"Located within Sevenoaks urban confines the site is considered sustainable. No physical or environmental constraints. However the site currently benefits from an extant planning permission for 2,300sqm of B1(a) office floorspace and a 460sqm medical facility, as part of a wider mixed use redevelopment scheme of the old West Kent Cold Store which sought to retain an element of employment floorspace.",local-authority-eng:SEV,not owned by a public authority,,,permissioned,other,POINT(0.171207 51.293687),BFR01,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8418,2017-11-01,/brownfield-land/local-authority-eng/SEV/BFR01
BFR02,"18 Cedar Drive and land, adjacent, Edenbridge",yes,,2017-12-01,,0.03,5,4,Located within Edenbridge urban confines the site is considered sustainable. There is scope for expanding the retail element on the ground floor and providing flats above. Given the small scale nature of the site and its close proximity to existing residential units there are some concerns over amenity impacts which could be addressed through high quality design.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,POINT(0.058543 51.201717),BFR02,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8419,2017-11-01,/brownfield-land/local-authority-eng/SEV/BFR02
BFR03,"Land between 13 and 55 Shrubbery Road, South Darenth",,,2017-12-01,,,0,0,Located within South Darenth urban confines the site is considered sustainable. A new access could be made onto Shrubbery Road. The majority of the site is currently allocated as open space.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,POINT(0.251705 51.403538),BFR03,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8420,2017-11-01,/brownfield-land/local-authority-eng/SEV/BFR03
BFR04,"Florence Farm Mobile Home Park, Main Road, West Kingsdown",yes,,2017-12-01,,0.6,24,18,Located mainly within West Kingsdown urban confines the site is considered sustainable. There is existing access onto the A20 however this is very narrow and in a poor state of repair and would require improving. The developable area of the site is reduced to take account of the ancient woodland and any buffer requirement. Overall the site is considered able to accommodate development.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,POINT(0.250846 51.349434),BFR04,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8421,2017-11-01,/brownfield-land/local-authority-eng/SEV/BFR04
BFR05,"Rajdani, London Road, West Kingsdown",yes,,2017-12-01,,0.4,16,12,Located within West Kingsdown urban confines the site is considered sustainable. The existing access onto London Road could be utilised. The site is considered suitable for redevelopment.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,POINT(0.25419 51.347634),BFR05,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8422,2017-11-01,/brownfield-land/local-authority-eng/SEV/BFR05
BFR06,"The Parish Complex, College Road, Hextable",yes,,2017-12-01,,0.4,16,12,"Partially located within Hextable urban confines the site is considered sustainable. The existing access onto Crawfords could be utilised. Hextable Gardens is a designated registered park and garden and is not suitable for development. Overall the eastern portion of the site is considered able to accommodate development, subject to the retention or reprovision of the community floorspace.",local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,POINT(0.175025 51.409276),BFR06,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8423,2017-11-01,/brownfield-land/local-authority-eng/SEV/BFR06
BFR07,"Former Furness School, Rowhill Road, Hextable",yes,,2017-12-01,,2.5,100,75,Located within Hextable urban confines the site is considered sustainable. The existing access onto Rowhill Road could be utilised. The southern portion of the site containing the school playing fields is allocated as open space. This area is an important part of the green infrastructure network and the loss of this use is not supported and would need to be clearly demonstrated. Overall the northern portion of the site is considered able to accommodate development.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,POINT(0.18319 51.414053),BFR07,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8424,2017-11-01,/brownfield-land/local-authority-eng/SEV/BFR07
BFR08,"Otford Builders Merchants, High Street, Otford",yes,,2017-12-01,,0.46,18,13,"Located within Otford urban confines the site is considered sustainable. The site lies within the AONB and partially within the Conservation Area. Given the existing use of this site, a residential redevelopment could contribute towards improving the character of the AONB. The existing access onto the High Street could be utilised.",local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,POINT(0.185606 51.313572),BFR08,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8425,2017-11-01,/brownfield-land/local-authority-eng/SEV/BFR08
BFR09,"51-59 Mount Pleasant Road and land to the rear, Sevenoaks Weald",yes,,2017-12-01,,0.28,11,8,Located within Sevenoaks Weald urban confines the site is considered sustainable. The site lies within the AONB. The existing access onto Mount Pleasant Road could be utilised. A small part of the site is identified in the Open Spaces Study as amenity green space which forms an important part of the green infrastructure network. The loss of this use is not supported and would need to be clearly demonstrated. Given the small scale nature of the site and its close proximity to existing residential units there are some concerns over amenity impacts which could be addressed through high quality design. Overall the site is considered able to accommodate development.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,POINT(0.190309 51.235432),BFR09,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8426,2017-11-01,/brownfield-land/local-authority-eng/SEV/BFR09
BFR10,"1-6 Gilchrist Cottages and land to the rear, Mount Pleasant Road, Sevenoaks Weald",yes,,2017-12-01,,0.39,15,11,Partially located within Sevenoaks Weald urban confines the site is considered sustainable. The site lies within the AONB but is considered to be well contained within the landscape. A new access onto Mount Pleasant Road would be required. Overall the site is considered able to accommodate development however it is partially located within the Green Belt so this designation would need to change in order for it to be developed.,local-authority-eng:SEV,not owned by a public authority,,,Not Permissioned,,POINT(0.191534 51.234969),BFR10,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8427,2017-11-01,/brownfield-land/local-authority-eng/SEV/BFR10
