name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
39540,"55-77 Lichfield Street, Wolverhampton City Centre",,,2017-01-01,,0.122,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.124028 52.586787),39540,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39540
39520,"Springvale Sports and Social Club, Millfields Road",,,2017-01-01,,2.857,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.088425 52.563634),39520,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39520
39360,"Telecom House, Church Street, Wolverhampton City Centre",,,2017-01-01,,0.55,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.130786 52.581017),39360,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39360
39340,Land at Sweetbriar Road / Pump Street,,,2017-01-01,,0.16,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.101454 52.571364),39340,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39340
39330,"Fmr Ettingshall Primary School, Herbert Street",,,2017-01-01,,1.1,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.094148 52.570372),39330,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39330
39320,"Fmr Bilston Leisure Centre, Prouds Lane, Bilston",,,2017-01-01,,0.89,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.076632 52.568865),39320,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39320
39310,"The Manse, Leacroft Avenue",,,2017-01-01,,0.34,,,,local-authority-eng:WLV,,,,pending decision,,POINT(-2.113466 52.612032),39310,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39310
39280,Garage Site Behind 23 To 33 Beach Avenue Wolverhampton West Midlands,,,2017-01-01,,0.1,,,,local-authority-eng:WLV,,,,pending decision,,POINT(-2.103597 52.552959),39280,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39280
30490,"Goodyear site, Stafford Road",,,2005-01-01,,23.24,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.128446 52.613634),30490,,2005-01-01,/brownfield-land/local-authority-eng/WLV/30490
39260,Land Formerly 37 - 39 Brooklands Parade Wolverhampton West Midlands WV1 2ND,,,2017-01-01,,0.1,,,,local-authority-eng:WLV,,,,Completed During 2017/18,,POINT(-2.095396 52.58649),39260,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39260
39230,Medical Massage 37 Thornley Street Wolverhampton West Midlands WV1 1JP,,,2017-01-01,,0.006,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.125824 52.588427),39230,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39230
39220,651 Stafford Road Wolverhampton West Midlands WV10 6QG,,,2017-01-01,,0.03,,,,local-authority-eng:WLV,,,,Completed During 2017/18,,POINT(-2.127437 52.627378),39220,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39220
39200,National Childrens Home 83 Compton Road Wolverhampton West Midlands WV3 9QH,,,2017-01-01,,0.2,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.154522 52.586116),39200,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39200
39170,73 Bellamy Lane Wolverhampton WV11 1LH,,,2017-01-01,,0.04,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.085117 52.60823),39170,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39170
39140,Primeco Limited 66 - 70 Lichfield Street City Centre Wolverhampton West Midlands WV1 1DB,,,2017-01-01,,0.1,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.124547 52.586464),39140,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39140
39110,138 Penn Road Wolverhampton WV3 0DZ,,,2017-01-01,,0.03,,,,local-authority-eng:WLV,,,,Completed During 2018/19,,POINT(-2.138073 52.574028),39110,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39110
39070,Little Orchard Perton Road Wolverhampton West Midlands WV6 8DP,,,2017-01-01,,0.37,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.193156 52.587279),39070,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39070
39050,10 Lever Street Wolverhampton West Midlands WV2 1AL,,,2017-01-01,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.123176 52.579415),39050,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39050
39030,38 Rupert Street Wolverhampton West Midlands WV3 9NS,,,2017-01-01,,0.057,,,,local-authority-eng:WLV,,,,Completed During 2018/19,,POINT(-2.147562 52.587462),39030,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39030
39020,Flat 1 110 Hurst Road Lanesfield Wolverhampton West Midlands WV14 9EU,,,2017-01-01,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.104266 52.546311),39020,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39020
39010,Bramerton Childrens Residential Home 17 Bramerton Close Wolverhampton West Midlands WV11 1RT,,,2017-01-01,,0.04,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.098782 52.601993),39010,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39010
39000,The Former British Legion Club Penn Road Wolverhampton West Midlands WV4 5LZ,,,2017-01-01,,0.4,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.169222 52.555193),39000,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39000
38990,The Otter And Vixen Old Fallings Lane Wolverhampton West Midlands WV10 8BN,,,2017-01-01,,0.246,,,,local-authority-eng:WLV,,,,pending decision,,POINT(-2.104945 52.610105),38990,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38990
38970,"Land adj 12 Lloyd Hill, Lower Penn",,,2017-01-01,,0.1,,,,local-authority-eng:WLV,,,,Completed During 2018/19,,POINT(-2.171041 52.555667),38970,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38970
38960,Northwood Park Lodge Northwood Park Road Wolverhampton West Midlands WV10 8EU,,,2017-01-01,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.116343 52.623627),38960,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38960
38950,133 Park Street South Wolverhampton West Midlands WV2 3JF,,,2017-01-01,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.131722 52.568325),38950,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38950
38940,368 - 370 Dudley Road Wolverhampton WV2 3AY,,,2017-01-01,,0.04,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.12505 52.570516),38940,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38940
38930,Upper Floors 27 And 28 Market Street Wolverhampton West Midlands WV1 3AG,,,2017-01-01,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.125991 52.585159),38930,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38930
38920,23 Chetwynd Road Wolverhampton West Midlands WV2 4NZ,,,2017-01-01,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.135592 52.569359),38920,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38920
38910,Woodend Post Office 80 Lower Prestwood Road Wolverhampton West Midlands WV11 1JP,,,2017-01-01,,0.02,,,,local-authority-eng:WLV,,,,Completed During 2018/19,,POINT(-2.083526 52.611113),38910,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38910
38900,"Hotel rear of The Old White Rose PH, 20 Lichfield St, Bilston WV14 0EB",,,2017-01-01,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.073944 52.565585),38900,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38900
38890,1-3 St Johns Street Wolverhampton WV1 3NS,,,2017-01-01,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.129287 52.584292),38890,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38890
38880,"Land North And South Of Lane Street, Bradley WV14 8UP",,,2017-01-01,,0.392,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.075184 52.55475),38880,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38880
38870,19 Raynor Road Wolverhampton West Midlands WV10 9QY,,,2017-01-01,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.106505 52.605192),38870,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38870
38860,13 - 15 Connaught Road Stowlawn Wolverhampton West Midlands WV14 6NU,,,2017-01-01,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.06492 52.573843),38860,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38860
38830,Land North West Of Bilston Urban Village Medical Centre Bankfield Road Wolverhampton West Midlands,,,2017-01-01,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.077098 52.563181),38830,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38830
38820,187 Leicester Street Wolverhampton West Midlands WV6 0PP,,,2017-01-01,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.139534 52.59326),38820,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38820
38810,436 Lichfield Road Wolverhampton West Midlands WV11 3HF,,,2017-01-01,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.058254 52.607673),38810,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38810
38500,"Mount Court, Mount Road",,,2017-01-01,,0.1,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.183519 52.588939),38500,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38500
38800,5 Waterloo Road Wolverhampton WV1 4DJ,,,2017-01-01,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.1326 52.58594),38800,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38800
38790,Former Wood Hayes Pub Land North Of 434 Wood End Road Wolverhampton WV11 1YG,,,2017-01-01,,0.122,,,,local-authority-eng:WLV,,,,Completed During 2017/18,,POINT(-2.087021 52.616677),38790,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38790
38780,76 Finchfield Road West Wolverhampton West Midlands WV3 8BA,,,2017-01-01,,0.26,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.164356 52.579518),38780,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38780
38770,Land Behind 77 To 91 D'Urberville Road Wolverhampton West Midlands,,,2017-01-01,,0.228,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.105857 52.571436),38770,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38770
38760,5 Grove Lane Wolverhampton West Midlands WV6 8NH,,,2017-01-01,,0.08,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.181564 52.58852),38760,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38760
38752,"Samson And Lion (land), Newbolt Road Wolverhampton West Midlands WV14 7NP",,,2017-01-01,,0.06,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.067998 52.568202),38752,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38752
38740,466 Dudley Road Wolverhampton West Midlands WV2 3AF,,,2017-01-01,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.12647 52.575023),38740,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38740
38720,Building Behind 50 Lichfield Street Wheelers Fold Wolverhampton West Midlands,,,2017-01-01,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.125992 52.586323),38720,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38720
38710,"The Angel Car Park, High Street, Wednesfield",,,2017-01-01,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.082691 52.600176),38710,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38710
38690,88A Great Brickkiln Street Wolverhampton WV3 0PU,,,2017-01-01,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.141449 52.581443),38690,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38690
38680,Martin And Co 11 Waterloo Road Wolverhampton West Midlands WV1 4DJ,,,2017-01-01,,0.06,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.132699 52.586232),38680,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38680
38670,29 Vicarage Road All Saints Wolverhampton WV2 1BZ,,,2017-01-01,,0.006,,,,local-authority-eng:WLV,,,,Completed During 2017/18,,POINT(-2.121381 52.579784),38670,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38670
38660,Coniston House Chapel Ash Wolverhampton WV3 0UD,,,2017-01-01,,0.159,,,,local-authority-eng:WLV,,,,Completed During 2018/19,,POINT(-2.135408 52.584447),38660,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38660
38650,25 Waterloo Road Wolverhampton WV1 4DJ,,,2017-01-01,,0.027,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.132892 52.586793),38650,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38650
38640,Whiteheads Building 26A Snow Hill Wolverhampton,,,2017-01-01,,0.03,,,,local-authority-eng:WLV,,,,Completed During 2017/18,,POINT(-2.125687 52.581999),38640,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38640
38630,5 StOther Commitmentkwell Road,,,2017-01-01,,0.44,,,,local-authority-eng:WLV,,,,Completed During 2017/18,,POINT(-2.166281 52.601047),38630,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38630
38620,Land rear of 45 Rookery Road,,,2017-01-01,,0.47,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.100247 52.553124),38620,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38620
38590,"31 Lichfield Street, Bilston",,,2017-01-01,,0.03,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.073943 52.566332),38590,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38590
38570,125 Parkfield Road,,,2017-01-01,,0.08,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.109647 52.566987),38570,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38570
38560,Land adj 31 Coalway Road,,,2017-01-01,,0.25,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.147539 52.568825),38560,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38560
38550,109 Warstones Road,,,2017-01-01,,0.02,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.166616 52.564898),38550,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38550
38540,3 Waterloo Road,,,2017-01-01,,0.01,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.132291 52.585987),38540,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38540
38610,Land corner of Stafford St and Bone Mill Lane WV1 1NT,,,2017-01-01,,0.61,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.127242 52.595584),38610,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38610
38580,"Corpus Christi RC Church, Griffiths Drive",,,2017-01-01,,0.01,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.056567 52.614149),38580,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38580
38510,6-7 Victoria Passage,,,2017-01-01,,0.1,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.130221 52.584533),38510,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38510
38520,"43 Lichfield Road, Wednesfield",,,2017-01-01,,0.1,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.079866 52.602386),38520,,2017-01-01,/brownfield-land/local-authority-eng/WLV/38520
D80,"Oxley Moor House and Oxley Day Centre, Probert Road, WV10 6UF",,,2017-01-01,,0.865,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.132847 52.618484),D80,,2017-01-01,/brownfield-land/local-authority-eng/WLV/D80
D78,"Stowheath Day/Childrens Centres, Stowheath Lane, WV1 2TW",,,2017-01-01,,1.134,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.09522 52.574785),D78,,2017-01-01,/brownfield-land/local-authority-eng/WLV/D78
D76,"Fmr Warstones Resource Centre, Warstones Drive, WV4 4PG",,,2017-01-01,,0.42,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.170776 52.568605),D76,,2017-01-01,/brownfield-land/local-authority-eng/WLV/D76
D75,"Fmr Merry Hill House, Langley Road, WV4 4YT",,,2017-01-01,,0.36,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.173262 52.570669),D75,,2017-01-01,/brownfield-land/local-authority-eng/WLV/D75
D74,"Fmr Nelson Mandela House, Whitburn Close",,,2017-01-01,,0.6,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.146569 52.622999),D74,,2017-01-01,/brownfield-land/local-authority-eng/WLV/D74
D73,"Fmr Woden Community Resource Centre, Vicarage Road",,,2017-01-01,,0.45,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.092214 52.604571),D73,,2017-01-01,/brownfield-land/local-authority-eng/WLV/D73
D70,Garage Site 1-7 Townson Road,,,2017-01-01,,0.07,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.059917 52.612197),D70,,2017-01-01,/brownfield-land/local-authority-eng/WLV/D70
D69,Garage Site 94-96 Batmans Hill Road,,,2017-01-01,,0.06,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.068707 52.548149),D69,,2017-01-01,/brownfield-land/local-authority-eng/WLV/D69
D68,17 Ryan Avenue,,,2017-01-01,,0.07,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.05575 52.610877),D68,,2017-01-01,/brownfield-land/local-authority-eng/WLV/D68
D67,Land rear of 31-37 Cavendish Road,,,2017-01-01,,0.12,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.089805 52.581819),D67,,2017-01-01,/brownfield-land/local-authority-eng/WLV/D67
39470,Hylstone Crescent,,,2017-01-01,,0.15,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.07621 52.605948),39470,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39470
39390,Fmr Garages rear 52-64 Foster Road,,,2017-01-01,,0.15,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.11595 52.607444),39390,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39390
39450,"Garages behind 23-33 Dereham Walk, Wilkinson Avenue",,,2017-01-01,,0.09,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.069347 52.552436),39450,,2017-01-01,/brownfield-land/local-authority-eng/WLV/39450
