site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Tesco Car Park, Gainsborough",,,2019-03-31,,0.36,25,25,Allocated in CLLP (CL1217),local-authority-eng:WLI,,,,not permissioned,,POINT(-0.770725 53.396244),1,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/1
"Site between Wembley/Hickman Street, Gainsborough",,,2019-03-31,,0.81,34,34,Allocated in CLLP (CL1244),local-authority-eng:WLI,,,,not permissioned,,POINT(-0.775094 53.397044),2,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/2
"West of Primrose Street, Gainsborough",,,2019-03-31,,2.22,83,83,Allocated in CLLP (CL1246),local-authority-eng:WLI,,,,not permissioned,,POINT(-0.775166 53.394527),3,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/3
"Land enclosed by Thornton Street, Bridge Sreet, King Street and Bridge Road, Gainsborough",,,2019-03-31,,0.58,25,25,Allocated in CLLP (CL1247),local-authority-eng:WLI,,,,not permissioned,,POINT(-0.774912 53.39288),4,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/4
"Middlefield School of Technology, Middlefield Lane, Gainsborough",yes,,2019-03-31,,3.98,112,112,Allocated in CLLP (CL1248),local-authority-eng:WLI,,,,not permissioned,,POINT(-0.763748 53.392037),5,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/5
"Sinclairs, Ropery Road, Gainsborough",,,2019-03-31,,3.03,114,114,Allocated in CLLP (CL1253),local-authority-eng:WLI,,,,not permissioned,,POINT(-0.781668 53.401183),6,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/6
"Land north of Northholme, Gainsborough",yes,,2019-03-31,,0.93,53,53,Allocated in CLLP (CL1271) / full planning permission (125240),local-authority-eng:WLI,,2011-07-15,,permissioned,full planning permission,POINT(-0.773262 53.404279),7,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/7
"Land between North Street and Church Street, Gainsborough",,,2019-03-31,,0.18,48,48,Allocated in CLLP (CL1610) / Site has planning permission (137322) for a temporary car park (3 years) which expires 10/04/2021,local-authority-eng:WLI,,,,not permissioned,,POINT(-0.775944 53.403605),8,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/8
"Land at Spring Gardens (Marshalls Rise), Gainsborough",yes,,2019-03-31,,0.29,39,39,Allocated in CLLP (CL1984 - in part) / full planning permission (136488),local-authority-eng:WLI,,2017-10-13,,permissioned,full planning permission,POINT(-0.770359 53.400078),9,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2018-12-21,brownfield-land/local-authority-eng/WLI/9
"Neighbourhood Plan Allocation D - All Saints Lane, Nettleham",yes,,2019-03-31,,0.38,30,30,Allocated in CLLP (CL4663),local-authority-eng:WLI,,,,not permissioned,,POINT(-0.491299 53.266541),10,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/10
"Gateway Riverside Housing Zone, Gainsborough",yes,,2019-03-31,,3.96,220,220,Allocated in CLLP (CL4686) / full planning permission (137763),local-authority-eng:WLI,,2018-09-28,,permissioned,full planning permission,POINT(-0.776016 53.38952),11,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/11
"Town Centre Riverside Housing Zone A, Gainsborough",,,2019-03-31,,1.72,73,73,Allocated in CLLP (CL4687),local-authority-eng:WLI,,,,not permissioned,,POINT(-0.77585 53.397932),12,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/12
"Town Centre Riverside Housing Zone B, Gainsborough",,,2019-03-31,,1.57,55,55,Allocated in CLLP (CL4688),local-authority-eng:WLI,,,,not permissioned,,POINT(-0.778514 53.399443),13,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/13
"Amp Rose Housing Zone, Gainsborough",,,2019-03-31,,2.28,78,78,Allocated in CLLP (CL4690),local-authority-eng:WLI,,,,not permissioned,,POINT(-0.76487 53.399015),14,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/14
"The Old Scrapyard, Stow Road, Ingham",yes,,2019-03-31,,1.8,35,35,Full planning permission (130739),local-authority-eng:WLI,,2016-02-10,,permissioned,full planning permission,POINT(-0.580455 53.334417),15,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/15
"Land between 27 and 31 Union Street, Market Rasen",yes,,2019-03-31,,0.08,6,6,Full planning permission (131545),local-authority-eng:WLI,,2016-04-22,,permissioned,full planning permission,POINT(-0.335974 53.386475),16,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17,brownfield-land/local-authority-eng/WLI/16
