site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Blakelock Road, Blakelock Rd, Foggy Furze Ward",yes,,2018-12-10,,0.6,15,10,Former colleague buildings.,local-authority-eng:HPL,owned by a public authority,,,not permissioned,,POINT(-1.231234 54.675333),BR1 - Blakelock Road,,2017-12-17,brownfield-land/local-authority-eng/HPL/BR1---Blakelock-Road
"Brenda Road East, Brenda Rd, Seaton Ward",yes,,2018-12-10,,4.72,140,100,A mix of industrial buildings a hardstanding. Land is included in a minded to grant permission which is still awaiting the s106 to be signed.. http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet,local-authority-eng:HPL,not owned by a public authority,,,not permissioned,,POINT(-1.206668 54.657138),BR2 - Brenda Road East,,2017-12-17,brownfield-land/local-authority-eng/HPL/BR2---Brenda-Road-East
"Britmag Central, Old Cemetery Rd, Headland&Harbour",yes,,2018-12-10,,3.6,69,69,Former industrial site which was remediated. No building work on site yet.. 6 2 bed. 27 3 bed. 21 4 bed. 15 bungalows.,local-authority-eng:HPL,not owned by a public authority,2016-12-22,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=114627,permissioned,reserved matters approval,POINT(-1.203922 54.705631),BR3 - Britmag Central,,2017-12-17,brownfield-land/local-authority-eng/HPL/BR3---Britmag-Central
"Britmag North, Old Cemetery Rd, De Bruce Ward",yes,,2018-12-10,,21.0,373,373,Former industrial site which was remediated. Persimmon developing site. Circa 80 dwellings completed.. 20 2 bed. 224 3 bed. 129 4 bed.,local-authority-eng:HPL,not owned by a public authority,2014-12-18,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=102944,permissioned,reserved matters approval,POINT(-1.220611 54.710979),BR4 - Britmag North,,2017-12-17,brownfield-land/local-authority-eng/HPL/BR4---Britmag-North
"Britmag South, Old Cemetery Rd, Headland&Harbour",yes,,2018-12-10,,1.2,41,41,Former industrial site which was remediated.. 5 2 bed. 19 3 bed. 10 4 bed. 7 bungalows.,local-authority-eng:HPL,not owned by a public authority,2016-12-22,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=114627,permissioned,reserved matters approval,POINT(-1.200364 54.704251),BR5 - Britmag South,,2017-12-17,brownfield-land/local-authority-eng/HPL/BR5---Britmag-South
"Carr & Hopps, Hartlane/Jobson St, Victoria ward",yes,,2018-12-10,,2.2,89,89,HMR scheme - only included in case current works stalled. Site nearing completion.. Cert of Lawful Development for proposed works - bringing old housing back into use,local-authority-eng:HPL,not owned by a public authority,2016-08-15,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=113611,permissioned,other,POINT(-1.220912 54.689592),BR6 - Carr & Hopps,,2017-12-17,brownfield-land/local-authority-eng/HPL/BR6---Carr---Hopps
"Close Farm Cottage, Wolviston, Rural West Ward",yes,,2018-12-10,,3.01,3,3,Conversion of old farm buildings. Work ongoing.. Conversion of existing outbuildings into 3 dwellings,local-authority-eng:HPL,not owned by a public authority,2012-10-26,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=95894,permissioned,full planning permission,POINT(-1.336851 54.653795),BR7 - Close Farm Cottage,,2017-12-17,brownfield-land/local-authority-eng/HPL/BR7---Close-Farm-Cottage
"FormerBriertonRoadSite, Brierton Lane, Manor House",yes,,2018-12-10,,1.39,110,100,Previously had permission for 109 houses but application has expired. Recent interest in site.,local-authority-eng:HPL,owned by a public authority,,,not permissioned,,POINT(-1.238945 54.666862),BR8 - Former Brierton Road Site,,2017-12-17,brownfield-land/local-authority-eng/HPL/BR8---Former-Brierton-Road-Site
"Former Fairground Site, Seaton Carew, Seaton Ward",yes,,2018-12-10,,0.49,30,15,Possibly suitable for mixed use scheme or apartment development however also potentially being considered for other uses,local-authority-eng:HPL,owned by a public authority,,,not permissioned,,POINT(-1.184535 54.657036),"BR9 - Former Fairground Site, Seaton Carew",,2017-12-17,brownfield-land/local-authority-eng/HPL/BR9---Former-Fairground-Site--Seaton-Carew
"Former King Oswy Public House, KingOswy Dr,DeBruce",yes,,2018-12-10,,0.25,8,8,Former pub site. Development started but has stalled.. 8 semi detached bungalows,local-authority-eng:HPL,not owned by a public authority,2017-05-15,http://eforms.hartlepool.gov.uk:7777/portal/servlets/ApplicationSearchServlet?PKID=117039,permissioned,full planning permission,POINT(-1.234304 54.710806),BR10 - Former King Oswy Public House,,2017-12-17,brownfield-land/local-authority-eng/HPL/BR10---Former-King-Oswy-Public-House
