name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BFR E65,"Factory Premises, Oakley Road, Rushden, NN10 6UR",,,2017-12-31,,0.294131,15,14,"RETAIN WITHIN BROWNFIELD REGISTER. Derelict Industrial Site where the former GBD Reproduction Furniture warehouse was located. As at 1 April 2018, site is included within East Northamptonshire housing land supply (agreed 22 October 2018), with a view to allocating for residential development in the emerging Local Plan Part 2.",local-authority-eng:ENO,not owned by a public authority,,,not permissioned,,POINT(-0.607456 52.293917),BFR E65,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_e65.pdf,2016-06-30,/brownfield-land/local-authority-eng/ENO/BFR-E65
BFR E66,"High Beech, 8 Hayway, Rushden, NN10 6ES",,,2017-12-31,,0.384095,5,5,"RETAIN WITHIN BROWNFIELD REGISTER. 14/02228/FUL - Demolition of existing building and erection of five detached dwellings pursuant to planning permission 13/01585/FUL.. 14/02228/FUL - Planning permission lapsed, 11 March 2018. No replacement application/ permission",local-authority-eng:ENO,not owned by a public authority,2015-03-11,,not permissioned,full planning permission,POINT(-0.599659 52.29797),BFR E66,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_e66.pdf,2016-06-30,/brownfield-land/local-authority-eng/ENO/BFR-E66
BFR C1,"Car Park, Pytchley Court, Corby, NN17 2PL",,,2018-12-17,,0.379256,9,9,No additional update,local-authority-eng:COR,owned by a public authority,,,not permissioned,,POINT(-0.72135 52.498274),BFR C1,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c1.pdf,2016-06-30,/brownfield-land/local-authority-eng/COR/BFR-C1
BFR C16,"Garage Court, Lindisfarne Road, Corby, NN17 2HW",,,2018-12-17,,0.283413,11,11,No additional update. Majority of site is in public sector ownership but the remaining garages are private. Site considered in mutiple ownership as a result.,local-authority-eng:COR,owned by a public authority,,,not permissioned,,POINT(-0.711394 52.502119),BFR C16,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c16.pdf,2016-06-30,/brownfield-land/local-authority-eng/COR/BFR-C16
BFR C20,"Maple House, Canada Square, Corby, NN18 9HU",,,2018-12-17,,0.419532,14,14,Proposed P2LP housing allocation site. No additional update. A Tree Preservation Order exists on site (TPO/2014/5),local-authority-eng:COR,owned by a public authority,,,not permissioned,,POINT(-0.719992 52.475996),BFR C20,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c20.pdf,2016-06-30,/brownfield-land/local-authority-eng/COR/BFR-C20
BFR C23,"Former Our Lady Pope John School, Tower Hill Road, Corby, NN18 0TF",,,2018-12-17,,2.11051,88,88,"Detailed planning application for the erection of 88 dwellings, together with access roads parking and open space/landscaping. Previous application lapsed - 11/00215/OUT. 11/00215/OUT - No start on site at November 2017. At November 2018 - not commenced.",local-authority-eng:COR,not owned by a public authority,2021-07-24,,permissioned,full planning permission,POINT(-0.732406 52.480441),BFR C23,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c23.pdf,2016-06-30,/brownfield-land/local-authority-eng/COR/BFR-C23
BFR C24,"Railway Station Interchange, Station Road, Corby, NN17 1NA",,,2018-12-17,,0.805703,150,150,"Site previously assessed through SHLAA as site 2030. The site has been subject to a bid to the HCA for Starter Homes funding and it was assumed that 40 dwellings could be delivered on the site. However, as part of an urban design review, consideration was also made of a mix of uses being deployed on site which reduces the developable area for housing (assuming 50dph) an alternative yield of 29 dwellings has been assumed.. Awaiting S106",local-authority-eng:COR,owned by a public authority,,,permissioned,permission in principle,POINT(-0.687128 52.488138),BFR C24,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c24.pdf,2016-06-30,/brownfield-land/local-authority-eng/COR/BFR-C24
BFR C25,"Beanfield School, off Glastonbury Road, Corby, NN18 0DJ",,,2018-12-17,,3.99481,80,80,"80 new residential dwellings. Site is under construction at November 2017 pursuant to extant permission (no completions to date). At March 2018, 32 completions.",local-authority-eng:COR,owned by a public authority,2017-07-04,,permissioned,full planning permission,POINT(-0.730313 52.487929),BFR C25,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c25-1.pdf,2016-06-30,/brownfield-land/local-authority-eng/COR/BFR-C25
BFR C26,"Parkland Gateway, George Street, Corby, NN17 1QG",,,2018-12-17,,0.701286,80,80,"Site previously assessed through SHLAA as site 2037. The site was previously been subject to a bid to the HCA for Starter Homes funding and it was assumed that 40 dwellings could be delivered on the site. However, as part of an urban design review, consideration was also made of higher densities (flats) being deployed on site and assuming 100dph an alternative yield of 63 dwellings has been assumed.",local-authority-eng:COR,owned by a public authority,,,not permissioned,,POINT(-0.705394 52.489348),BFR C26,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c26.pdf,2016-06-30,/brownfield-land/local-authority-eng/COR/BFR-C26
BFR C27,"Kingswood School, Gainsborough Road, Corby, NN18 9NQ",,,2018-12-17,,1.66549,131,131,"Erection of up to 131 no. dwellings, provision of open space and works.. Site is under construction at November 2017 pursuant to extant permission (12 dwellings completed to date, 10 starts). At March 2018, 57 completions.",local-authority-eng:COR,owned by a public authority,2016-12-22,,permissioned,full planning permission,POINT(-0.733598 52.477815),BFR C27,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c27-1.pdf,2016-06-30,/brownfield-land/local-authority-eng/COR/BFR-C27
BFR K2,"Scott Road Garages, Scott Road, Kettering, NN16 9JY",,,2018-12-04,,0.427951,25,12,Previously assessed through SHLAA as site 705. Council owned site. Preference would be for affordable housing on site. Different dwelling capaciites have been calculated for the site dependent on potential densities to be applied (taking account of the surrounding area). These entail either 17 houses at 50dph or 12 houses at 35 dph and these values take account (exclude) an area of the site under which a sewer easement runs.. A sewer easement crosses the site.,local-authority-eng:KET,owned by a public authority,,,pending decision,,POINT(-0.716497 52.413627),BFR K2,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_k2.pdf,2016-06-30,/brownfield-land/local-authority-eng/KET/BFR-K2
BFR K3,"Kettering Football Club, Rockingham Road, Kettering, NN16 9EU",,,2018-12-04,,1.62302,88,88,Privately owned site with a landowner keen to redevelop. Former stadium of Kettering Town Football Club. Site has not been used for footballing purposes for a number of years. Stadium demolished in 2017.. Previously assessed through SHLAA as site 732. http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1323,local-authority-eng:KET,not owned by a public authority,,,pending decision,,POINT(-0.728381 52.411001),BFR K3,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_k3-1.pdf,2016-06-30,/brownfield-land/local-authority-eng/KET/BFR-K3
BFR K8,"Land At Rothwell Town Football Club, Cecil Street, Rothwell, NN14 6EZ",,,2017-12-31,,1.60445,80,80,KET/2014/0233 - 80 no. dwellings with associated infrastructure. Site under construction.. Previously assessed through SHLAA as site 1027. http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1323,local-authority-eng:KET,not owned by a public authority,2014-11-27,,permissioned,full planning permission,POINT(-0.800961 52.425536),BFR K8,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_k8.pdf,2016-06-30,/brownfield-land/local-authority-eng/KET/BFR-K8
BFR K15,"Desborough Leisure Centre, Off Broadlands, Desborough, NN14 2YH",,,2018-12-04,,3.41814,46,46,"For BFR assessment purposes it is assumed that development will only happen on the PDL element of site (and not the larger, wider site which includes extensive tracts of Greenfield). To derive these estimates it has been calculated that only 30% of the wider site is PDL so 70% of the overall site has been discounted for development, hence the minimum figure propsed of 46 net dwellings used.. KET/2016/0044 - Residential development up to 304 dwellings - Outline. Appeal allowed. (APP/L2820/W/16/3162430). Previously assessed through SHLAA as site 1165. http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1323",local-authority-eng:KET,owned by a public authority,2017-12-22,,permissioned,outline planning permission,POINT(-0.805102 52.437485),BFR K15,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_k15-1.pdf,2016-06-30,/brownfield-land/local-authority-eng/KET/BFR-K15
BFR K17,"Land At Bosworth's Nursery And Garden Centre, Finedon Road, Burton Latimer, NN15 5QA",,,2018-12-04,,2.721,69,69,KET/2013/0750 - Residential development for up to 69 no. dwellings with access. KET/2016/0883 - Reserved matters approved 08.06.2018. Previously assessed through SHLAA as site 2185. http://www.nnjpu.org.uk/publications/docdetail.asp?docid=1323,local-authority-eng:KET,not owned by a public authority,2018-06-08,,permissioned,reserved matters approval,POINT(-0.686982 52.356221),BFR K17,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_k17.pdf,2016-06-30,/brownfield-land/local-authority-eng/KET/BFR-K17
