site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Trafalgar House Trafalgar Street,yes,,2019-11-28,,0.06,26,26,Change Of Use from B1 to 26 1 Bed Flats,local-authority-eng:WIN,not owned by a public authority,2017-03-29,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,other,POINT(-1.318422 51.062876),BLR19/01,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01
Regency House 2 - 4 Southgate Street Winchester Hampshire SO23 9EF,yes,,2019-11-28,,0.03,8,8,Retention of lower ground & ground Floor Offices & Change Of Use of First & Second Floor from B1 (Office) to 4x1 Bed & 4 x 2 Bed Flats,local-authority-eng:WIN,not owned by a public authority,2017-03-23,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.317455 51.062664),BLR19/02,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01
9-11 High Street,yes,,2019-11-28,,0.08,7,7,Redevelop Exisitng Facades on High St & Market St. Change Of Use of 2 Floors from A1 & erection of a 3rd floor to create 7 x Duplex flats,local-authority-eng:WIN,not owned by a public authority,2016-12-21,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.311803 51.061731),BLR19/03,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01
"Brymor House & Ocean House Parklands Business Park, Forest Rd",yes,,2019-11-28,,0.5,24,24,Change of use of existing B1(a) offices (within 2x separate blocks) to provide a total of 24. No Class C3 Dwellings together with on-site car parking.,local-authority-eng:WIN,not owned by a public authority,2016-09-01,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,other,POINT(-1.069951 50.895773),BLR19/04,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01
"Gentian House, Moorside Road, Winchester",yes,,2019-11-28,,0.14,8,8,3 Storey extension to accommodate 8 additional apartments,local-authority-eng:WIN,not owned by a public authority,2017-12-19,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.297666 51.072753),BLR19/05,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2018-12-01
"Kings School House , Sarum Road, Winchester",yes,,2019-11-28,,0.40,29,29,Demolition & Redevelopment to form 29 Sheltered Apartments for the elderly,local-authority-eng:WIN,not owned by a public authority,2018-01-05,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.33916 51.060612),BLR19/06,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2018-12-01
"Dance Academy, 21 St Pauls Hill, Winchester",yes,,2019-11-28,,0.11,8,8,Demolition of former Trinity Centre. Erection of 8No Dwellings,local-authority-eng:WIN,not owned by a public authority,2018-01-24,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.323274 51.066789),BLR19/07,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2018-12-01
"WCI Technology House, Parklands Business Park, Forest Road, Denmead",yes,,2019-11-28,,0.15,8,8,Conversion of existing floors(B1A Use) to form Residential Accomodation (8 Flats),local-authority-eng:WIN,not owned by a public authority,2017-12-14,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,other,POINT(-1.069561 50.895348),BLR19/08,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2018-12-01
Primayer House Parklands Business Park Forest Road,yes,,2019-11-28,,0.26,6,6,Prior Notification For COU of Office (B1A Use) to form 10 Residential Units (Class C3) with associated Car Parking.,local-authority-eng:WIN,not owned by a public authority,2018-12-06,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,other,POINT(-1.068901 50.894956),BLR19/09,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2019-11-28
The Old Parsonage Care Home Main Road,yes,,2019-11-28,,0.32,16,16,Refurbishment and redevelopment of The Old Parsonage Care Home to provide 16No. Close Care Apartments,local-authority-eng:WIN,not owned by a public authority,2019-03-14,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.344694 51.007202),BLR19/10,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2019-11-28
