name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BFL 1,"Land West of Ashton Rd., Roade, NN7 2LF",,,2001-12-18,,11.1,,,Former Pianoforte Site:vacant commercial site with more than two-thirds previously developed with less than a third Greenfield land located to the south of Roade. Site area 11.1ha with 0.5ha for employment and/or doctors surgery,local-authority-eng:SNR,,,,,,POINT(-0.892718 52.154797),BFL 1,,,/brownfield-land/local-authority-eng/SNR/BFL-1
BFL 2,"Burcote Road, Outline stage, Towcester, NN12 6TF & NN12 6LX",,,2001-12-18,,3.74,,,Burcote Road development: Hybrid Site: application for residential development [2.75 Brownfield newbuilt; 0.99 Greenfield newbuilt]; major part of site largely prepared for development,local-authority-eng:SNR,,,,,,POINT(-0.983727 52.125155),BFL 2,,2017-11-21,/brownfield-land/local-authority-eng/SNR/BFL-2
BFL 3,"Brackley Sawmills, Stage 2, Northampton Road, Brackley, NN13 7DL,",,,2001-12-18,,2.36,,,Former Brackley Sawmills 2nd built-out stage:,local-authority-eng:SNR,,,,,,POINT(-1.098558 54.116291),BFL 3,,,/brownfield-land/local-authority-eng/SNR/BFL-3
BFL 4,"Moat Lane, Outline stage, Towcester, NN12 6AD",,,2001-12-18,,2.74,,,Originally WNDC Outline Planning Permission - Outline application for regeneration of Moat Lane; residential development is just part of an otherwise dominantly commercial development site,local-authority-eng:SNR,,,,,,POINT(-0.988799 52.133381),BFL 4,,,/brownfield-land/local-authority-eng/SNR/BFL-4
BFL 6,"Hayes Road, Deanshanger, MK19 6HP & MK19 6FA & MK19 6HR",,,2001-12-18,,1.63,,,Redevelopment of the former Elementis Works site (Site 1); [SNC588 partially built out previously with app. 2/2009/0411/P],local-authority-eng:SNR,,,,,,POINT(-0.884884 52.050563),BFL 6,,2017-11-21,/brownfield-land/local-authority-eng/SNR/BFL-6
BFL 7,"Moat Lane, stage 2, Towcester, NN12 6AD",,,2001-12-18,,0.18,,,"Comprising of two smaller commercial sites within previous Plg. application S/2012/1476/MAF, however only the site identified under BFL7 has the residential element",local-authority-eng:SNR,,,,,,POINT(-0.988798 52.133444),BFL 7,,,/brownfield-land/local-authority-eng/SNR/BFL-7
BFL 8,"Britannia Works, High Street & Maltings Row, Deanshanger, MK19 6HR",,,2001-12-18,,0.28,,,"Former Britannia Works: no site ref. in SHLAA 2012, though site is in between SNC454 & SNC588]",local-authority-eng:SNR,,,,,,POINT(-0.886645 52.050121),BFL 8,,,/brownfield-land/local-authority-eng/SNR/BFL-8
BFL 9,"Brackley Sawmills, Outline stage, Brackley, NN13 5GF & NN13 5GG",,,2001-12-18,,0.49,,,Former Brackley Sawmills convers. to resident.,local-authority-eng:SNR,,,,,,POINT(-1.140206 52.041329),BFL 9,,,/brownfield-land/local-authority-eng/SNR/BFL-9
BFL 11,"The Hunters, The Green Deanshanger, MK19 6HL",,,2001-12-18,,0.35,,,Conversion of former ambulance headquarters,local-authority-eng:SNR,,,,,,POINT(-0.884344 52.048212),BFL 11,,2017-11-21,/brownfield-land/local-authority-eng/SNR/BFL-11
BFL 12,"Chaplins Yard, Stratford Road, Roade, NN7 2GB & NN7 2NJ",,,2001-12-18,,3.27,,,"3.27 ha for dwellings and Outline 0.5 ha for offices, Former Chaplins Haulage Yard Stratford Road Roade",local-authority-eng:SNR,,,,,,POINT(-0.89651 52.15397),BFL 12,,,/brownfield-land/local-authority-eng/SNR/BFL-12
BFL 13,"Sun Moon and Stars, 64 High Street Blisworth NN7 3BJ",,,2001-12-18,,1.08,,,Conversion of Public House,local-authority-eng:SNR,,,,,,POINT(-0.942419 52.174413),BFL 13,,,/brownfield-land/local-authority-eng/SNR/BFL-13
BFL 14,"Aynhoe Park House, Aynhoe Park, Aynhoe, OX17 3BQ",,,2001-12-18,,5.41,,,"Hybrid application: Proposed business use within [change of use of part of the main house] existing building and new residential, 5.41 whole site",local-authority-eng:SNR,,,,,,POINT(-1.252893 51.993259),BFL 14,,,/brownfield-land/local-authority-eng/SNR/BFL-14
BFL 15,"Mill Lane, Brackley, stage 1, NN13 7AL [&NN13 7XU ]",,,2001-12-18,,0.36,,,Former Hawkins Salmon Site Mill Lane Brackley,local-authority-eng:SNR,,,,,,POINT(-1.13509 52.029163),BFL 15,,2017-11-21,/brownfield-land/local-authority-eng/SNR/BFL-15
BFL 16,"100 High Street, Brackley, NN13 7DR",,,2001-12-18,,0.73,,,"Office to Res., applicants have not discharged conditions at 20/11/17",local-authority-eng:SNR,,,,,,POINT(-1.143961 52.033255),BFL 16,,,/brownfield-land/local-authority-eng/SNR/BFL-16
BFL 17,"Old School House, Station Road, Cogenhoe, NN7 1LT",,,2001-12-18,,0.73,,,"Change of Use of Square Bear, The Old School House Station Road",local-authority-eng:SNR,,,,,,POINT(-0.788149 52.237538),BFL 17,,,/brownfield-land/local-authority-eng/SNR/BFL-17
BFL 18,Manor Works 50 Church Street Cogenhoe NN7 1LS,,,2001-12-18,,0.15,,,"Convers,/ Extention of former barn & new builts on former Manor Works",local-authority-eng:SNR,,,,,,POINT(-0.784232 52.239925),BFL 18,,2017-11-21,/brownfield-land/local-authority-eng/SNR/BFL-18
