site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Yeo Valley, Axbridge Road",,,2018-11-27,,3.41,50,50,Redevelopment will need to particularly consider the implications of being located within the AONB and the Bat Consultation Zone. It should also satisfy relevant Cheddar Neighbourhood Plan policies (now adopted).. Has been promoted for reuse for a mixed use scheme including retaining employment uses as well as an element of residential development to make redevelopment viable.,local-authority-eng:SEG,not owned by a public authority,,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=17/18/00073,pending decision,,POINT(-2.795729 51.2885),H252a,http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=344606.27&y=154674.83&zoom=10,2017-11-27
"Land between 21 and 35 Monmouth Street and to the rear of, Church Street, Bridgwater",yes,,2018-11-27,,0.4,28,28,"Existing extant consent reference 08/18/00142.. Erection of 28 affordable dwellings and the formation of access, parking and landscaping.",local-authority-eng:SEG,not owned by a public authority,2018-10-19,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/18/00142,permissioned,full planning permission,POINT(-2.996917 51.13012),H255,http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330337.75&y=137233.13&zoom=10,2017-11-27
"83-89 Bath Road, Bridgwater",yes,,2018-11-27,,0.16,10,10,"Application 08/17/00172 consented.. Erection of 10no. dwellings and creation of associated access and parking, on site of existing buildlings (to be demolished).",local-authority-eng:SEG,not owned by a public authority,2017-12-22,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/17/00172,permissioned,full planning permission,POINT(-2.9919 51.133768),H260a,http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330694.25&y=137634.02&zoom=10,2017-11-27
"On land at, The Old Tile Works, All Saints Terrace, Bridgwater, TA6 5JQ",,,2018-11-27,,0.26,25,6,08/11/00244 for 6 dwellings now expired but site is still actively promoted with potential for higher numbers.. Erection of six dwellings with associated parking and formation of access,local-authority-eng:SEG,not owned by a public authority,,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/11/00244,not permissioned,,POINT(-2.990596 51.126128),H262,http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330774.05&y=136783.13&zoom=10,2017-11-27
"The Hope Inn, 80-82 Taunton Road, Bridgwater, TA6 6AF",yes,,2017-11-27,,0.17,22,22,"Existing extant consent reference 08/15/00196.. Demolition of the existing Public House (Use Class A4) with ancillary dwelling (Use Class C3), with the erection of blocks of 22 apartments (7 one-bedroom and 15 two-bedroom flats) with associated parking, cycle stores, refuse storage and amenity space.",local-authority-eng:SEG,not owned by a public authority,2016-09-23,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/15/00196,permissioned,full planning permission,POINT(-2.999956 51.121909),H265b,http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330112.73&y=136322.8&zoom=10,2017-11-27
"Former Bridgwater Cattle Market, Bath Road, Bridgwater",yes,,2018-11-27,,2.01,100,100,Application 08/16/00165 for 159 dwellings also includes adjacent areas considered to be greenfield. The brownfield element amounts to approximately 100 dwellings.. Amended proposal for 159 dwellings.. https://www.sedgemoor.gov.uk/1247,local-authority-eng:SEG,owned by a public authority,2018-02-01,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/16/00165,permissioned,full planning permission,POINT(-2.991599 51.135126),H266a,http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330717.35&y=137784.72&zoom=10,2017-11-27
"Former abattoir site, Bath Road, Bridgwater",,,2017-11-27,,0.5,13,13,Refer to East of A38 Development Brief for further information.. Identifed as an area for future residential development in the Council's East of the A38 Development Brief and Design Principles Document.. https://www.sedgemoor.gov.uk/1247,local-authority-eng:SEG,not owned by a public authority,,,not permissioned,,POINT(-2.990426 51.135787),H266b,http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330800.45&y=137857.17&zoom=10,2017-11-27
"The Mill (formerly Bigwood & Staple), Church Street, Bridgwater",yes,,2018-11-27,,0.22,29,29,Outline consent reference 08/18/00114 pending determination.. Erection of 29 No. two bedroom town houses.,local-authority-eng:SEG,not owned by a public authority,,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/18/00114,pending decision,,POINT(-2.999145 51.131513),H268,http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330183.93&y=137390.1&zoom=10,2017-11-27
"Former Bridgwater Community Hospital, Salmon Parade, Bridgwater, TA6 5AH",yes,,2017-11-27,,0.89,3,3,Existing extant consent reference 08/16/00009.. Conversion and extension of former Dental Surgery to three dwellings,local-authority-eng:SEG,owned by a public authority,2016-11-08,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/16/00009,permissioned,full planning permission,POINT(-2.998918 51.128044),H275,http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330194.58&y=137004.07&zoom=10,2017-11-27
"Land at, Newtown Road, Highbridge",yes,,2018-11-27,,2.57,95,95,Existing extant consent reference 11/17/00121.. Erection of 95no. dwellings and associated development.,local-authority-eng:SEG,not owned by a public authority,2018-02-21,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=11/17/00121,permissioned,full planning permission,POINT(-2.982229 51.221631),H280a,http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=331501.46&y=147395.89&zoom=10,2017-11-27
