site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"76 and 76a Kent Road, Blackpool, FY1 5ET",yes,,2017-12-15,,0.109622575,0,0,Erection of 12 x three storey terrace dwelling houses with integral garages,local-authority-eng:BPL,not owned by a public authority,2016-03-14,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_60116,permissioned,outline planning permission,POINT(-3.047988 53.809608),BR001,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,brownfield-land/local-authority-eng/BPL/BR001
"7-11 Alfred Street, Blackpool, FY1 4LH",yes,,2017-12-15,,0.051554366,0,0,Erection of a four-storey block of 14 self-contained permanent flats with balconies associated access and parking following the demolition of existing building,local-authority-eng:BPL,not owned by a public authority,2017-02-24,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_60930,permissioned,outline planning permission,POINT(-3.048737 53.817481),BR002,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,brownfield-land/local-authority-eng/BPL/BR002
"50 Bispham Road, Blackpool, FY2 0SX",yes,,2017-12-15,,0.090475148,0,0,"Erection of part three storey, part four storey building to form 12 self contained permanent flats, with associated parking for 8 cars, access from Bispham Road, bin and cycle stores, landscaping and boundary treatment",local-authority-eng:BPL,not owned by a public authority,2017-08-31,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_61569,permissioned,full planning permission,POINT(-3.030404 53.836554),BR006,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,brownfield-land/local-authority-eng/BPL/BR006
"Former filling Station, Norbreck Castle, Blackpool, FY2 9AB",yes,,2017-12-15,,0.147086633,0,0,"Erection of a part two, part four and part five storey building to form 15 self-contained permanent flats with associated balconies, roof gardens, landscaping and boundary treatment, vehicle access and car parking facilities for 23 vehicles",local-authority-eng:BPL,not owned by a public authority,2015-03-10,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_59443,permissioned,full planning permission,POINT(-3.049057 53.859272),BR007,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,brownfield-land/local-authority-eng/BPL/BR007
"Land at Station Road/Lytham Road, Blackpool, FY4 1EU",,,2017-12-15,,0.133533531,13,10,Site is in 2014 SHLAA. Site is vacant and has been cleared. Assumed density range 80 - 100 dph reflecting inner area location.,local-authority-eng:BPL,not owned by a public authority,,,not permissioned,,POINT(-3.050645 53.795852),BR009,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,brownfield-land/local-authority-eng/BPL/BR009
"Former Revills Hotel, 190-194 Promenade, Blackpool, FY1 1RJ",,,2017-12-15,,0.116166998,15,9,Site is in 2014 SHLAA. Density maximum reflects withdrawn application 11/0056 for 15 flats and density minimum equates to 80 dph reflecting inner area location. Site is in use as a car park.,local-authority-eng:BPL,not owned by a public authority,,,not permissioned,,POINT(-3.054701 53.821627),BR004,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,brownfield-land/local-authority-eng/BPL/BR004
"Tram Depot, Rigby Road, Blackpool, FY1 5DD",,,2018-12-13,,2.610607375,183,100,Site is in 2014 SHLAA. Currently in use by Blackpool Transport. Assumed density range up to 100 dph reflecting inner area location & assuming 70% developable area due to size of site.,local-authority-eng:BPL,owned by a public authority,,,not permissioned,,POINT(-3.05166 53.806643),BR003,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,brownfield-land/local-authority-eng/BPL/BR003
"Former Mariners Public House, 8 Norbreck Road, Blackpool, FY5 1RP",,,2018-12-13,,0.112495688,35,10,Site is in 2014 SHLAA. Density maximum reflects application 11/0967 for for 35 flats (S106 unsigned) and density minimum equates to 50 dph reflecting outer area location. Site is vacant and has been cleared.,local-authority-eng:BPL,not owned by a public authority,,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_56682,not permissioned,,POINT(-3.049162 53.857045),BR008,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,brownfield-land/local-authority-eng/BPL/BR008
"Land at former Hawes Side Clinic, Hawes Side Lane, Blackpool, FY4 5AJ",yes,,2017-12-15,,0.171963036,0,0,"Erection of 8 no. two-storey, semi-detached dwellinghouses with vehicular accesses from Burgess Avenue, Crompton Avenue and Reaney Avenue and associated car parking, detached garages and landscaping",local-authority-eng:BPL,owned by a public authority,2017-03-23,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_61200,permissioned,reserved matters approval,POINT(-3.027995 53.790548),BR010,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,brownfield-land/local-authority-eng/BPL/BR010
"Land at Coleridge Road/George Street, Blackpool, FY1 3RP",,,2017-12-15,,0.136030241,14,11,Site is in 2014 SHLAA. Site is vacant and has been cleared. Assumed density range 80 - 100 dph reflecting inner area location.,local-authority-eng:BPL,not owned by a public authority,,,not permissioned,,POINT(-3.040363 53.823605),BR005,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,brownfield-land/local-authority-eng/BPL/BR005
"585 - 593 Promenade & 1 Wimbourne Place, Blackpool, FY4 1NQ",yes,,2017-12-15,,0.369572336,0,0,"Erection of part 3 / part 4 / part 5 / part 6 storey block of 88 self contained permanent flats with car parking for 88 vehicles, access and associated works, following demolition of existing hotels.",local-authority-eng:BPL,not owned by a public authority,2017-05-10,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_61323,permissioned,outline planning permission,POINT(-3.057272 53.786012),BR011,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,brownfield-land/local-authority-eng/BPL/BR011
"Hoyle House, Argosy Avenue, Blackpool, FY3 7NN",yes,,2018-12-13,,0.360766928,0,0,"Dwellings proposed are social rented housing.. Erection of 6 two storey semi-detached dwellinghouses, 2 semi-detached bungalows, 3 two storey mews dwellinghouses and an Assistive Technology Centre forming 7 self contained flats and staff/communal area with associated parking",local-authority-eng:BPL,owned by a public authority,2017-12-13,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_61720,permissioned,full planning permission,POINT(-3.021891 53.833316),BR012,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,brownfield-land/local-authority-eng/BPL/BR012
"Anchorsholme Methodist Church, North Drive, Blackpool, FY5 3PG",yes,,2017-12-15,,0.121591547,0,0,"Erection of 4 semi detached dwellinghouses and 1 detached dwellinghouse with associated garages, following demolition of existing church building",local-authority-eng:BPL,not owned by a public authority,2015-05-21,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_59366,permissioned,outline planning permission,POINT(-3.033303 53.870625),BR013,http://maps.blackpool.gov.uk/#zoom=3&lat=434255.06959&lon=333928.83324&layers=0BTFTFFFFFFFFFFFFFFFFFFFFFFFF,2017-12-15,brownfield-land/local-authority-eng/BPL/BR013
