site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"102-104 Fore Street (1st, 2nd and 3rd floors only)",yes,,,,0.07,13,13,"Planning consent has been implemented, but work is on hold.",,not owned by a public authority,2011-09-22,,permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"130 Fore Street (1st, upper 1st, 2nd and 3rd floors only)",yes,,,,0.03,13,13,"Planning consent has been implemented, but work is on hold.",,not owned by a public authority,2013-02-14,,permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"1-6 North Street, 182-183, 185 and 186 Fore Street (1st, 2nd, 3rd, 4th and 5th floors only)",yes,,,,0.08,24,24,,,not owned by a public authority,2017-04-21,,permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"The Courtyard, 48 New North Road",yes,,,,0.15,13,13,,,not owned by a public authority,2017-11-21,,pending decision,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"Exeter Royal Academy for Deaf Education, Topsham Road",yes,,,,3.58,146,146,,,not owned by a public authority,2018-06-28,,permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"Former Exwick Middle School, Higher Exwick Hill",yes,,,,1.25,,,,,owned by a public authority,2019-01-07,,pending decision,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"Former Foxhayes Infant School, Gloucester Road",yes,,,,0.8,,,,,owned by a public authority,2019-01-07,,pending decision,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
Land r/o 94-106 Thornpark Rise,yes,,,,0.34,9,9,,,owned by a public authority,2018-10-03,,permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"9a North Street (1st, 2nd and 3rd floors only)",yes,,,,0.04,8,8,,,not owned by a public authority,2015-10-15,,permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
35-37 Sidwell Street and land r/o 32-34 Sidwell Street (1st and 2nd floors only),yes,,,,0.08,27,27,,,owned by a public authority,2017-10-04,,permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
1-5 Lower Avenue,yes,,,,0.04,5,5,,,not owned by a public authority,2018-06-05,,pending decision,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"Newberry Car Breakers, Redhills",yes,,,,0.33,5,5,,,not owned by a public authority,2018-07-31,,pending decision,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"Moose Hall, Blackboy Road",yes,,,,0.06,8,8,,,not owned by a public authority,2018-10-24,,permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
The King Billy and 26-28 Longbrook Street,yes,,,,0.05,108,108,,,not owned by a public authority,2018-04-27,,permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
Land at Glenthorne Road,yes,,,,0.57,178,178,,,not owned by a public authority,2018-12-17,,permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"City Arcade, Fore Street",yes,,,,0.06,64,64,Under construction.,,not owned by a public authority,2018-10-22,,permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
78-84 Bovemoors Lane,yes,,,,0.24,10,10,Site cleared.,,owned by a public authority,2018-10-12,,permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"Land adj Exeter St Davids Station, Bonhay Road/Cowley Bridge Road",yes,,,,2.2,,,"Site assessed as suitable, available and achievable for mixed use development including residential in the Revised 2015 SHLAA.",,not owned by a public authority,,,not permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
Nos. 36-37 Well Street,yes,,,,0.09,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA.",,not owned by a public authority,,,not permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"Exmouth Junction, Prince Charles Road",yes,,,,6.7,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA. Planning application submitted.",,not owned by a public authority,,,not permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"Land adj Exeter Arms Hotel, Rydon Lane",yes,,,,0.23,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA. Lapsed consent for 14 apartments.",,not owned by a public authority,,,not permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"DOA & Exeter Mobility Centre, Wonford Road",yes,,,,0.8,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA.",,owned by a public authority,,,not permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"Honeylands Hospital, Pinhoe Road",yes,,,,0.68,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA. Planning application submitted.",,not owned by a public authority,,,not permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"Mary Arches Surface Car Park, Mary Arches Street",yes,,,,0.2,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA.",,owned by a public authority,,,not permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"Bendene Hotel, 15-16 Richmond Road",yes,,,,0.05,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA. Conversion/change of use only.",,not owned by a public authority,,,not permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
"Pyramids Leisure Centre, Heavitree Road",yes,,,,0.22,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA.",,owned by a public authority,,,not permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
Nos. 91-97 Wonford Street,yes,,,,0.08,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA.",,owned by a public authority,,,not permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
Corner of Summerland St & Red Lion Lane,yes,,,,0.05,,,Lapsed consent for redevelopment to provide five storey building with 28 flats and retail/restaurant unit at ground floor and associated works,,owned by a public authority,,,not permissioned,,,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
