site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Block A,B,D,F (Site 1), Islington Square, 116 Upper Street (Former North London Mail Centre)",yes,,2017-11-24,,1.38,185,185,"Site plan is available on Islington interactive mapping website. Specific site is identifiable via SiteReference and SiteNameAddress attribute data.. Partial demolition, alteration, extension and change of use of buildings A,B,D F, and associated outbuildings and structures, to provide a mixed use scheme comprising residential (C3), with the creati",local-authority-eng:ISL,,2007-07-06,http://planning.islington.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=PlanningApplicationsOn-Line&TYPE=PL/PlanningPK.xml&PARAM0=293715&XSLT=/Northgate/PlanningExplorer/SiteFiles/Ski,permissioned,full planning permission,,P052245,https://data.london.gov.uk/dataset/brownfield-land-register,2017-11-24,brownfield-land/local-authority-eng/ISL/P052245
"City North Islington Trading Estate, Fonthill Road",yes,,2017-11-24,,0.87,355,355,Site plan is available on Islington interactive mapping website. Specific site is identifiable via SiteReference and SiteNameAddress attribute data.. Demolition of existing buildings and the construction of a mixed use development comprising two 21 storey buildings above ground and first floor plinth; 10 storey building above ground and first floor,local-authority-eng:ISL,,2010-11-19,http://planning.islington.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=PlanningApplicationsOn-Line&TYPE=PL/PlanningPK.xml&PARAM0=309747&XSLT=/Northgate/PlanningExplorer/SiteFiles/Ski,permissioned,full planning permission,,P092492,https://data.london.gov.uk/dataset/brownfield-land-register,2017-11-24,brownfield-land/local-authority-eng/ISL/P092492
"City Forum, 250 City Road",yes,,2017-11-24,,2,930,930,Site plan is available on Islington interactive mapping website. Specific site is identifiable via SiteReference and SiteNameAddress attribute data.. Hybrid planning application for demolition of existing buildings and comprehensive redevelopment comprising full planning permission for all elements (other than Block 9 submitted in outline with appe,local-authority-eng:ISL,,2014-08-26,http://planning.islington.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=Planning%20Applications%20On-Line&TYPE=PL/PlanningPK.xml&PARAM0=337943&XSLT=/Northgate/PlanningExplorer/SiteFiles,permissioned,other,,P2013/1089/FUL,https://data.london.gov.uk/dataset/brownfield-land-register,2017-11-24,brownfield-land/local-authority-eng/ISL/P2013-1089-FUL
"Unit 6, Lough Road West Development, 2 Cottage Road",yes,,2017-11-24,,0.05,5,5,Site plan is available on Islington interactive mapping website. Specific site is identifiable via SiteReference and SiteNameAddress attribute data.. Change of use from consented office floorspace (B1a use class) to residential use (C3 use class) comprised of 5 residential units.,local-authority-eng:ISL,,2013-09-04,http://planning.islington.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=PlanningApplicationsOn-Line&TYPE=PL/PlanningPK.xml&PARAM0=349748&XSLT=/Northgate/PlanningExplorer/SiteFiles/Ski,permissioned,full planning permission,,P2013/2572/PRA,https://data.london.gov.uk/dataset/brownfield-land-register,2017-11-24,brownfield-land/local-authority-eng/ISL/P2013-2572-PRA
"130-154, 154A Pentonville Road (3-5 & 5A,Cynthia Street & 2, Rodney Street)",yes,,2017-11-24,,0.34,117,117,"Site plan is available on Islington interactive mapping website. Specific site is identifiable via SiteReference and SiteNameAddress attribute data.. Comprehensive redevelopment of the site including demolition of existing residential unit. Construction of mixed use development consisting of 118 residential units (C3 use class), along with associat",local-authority-eng:ISL,,2014-12-12,http://planning.islington.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=PlanningApplicationsOn-Line&TYPE=PL/PlanningPK.xml&PARAM0=385515&XSLT=/Northgate/PlanningExplorer/SiteFiles/Ski,permissioned,full planning permission,,P2014/1017/FUL,https://data.london.gov.uk/dataset/brownfield-land-register,2017-11-24,brownfield-land/local-authority-eng/ISL/P2014-1017-FUL
"Arena House, 66-68 Pentonville Road",yes,,2017-11-24,,0.06,9,9,"Site plan is available on Islington interactive mapping website. Specific site is identifiable via SiteReference and SiteNameAddress attribute data.. Erection of a seven storey building with basement to provide 9 residential units and other non housing development, together with front landscaping and ancillary refuse and bicycle storage.",local-authority-eng:ISL,,2014-11-06,http://planning.islington.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=PlanningApplicationsOn-Line&TYPE=PL/PlanningPK.xml&PARAM0=401801&XSLT=/Northgate/PlanningExplorer/SiteFiles/Ski,permissioned,full planning permission,,P2014/3020/FUL,https://data.london.gov.uk/dataset/brownfield-land-register,2017-11-24,brownfield-land/local-authority-eng/ISL/P2014-3020-FUL
8-9 Tilney Court,yes,,2017-11-24,,0.01,4,4,"Site plan is available on Islington interactive mapping website. Specific site is identifiable via SiteReference and SiteNameAddress attribute data.. Erection of a five storey side extension to existing dwelling, roof extension and lower ground floor basement level to create 4 two-bedroom flats and 1 one-bedroom flat (gross).",local-authority-eng:ISL,,2015-01-20,http://planning.islington.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=PlanningApplicationsOn-Line&TYPE=PL/PlanningPK.xml&PARAM0=385155&XSLT=/Northgate/PlanningExplorer/SiteFiles/Ski,permissioned,full planning permission,,P2014/0954/FUL,https://data.london.gov.uk/dataset/brownfield-land-register,2017-11-24,brownfield-land/local-authority-eng/ISL/P2014-0954-FUL
"Ada Lewis House, 1 Dalmeny Avenue",yes,,2017-11-24,,0.23,45,45,"Site plan is available on Islington interactive mapping website. Specific site is identifiable via SiteReference and SiteNameAddress attribute data.. Demolition of existing hostel building on the site and the construction of part 5, part 6 storey residential building providing 45 residential dwellings. Associated landscaping, hardstanding and acces",local-authority-eng:ISL,,2014-10-01,http://planning.islington.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=PlanningApplicationsOn-Line&TYPE=PL/PlanningPK.xml&PARAM0=343703&XSLT=/Northgate/PlanningExplorer/SiteFiles/Ski,permissioned,full planning permission,,P2013/1564/FUL,https://data.london.gov.uk/dataset/brownfield-land-register,2017-11-24,brownfield-land/local-authority-eng/ISL/P2013-1564-FUL
"Calthorpe St development, Land north west of the Royal Mail Sorting Office, Farringdon Road",yes,,2017-11-24,,2.27,336,336,"Site plan is available on Islington interactive mapping website. Specific site is identifiable via SiteReference and SiteNameAddress attribute data.. Comprehensive redevelopment of the site following the demolition of existing buildings & structures to construct six new buildings ranging from 3 to 12 storeys in height to provide 38,015sqm (GIA) of",local-authority-eng:ISL,,2015-03-30,http://planning.islington.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=PlanningApplicationsOn-Line&TYPE=PL/PlanningPK.xml&PARAM0=343009&XSLT=/Northgate/PlanningExplorer/SiteFiles/Ski,permissioned,full planning permission,,P2013/1423/FUL,https://data.london.gov.uk/dataset/brownfield-land-register,2017-11-24,brownfield-land/local-authority-eng/ISL/P2013-1423-FUL
37-47 Wharf Road,yes,,2017-11-24,,0.47,99,99,"Site plan is available on Islington interactive mapping website. Specific site is identifiable via SiteReference and SiteNameAddress attribute data.. Demolition of existing buildings and residential redevelopment of the site to provide 99 dwellings (19x 1-bedroom, 50x 2-bedroom, 24x 3-bedroom and 6x 4-bedroom units) in a part 2-, part 8-storey buil",local-authority-eng:ISL,,2015-03-25,http://planning.islington.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=PlanningApplicationsOn-Line&TYPE=PL/PlanningPK.xml&PARAM0=394715&XSLT=/Northgate/PlanningExplorer/SiteFiles/Ski,permissioned,full planning permission,,P2014/2131/FUL,https://data.london.gov.uk/dataset/brownfield-land-register,2017-11-24,brownfield-land/local-authority-eng/ISL/P2014-2131-FUL
