name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
19/31675/POR,"69-72 Foregate Street, Stafford",yes,,2020-09-04,,0.13,27,27,Prior approval - change of use from offices to residential (27 apartments),local-authority-eng:STF,not owned by a public authority,2015-02-23,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,19/31675/POR,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,/brownfield-land/local-authority-eng/STF/19-31675-POR
18/28423/OUT,"Areva Fairway, Stafford",yes,,2020-09-04,,22.7,430,430,"Approval of reserved matters for residential development consisting of 194 dwellings, public open space, access, parking and landscaping",local-authority-eng:TAW,not owned by a public authority,2015-12-02,http://www.staffordbc.gov.uk/planning-public-access,permissioned,reserved matters approval,,18/28423/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,/brownfield-land/local-authority-eng/TAW/18-28423-OUT
18/28018/FUL,"Land at Elms Business Centre, Main Road, Great Haywood",yes,,2020-09-04,,0.33,6,6,RESIDENTIAL DEVLEOPMENT (SIX UNITS) AT REAR OF ELMS BUSINESS CENTRE/ELMS LODGE/ELMS FARMHOUSE INCLUDING DEMOLITION OF ASBESTOS CLAD COMMERCIAL UNIT - RESUBMISSION OF 14/21329/FUL TO INCLUDE ACCESS ROUTE WITHIN RED EDGE,local-authority-eng:FOR,not owned by a public authority,2015-03-31,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,18/28018/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,/brownfield-land/local-authority-eng/FOR/18-28018-FUL
15/23140/FUL,"Land at Elms Business Centre Phase 2, Main Road, Great Haywood",yes,,2020-09-04,,0.2,10,10,Demolish existing commercial units and change of use of existing 2 storey to create 2 two-bedroom units and build an additional attached block of 4 one-bedroom units and 4 two-bedroom units (total number 10 units),local-authority-eng:BAB,not owned by a public authority,2016-08-24,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,15/23140/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,/brownfield-land/local-authority-eng/BAB/15-23140-FUL
18/29526/OUT,"Land at Former Carers Centre, Austin Friars, Stafford",yes,,2020-09-04,,0.08,8,8,"Eight apartments, access, drying area, parking and associated works",local-authority-eng:IPS,not owned by a public authority,2015-10-27,http://www.staffordbc.gov.uk/planning-public-access,permissioned,outline planning permission,,18/29526/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,/brownfield-land/local-authority-eng/IPS/18-29526-OUT
15/22060/FUL,"Land at George Street Press and Car Park, Fancy Walk, Stafford",yes,,2020-09-04,,0.18,20,20,Conversion of Mill building to create twenty two-bedroom apartments with associated car parking,local-authority-eng:MSU,mixed ownership,2016-04-11,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,15/22060/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2017-11-15,/brownfield-land/local-authority-eng/MSU/15-22060-FUL
16/23671/FUL,"St Johnís Church, Stone",yes,,2020-09-04,,0.16,9,9,Conversion of Church and erection of rear two-storey extension (following demolition of existing single-storey extension) to provide five residential units and the erection of a 2.5 storey building fronting The Avenue to provide four apartments on the former Church car park,local-authority-eng:EPS,not owned by a public authority,,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,16/23671/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,/brownfield-land/local-authority-eng/EPS/16-23671-FUL
17/25523/OUT,"Truview, 12 Sandon Road, Stafford",yes,,2020-09-04,,0.13,11,11,Construct up to 11 apartments (outline),local-authority-eng:GRT,not owned by a public authority,2017-08-22,http://www.staffordbc.gov.uk/planning-public-access,permissioned,outline planning permission,,17/25523/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,/brownfield-land/local-authority-eng/GRT/17-25523-OUT
17/26358/FUL,"The Halsteads, Milwich",yes,,2020-09-04,,0.89,0,0,"Part-demolition of existing dwelling, construction of replacement dwelling, construction of detached carport and reorientation of residential curtilage",local-authority-eng:MOL,not owned by a public authority,2017-10-03,http://www.staffordbc.gov.uk/planning-public-access,permissioned,full planning permission,,17/26358/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,/brownfield-land/local-authority-eng/MOL/17-26358-FUL
17/26235/OUT,"43 Eccleshall Road, Stafford",yes,,2020-09-04,,0.05,6,6,Demolition of existing buildings; construct building to accommodate 7 apartments.,local-authority-eng:RUN,not owned by a public authority,2017-11-15,http://www.staffordbc.gov.uk/planning-public-access,permissioned,outline planning permission,,17/26235/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,2019-10-15,/brownfield-land/local-authority-eng/RUN/17-26235-OUT
