site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
,,,2016-06-22,,15.85,186,186,Entire site lies within flood zone 2 and 3 and is an area benefiting from flood defences. Possible ground contamination from existing factory.,local-authority-eng:SEL,not owned by a public authority,,,Not Permissioned,,POINT(-1.040907 53.793074),Barlby-1,,2016-06-22,brownfield-land/local-authority-eng/SEL/Barlby-1
,,,2016-06-22,,1.6,43,43,The northern to the southern boundary on the western side of the site lies within flood zone 2. Electricity Pylons cross the site.,local-authority-eng:SEL,not owned by a public authority,,,Not Permissioned,,POINT(-1.274013 53.729223),Brotherton-2,,2016-06-22,brownfield-land/local-authority-eng/SEL/Brotherton-2
,,,2016-06-22,,0.36,13,13,,local-authority-eng:SEL,not owned by a public authority,,,permissioned,,POINT(-1.270288 53.726351),Brotherton-8,,2016-06-22,brownfield-land/local-authority-eng/SEL/Brotherton-8
,,,2016-06-22,,0.13,5,5,,local-authority-eng:SEL,owned by a public authority,,,permissioned,,POINT(-1.258062 53.722618),Byram-7,,2016-06-22,brownfield-land/local-authority-eng/SEL/Byram-7
,,,2016-06-29,,0.13,5,5,,local-authority-eng:SEL,owned by a public authority,,,Not Permissioned,,POINT(-1.263231 53.725184),Byram-8,,2016-06-29,brownfield-land/local-authority-eng/SEL/Byram-8
,,,2016-06-22,,0.16,7,7,Whole site is in a groundwater protection zone 3,local-authority-eng:SEL,not owned by a public authority,,,permissioned,,POINT(-1.020798 53.709346),Carlton-6,,2016-06-22,brownfield-land/local-authority-eng/SEL/Carlton-6
,,,2016-06-22,,0.09,5,5,,local-authority-eng:SEL,not owned by a public authority,,,permissioned,,POINT(-1.131386 53.83262),Cawood-9,,2016-06-22,brownfield-land/local-authority-eng/SEL/Cawood-9
,,,2016-06-22,,0.17,5,5,,local-authority-eng:SEL,owned by a public authority,,,permissioned,,POINT(-1.155959 53.706159),Eggborough-21,,2016-06-22,brownfield-land/local-authority-eng/SEL/Eggborough-21
,,,2016-06-29,,0.14,5,5,,local-authority-eng:SEL,owned by a public authority,,,permissioned,,POINT(-1.156134 53.704938),Eggborough-9,,2016-06-29,brownfield-land/local-authority-eng/SEL/Eggborough-9
,,,2016-06-22,,0.28,5,5,Possible ground contamination from farm buildings on the eastern half of the site.,local-authority-eng:SEL,not owned by a public authority,,,permissioned,,POINT(-1.16197 53.771115),Hambleton-8,,2016-06-22,brownfield-land/local-authority-eng/SEL/Hambleton-8
,,,2016-06-22,,0.38,15,15,Entire site lies within flood zone 2 and is an area benefiting from flood defences.,local-authority-eng:SEL,not owned by a public authority,,,Not Permissioned,,POINT(-1.080443 53.774769),Selby-10,,2016-06-22,brownfield-land/local-authority-eng/SEL/Selby-10
