site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Glendaragh, Barn Park Road, Teignmouth TQ14 8PN",yes,,2018-12-21,,0.26,15,15,Part of this site was started in 2002,local-authority-eng:TEI,not owned by a public authority,2001-10-26,,permissioned,full planning permission,POINT(-6.81015 52.448501),BFR001,,2017-11-01
"Rosemary Avenue, Newton Abbot TQ12 1SB",yes,,2018-12-21,,0.12,6,6,Groundworks commenced keeping this live,local-authority-eng:TEI,not owned by a public authority,2006-03-22,,permissioned,full planning permission,POINT(-6.82344 52.36297),BFR002,,2017-11-01
"Platway House, Torquay Road, Shaldon TQ14 0AU",yes,,2018-12-21,,0.47,9,9,started,local-authority-eng:TEI,not owned by a public authority,2008-07-01,,permissioned,full planning permission,POINT(-6.825044 52.435772),BFR003,,2017-11-01
"Shapters Yard, Strand Hill, Dawlish EX7 9PS",yes,,2018-12-21,,0.04,9,9,completed,local-authority-eng:TEI,not owned by a public authority,2012-07-31,,permissioned,full planning permission,POINT(-6.760701 52.468151),BFR004,,2017-11-01
"Former Wolborough Hospital, Old Totnes Road, Newton Abbot TQ12 6AA",yes,,2018-12-21,,1.14,15,13,started,local-authority-eng:TEI,not owned by a public authority,2013-01-21,,permissioned,full planning permission,POINT(-6.845919 52.365161),BFR005,,2017-11-01
"Holcombe Hall, Holcombe Drive, Dawlish EX7 0JW",yes,,2018-12-21,,0.73,7,7,completed,local-authority-eng:TEI,not owned by a public authority,2014-10-10,,permissioned,full planning permission,POINT(-6.789523 52.461955),BFR006,,2017-11-01
"14 Barton Villas, Dawlish EX7 9QJ",yes,,2018-12-21,,0.04,5,5,started,local-authority-eng:TEI,not owned by a public authority,2014-10-10,,permissioned,full planning permission,POINT(-6.762446 52.461809),BFR007,,2017-11-01
"22 - 26 Wolborough Street, Newton Abbot TQ12 1JJ",yes,,2018-12-21,,0.18,38,38,started,local-authority-eng:TEI,not owned by a public authority,2014-10-10,,permissioned,full planning permission,POINT(-6.832215 52.370763),BFR008,,2017-11-01
"Clay Lane, Teignmouth TQ14 8FW",yes,,2018-12-21,,0.08,21,21,2 phase scheme part 1 completed in 2009 - this phase started,local-authority-eng:TEI,not owned by a public authority,2014-10-09,,permissioned,full planning permission,POINT(-6.813612 52.443384),BFR009,,2017-11-01
"land at Ilford Park, Stover, Newton Abbot TQ12 6PW",yes,,2018-12-21,,26.45,23,23,,local-authority-eng:TEI,not owned by a public authority,2016-06-01,,permissioned,full planning permission,POINT(-6.777522 52.34597),BFR010,,2017-11-01
