name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
EM1,FORMER VICTORIA COTTAGE HOSPITAL EMSWORTH,,,2019-02-01,,0.16,15,15,,local-authority-eng:HAA,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_49953_1,not permissioned,,POINT(-0.937172 50.848175),EM1,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,/brownfield-land/local-authority-eng/HAA/EM1
EM2,"GAS SITE , PALMERS ROAD",,,2019-02-01,,0.46,15,15,,local-authority-eng:HAA,not owned by a public authority,,,not permissioned,,POINT(-0.935874 50.849665),EM2,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,/brownfield-land/local-authority-eng/HAA/EM2
TC1,HAVANT TOWN CENTRE HAVANT,,,2017-12-08,,40.66,750,750,,local-authority-eng:HAA,mixed ownership,,,not permissioned,,POINT(-0.982463 50.854451),TC1,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,/brownfield-land/local-authority-eng/HAA/TC1
HB2,PORTSMOUTH WATER HQ HAVANT,yes,,2019-02-01,,3.17,120,120,,local-authority-eng:HAA,not owned by a public authority,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2468_1,not permissioned,,POINT(-0.989849 50.852572),HB2,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,/brownfield-land/local-authority-eng/HAA/HB2
HB3,LAND AT PALK ROAD HAVANT,,,2019-02-01,,0.53,21,21,,local-authority-eng:HAA,not owned by a public authority,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2499_1,not permissioned,,POINT(-0.996923 50.853254),HB3,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,/brownfield-land/local-authority-eng/HAA/HB3
HB8,HAVANT GARDEN CENTRE,yes,,2019-02-01,,,,,,local-authority-eng:HAA,not owned by a public authority,,,not permissioned,,,HB8,,2019-02-01,/brownfield-land/local-authority-eng/HAA/HB8
HB12,HELMSLEY HOUSE,yes,,2021-01-29,,,,,,local-authority-eng:HAA,not owned by a public authority,,,,,,HB12,,,/brownfield-land/local-authority-eng/HAA/HB12
HB70,LAND AT FORMER OAK PARK SCHOOL HAVANT,yes,,2017-12-08,,2.26,99,99,"HAVANT HEALTH AND WELLBEING CAMPUS, COMPRISING AN 80 BED NURSING HOME, 51 AFFORDABLE EXTRA CARE FLATS, 48 AFFORDABLE AND MARKET SUPPORTED LIVING FLATS & COMMUNITY HUB FACILITIES",local-authority-eng:HAA,,2015-12-18,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2054_4,permissioned,full planning permission,POINT(-0.976994 50.85898),HB70,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,/brownfield-land/local-authority-eng/HAA/HB70
HB14,HAVANT AND SOUTH DOWNS COLLEGE (HAVANT CAMPUS),,,2021-01-29,,,,,,local-authority-eng:HAA,not owned by a public authority,,,,,,HB14,,,/brownfield-land/local-authority-eng/HAA/HB14
HY2,"PULLINGERS, ELM GROVE",yes,,2017-12-08,,0.16,14,14,,local-authority-eng:HAA,not owned by a public authority,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_58296_1,not permissioned,,POINT(-0.976065 50.79238),HY2,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,/brownfield-land/local-authority-eng/HAA/HY2
HY17,BEACHLANDS HAYLING ISLAND,,,2017-12-08,,1.92,125,125,,local-authority-eng:HAA,mixed ownership,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_1478_1,not permissioned,,POINT(-0.988232 50.784762),HY17,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,/brownfield-land/local-authority-eng/HAA/HY17
