site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
High Street RFC Club Bream,yes,,2020-02-05,,0.93,25,14,permission has been given for the redevelopment of rugby club and hard standing to provide for its relocation and additional 14 dwellings. Remainder of site is suitable for redevelopment and possibly some element of conversion. Lower part of site currently has a pending application still suitable for residential,,not owned by a public authority,2014-10-06,https://publicaccess.fdean.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,outline planning permission,POINT(-2.577917 51.74896),1,https://maps.fdean.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora1&scale=1024,2017-10-31,
Tramway Road Ruspidge,,,2020-02-05,,0.86,30,20,"part former pithead baths and part under used employment site, all considered suitable for redevelopment for a variety of accommodation. 2019 Update- Outline permission for 20 dwellings submitted on part of site but withdrawn due to ecology issues. Still suitable for residential use",,not owned by a public authority,,https://publicaccess.fdean.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,not permissioned,,POINT(-2.508726 51.800046),11,https://maps.fdean.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora10&scale=1024,2017-10-31,
Newland Street Coleford,yes,,2020-02-05,,0.02,8,8,permission for new apartments . 2019 update- no movement since 2016 permission. Still suitable for residenital- remain,,not owned by a public authority,2016-07-22,https://publicaccess.fdean.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-2.618456 51.792905),13,https://maps.fdean.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora12&scale=1024,2017-10-31,
Five Acres campus Berry Hill surplus land,yes,,2020-02-05,,0.98,80,40,land to become available following the relocation of the present further education college as part of a mixed scheme. Identified in Allocations Plan as an opportunity for mixed development. May be developed on site of former college or part thereof. Site area of total brownfield element is approximately 2.6ha though not all may be available for redevelopment- available area between 0.98 ha and 2.6ha. 2019 update- FoDDC now to purchase site and determine use which may include an element of residential as current allocation.,,owned by a public authority,,,not permissioned,,POINT(-2.607103 51.810552),16,https://maps.fdean.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora15&scale=1024,2017-10-31,
Drybrook Road Drybrook,yes,,2020-02-05,,0.79,12,7,"parts of site have permission although there may be some limited additional potential, likely to be developed for 7 dwellings. 2019 update- two new permissions on site- 4 dwellings at top and 1 at the bottom. Centre still has no permission. Entry may need to be reduced in size once these dwellings are completed.",,not owned by a public authority,,https://publicaccess.fdean.gov.uk/online-applications/simpleSearchResults.do?action=firstPagehttps://publicaccess.fdean.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,outline planning permission,POINT(-2.517405 51.850007),17,https://maps.fdean.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora16&scale=1024,2017-10-31,
Adj Northumberland House Longhope,yes,,2020-02-05,,0.15,5,5,small haulage depot in area of residential/ mixed development has potential for redevelopment- within Conservation Area. 2019 update- still no additional permissions. Suitable for housing development,,not owned by a public authority,,,not permissioned,,POINT(-2.4535 51.867999),18,https://maps.fdean.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora17&scale=1024,2017-10-31,
Longhope Industrial Estate Longhope,,,2020-02-05,,0.66,10,6,mixed employment site allocated in plan to include a residential element. 2019 remains suitable for housing in future,,not owned by a public authority,,,not permissioned,,POINT(-2.455541 51.869121),19,https://maps.fdean.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora18&scale=1024,2017-10-31,
Former Rothdean Main Road Lydbrook,yes,,2020-02-05,,1.58,45,30,includes site granted permission but lapsed for new dwellings on former employment site and with current application. Adjoining land of same ownership/ character included in register.,,not owned by a public authority,,,not permissioned,,POINT(-2.586174 51.844294),20,https://maps.fdean.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora19&scale=2048,2017-10-31,
Steam Mills Rd Northern Quarter Cinderford,yes,,2020-02-05,,6.8,195,150,site owned by FoDDC- allocated in AAP and suitable for housing with a current outline approval for up to 195 dwellings part of hybrid scheme with mixed use development and associated infrastructure. Some delivery possible within five years. 2019 Update- College completed and occupied. Requires change of planning condition for access from now completed Spine Rd and for entire site to be developed a further section of Spine Rd needed.,,owned by a public authority,2014-11-14,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N4FS82HI01000,permissioned,outline planning permission,POINT(-2.515198 51.837888),3,https://maps.fdean.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora2&scale=2048,2017-10-31,
Stowfield Works Lydbrook,,,2020-02-05,,7.75,45,25,element of much larger site which is identified for mixed development degree of housing is flexible within terms of the policy. 2019 update- still has some commercial use but a lot of site is unused. No recent permissions. Still suitable for housing,,not owned by a public authority,,,not permissioned,,POINT(-2.600596 51.85448),21,https://maps.fdean.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora20&scale=2048,2017-10-31,
