site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Part of Barnsbury Site 2, Hawthorn Road, Woking, GU22 0BN",,,2020-12-09,,0.31,8,8,,local-authority-eng:WOI,owned by a public authority,,,not permissioned,,POINT(-0.566 51.305),BLR2019001,http://www.woking2027.info/ldfregisters,2018-12-20,brownfield-land/local-authority-eng/WOI/BLR2019001
"101-107 Chertsey Road, Woking, GU21 5BW",yes,,2020-12-09,,0.1,22,22,Amended version of pre-existing site. Yield from PLAN/2019/1156,local-authority-eng:WOI,not owned by a public authority,2020-01-21,,permissioned,full planning permission,POINT(-0.554 51.322),BLR2019002,http://www.woking2027.info/ldfregisters,2020-12-09,brownfield-land/local-authority-eng/WOI/BLR2019002
"The Crescent, Heathside Crescent, Woking, GU22 7AG",,2020-12-10,2020-12-10,,0.06,,,Incorporated into BLR2020004,local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.557 51.317),BLR2019003,http://www.woking2027.info/ldfregisters,2018-12-20,brownfield-land/local-authority-eng/WOI/BLR2019003
"Station Plaza, Station Approach, Woking",,,2020-12-09,,0.38,200,200,Maximum yield is from the HIF bid.,local-authority-eng:WOI,owned by a public authority,,,not permissioned,,POINT(-0.557 51.318),BLR2019004,http://www.woking2027.info/ldfregisters,2019-12-19,brownfield-land/local-authority-eng/WOI/BLR2019004
"The Triangle, 11-15 Guildford Road, Southern House, Jubilee House, Lynton House, Station Approach, GU55 7PX",,,2020-12-10,,0.52,300,90,Office use also required. Minimum yield is based on SHLAA 2017. Maximum yield is from the HIF bid. PLAN/2020/0681: Erection of hoarding to enclose site.,local-authority-eng:WOI,owned by a public authority,2020-09-09,,permissioned,full planning permission,POINT(-0.559 51.316),BLR2020001,http://www.woking2027.info/ldfregisters,2020-12-10,brownfield-land/local-authority-eng/WOI/BLR2020001
"Griffin House, West Street, Woking, GU21 6BS and Concorde House, 165 Church Street East, Woking GU21 GHJ",,,2020-12-10,,0.19,200,200,"Maximum yield is from the HIF bid. Office use (net 1,800 sq.m) also required.",local-authority-eng:WOI,mixed ownership,,,not permissioned,,POINT(-0.558 51.321),BLR2020002,http://www.woking2027.info/ldfregisters,2020-12-10,brownfield-land/local-authority-eng/WOI/BLR2020002
"Church Gate and Premier House, 9-11 and 15-19 Church Street West, GU21 6DJ",yes,,2020-12-10,,0.37,180,77,"Minimum yield is from extant permissions (38 at Premier House, PLAN/2020/0020 and PLAN/2018/0918; 39 at Church Gate, PLAN/2019/1090 and PLAN/2018/0741). Maximum yield is from HIF bid.",local-authority-eng:WOI,not owned by a public authority,2020-03-20,,permissioned,full planning permission,POINT(-0.564 51.318),BLR2020003,http://www.woking2027.info/ldfregisters,2020-12-10,brownfield-land/local-authority-eng/WOI/BLR2020003
"St Dunstans Phase 3, The Crescent and Somerset House, Oriental Road, GU22 7AA",yes,,2020-12-10,,0.26,150,20,Minimum yield is from the draft Site Allocations DPD. Maximum yield is from the HIF bid. Office floorspace also required.,local-authority-eng:WOI,not owned by a public authority,,,not permissioned,,POINT(-0.557 51.317),BLR2020004,http://www.woking2027.info/ldfregisters,2020-12-10,brownfield-land/local-authority-eng/WOI/BLR2020004
"Goldsworth Road, GU21 6JT",yes,,2020-12-10,,1.51,1205,180,"Minimum yield from draft Site Allocations DPD. Maximum yield from HIF bid. Office (re-provision of existing floorspace at UA9, net 1,500 sq.m at UA13 and net 900 sq.m at UA12), retail and community uses also required.",local-authority-eng:WOI,not owned by a public authority,,,pending decision,,POINT(-0.562 51.317),BLR2020005,http://www.woking2027.info/ldfregisters,2020-12-10,brownfield-land/local-authority-eng/WOI/BLR2020005
"Station Car Park, Car Park East, Oriental Road, Woking, GU22 7QE",yes,,2020-12-10,,1.79,400,250,Open space also required. Minimum yield from draft Site Allocations DPD. Maximum yield from HIF.,local-authority-eng:WOI,owned by a public authority,,,not permissioned,,POINT(-0.552 51.32),BLR2020006,http://www.woking2027.info/ldfregisters,2020-12-10,brownfield-land/local-authority-eng/WOI/BLR2020006
New Central Extension (Coal Yard/Aggregates Yard) adjacent to the Railway Line,yes,,2020-12-10,,1.72,400,100,Minimum yield from draft Site Allocations DPD. Maximum yield from HIF bid.,local-authority-eng:WOI,mixed ownership,,,not permissioned,,POINT(-0.562 51.316),BLR2020007,http://www.woking2027.info/ldfregisters,2020-12-10,brownfield-land/local-authority-eng/WOI/BLR2020007
"Police Station and Coroners Court, Station Approach, GU22 7YL",,,2020-12-10,,1.1,600,600,Maximum yield from HIF bid,local-authority-eng:WOI,owned by a public authority,,,not permissioned,,POINT(-0.558 51.316),BLR2020008,http://www.woking2027.info/ldfregisters,2020-12-10,brownfield-land/local-authority-eng/WOI/BLR2020008
"Poole Road, GU21 6EE",,,2020-12-10,,0.2,120,120,Maximum yield from HIF bid. Planning permission granted for energy centre,local-authority-eng:WOI,owned by a public authority,,,permissioned,,POINT(-0.564 51.317),BLR2020009,http://www.woking2027.info/ldfregisters,2020-12-10,brownfield-land/local-authority-eng/WOI/BLR2020009
"The Eastern and Oriental, 53 Westfield Road, Westfield, GU22 9NQ",yes,,2020-12-10,,0.1,6,6,Yield from PLAN/2019/0968,local-authority-eng:WOI,not owned by a public authority,2020-03-19,,permissioned,full planning permission,POINT(-0.561 51.299),BLR2020010,http://www.woking2027.info/ldfregisters,2020-12-10,brownfield-land/local-authority-eng/WOI/BLR2020010
