site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Sandhill Park, Bishops Lydeard",,,2017-12-31,,57.24,28,28,Residential development of 54 units,local-authority-eng:TAU,not owned by a public authority,2013-08-01,,permissioned,full planning permission,POINT(-3.205686 51.062229),06/08/0010,https://www.tauntondeane.gov.uk/media/2057/sandhill-park-mansion-sandhill-park-bishops-lydeard-06080010.pdf,2017-12-31
"Sandhill Park Mansion, Sandhill Park, Bishops Lydeard",,,2017-12-31,,13.29,8,8,Conversion of barn and stable courtyard into 8 no dwellings,local-authority-eng:TAU,not owned by a public authority,2016-04-22,,permissioned,full planning permission,POINT(-3.001253 51.064456),06/15/0019,https://www.tauntondeane.gov.uk/media/2056/sandhill-park-mansion-sandhill-park-06150019.pdf,2017-12-31
"Langford Mead, Norton Fitzwarren, TA2",,,2017-12-31,,6.77,227,227,"Mixed use development inc. up to 407 dwellings, idustrial units on 2.78ha",local-authority-eng:TAU,not owned by a public authority,2013-04-11,,permissioned,outline planning permission,POINT(-3.138134 51.027494),25/12/0032oa,https://www.tauntondeane.gov.uk/media/2047/langford-mead-norton-fitzwarren-25120032.pdf,2017-12-31
"Langford Mead, Norton Fitzwarren, TA2",,,2017-12-31,,1.93,86,86,Residential development phase H6 Phase 2,local-authority-eng:TAU,not owned by a public authority,2013-08-06,,permissioned,reserved matters approval,POINT(-3.139018 51.028645),25/13/0014,https://www.tauntondeane.gov.uk/media/2046/langford-mead-norton-fitzwarren-23130014.pdf,2017-12-31
"Little Acre, Station Road, Norton Fitzwarren, TA2 6RG",,,2017-12-31,,0.14,6,6,Erection of 6 dwellings,local-authority-eng:TAU,not owned by a public authority,2013-12-13,,permissioned,outline planning permission,POINT(-3.149987 51.023592),25/12/0017oa,https://www.tauntondeane.gov.uk/media/2048/little-acre-station-road-norton-fitzwarren.pdf,2017-12-31
"57-59 Staplegrove Road, Taunton, TA1 1DG",,,2017-12-31,,0.16,14,14,Conversion of guesthouse to 14 two bedroom flats,local-authority-eng:TAU,not owned by a public authority,2005-12-21,,permissioned,full planning permission,POINT(-3.109253 51.019507),38/05/0430,https://www.tauntondeane.gov.uk/media/2176/57-59-staplegrove-road-taunton.pdf,2017-12-31
"Rear 12-13 East Reach, Taunton, TA1 3EW",,,2017-12-31,,0.05,10,10,Erection of block of 8 flats and block of 2 flats,local-authority-eng:TAU,not owned by a public authority,2016-10-14,,permissioned,full planning permission,POINT(-3.095512 51.015419),38/12/0164,https://www.tauntondeane.gov.uk/media/2118/rear-12-13-east-reach-taunton.pdf,2017-12-31
"Areas A, B, C and D, Firepool Lock, Taunton, TA1",,,2017-12-31,,2.4,204,204,Redevelopment to provide 204 dwellings,local-authority-eng:TAU,not owned by a public authority,2012-01-20,,permissioned,reserved matters approval,POINT(-3.099226 51.022345),38/11/0596,https://www.tauntondeane.gov.uk/media/2119/areas-a-b-c-and-d-firepool-lock-taunton.pdf,2017-12-31
"Area I, Firepool Lock, Taunton, TA1",,,2017-12-31,,0.24,44,44,Redevelopment for up to 44 dwellings,local-authority-eng:TAU,not owned by a public authority,2015-04-30,,permissioned,outline planning permission,POINT(-3.098772 51.022457),38/13/0477oa,https://www.tauntondeane.gov.uk/media/2120/area-i-firepool-lock-taunton.pdf,2017-12-31
"Area H, Firepool Lock, Taunton, TA1",,,2017-12-31,,0.63,55,55,Erection of 55 apartments (inc. 45 retirement),local-authority-eng:TAU,not owned by a public authority,2016-03-02,,permissioned,reserved matters approval,POINT(-3.098887 51.022501),38/15/0506,https://www.tauntondeane.gov.uk/media/2121/area-h-firepool-lock-taunton.pdf,2017-12-31
"Area F, Firepool Lock, Taunton, TA1",,,2017-12-31,,0.3,24,24,Erection of 19 affordable flats and 5 affordable houses,local-authority-eng:TAU,not owned by a public authority,2016-06-30,,permissioned,full planning permission,POINT(-3.092779 51.022873),38/14/0076,https://www.tauntondeane.gov.uk/media/2122/area-f-firepool-lock-taunton.pdf,2017-12-31
"Kings College, South Road, Taunton, TA1 3LA",,,2017-12-31,,1.39,58,58,Erection of 58 dwellings (inc. 15 affordable),local-authority-eng:TAU,not owned by a public authority,2013-09-06,,permissioned,full planning permission,POINT(-3.095271 51.010647),38/12/0234,https://www.tauntondeane.gov.uk/media/2177/kings-college-south-road.pdf,2017-12-31
