name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BFR1,"137-139 King Street, Great Yarmouth",yes,,2017-12-20,,0.04,6,6,06/04/0783/F. Conversion to 6 flats,local-authority-eng:GRY,not owned by a public authority,2004-10-12,,permissioned,full planning permission,POINT(1.729122 52.604397),BFR1,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2568&p=0,2017-12-20,/brownfield-land/local-authority-eng/GRY/BFR1
BFR2,"Land adjacent Runham Road / North River Road, Great Yarmouth",yes,,2017-12-20,,1.19,24,24,06/05/0866/F. Erection of up to 24 units,local-authority-eng:GRY,not owned by a public authority,2009-04-30,,permissioned,full planning permission,POINT(1.72094 52.615404),BFR2,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2569&p=0,2017-12-20,/brownfield-land/local-authority-eng/GRY/BFR2
BFR3,"Gainsborough Court, Great Yarmouth",yes,,2017-12-20,,0.04,12,12,06/12/0647/F & 06/14/0551/F. Redevelopment (demolition) of former holiday accommodation for up to 12 units,local-authority-eng:GRY,not owned by a public authority,2010-04-27,,permissioned,full planning permission,POINT(1.733659 52.599037),BFR3,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2570&p=0,2017-12-20,/brownfield-land/local-authority-eng/GRY/BFR3
BFR4,"Rear of 5 Marine Parade, Great Yarmouth",yes,,2017-12-20,,0.02,6,6,06/10/0448/F. Redevelopment (demolition) of lean to extension and replacement with 6 flats,local-authority-eng:GRY,not owned by a public authority,2010-10-05,,permissioned,full planning permission,POINT(1.735344 52.601305),BFR4,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2571&p=0,2017-12-20,/brownfield-land/local-authority-eng/GRY/BFR4
BFR5,"Former Ivy House & The Hollies, Burnt Lane / Addison Road , Great Yarmouth",yes,,2017-12-20,,0.26,18,18,06/16/0189/F. Redevelopment (demolition) of 2 existing buildings and replacement with 18 flats,local-authority-eng:GRY,not owned by a public authority,,,pending decision,,POINT(1.725011 52.585926),BFR5,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2572&p=0,2017-12-20,/brownfield-land/local-authority-eng/GRY/BFR5
BFR6,"Former Claydon High School, Beccles Road, Gorleston, Great Yarmouth",yes,,2017-12-20,,5.08,113,113,06/15/0737/F. Redevelopment of site to provide up to 113 residential units,local-authority-eng:GRY,not owned by a public authority,,,pending decision,,POINT(1.71416 52.584387),BFR6,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2573&p=0,2017-12-20,/brownfield-land/local-authority-eng/GRY/BFR6
BFR7,"31/31A Hall Plain, Great Yarmouth",yes,,2017-12-20,,0.02,6,6,06/13/0391/F. Formation of 6 residential flats,local-authority-eng:GRY,not owned by a public authority,2013-08-21,,permissioned,full planning permission,POINT(1.725705 52.606097),BFR7,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2574&p=0,2017-12-20,/brownfield-land/local-authority-eng/GRY/BFR7
BFR8,"137 Mill Road, Great Yarmouth",yes,,2017-12-20,,0.04,10,10,06/14/0592/F. Demolition of existing building and replacement with 10 self-contained apartments,local-authority-eng:GRY,not owned by a public authority,2014-12-01,,permissioned,full planning permission,POINT(1.720639 52.606112),BFR8,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2575&p=0,2017-12-20,/brownfield-land/local-authority-eng/GRY/BFR8
BFR9,"Te-aroha, Albert Square, Great Yarmouth",yes,,2017-12-20,,0.12,7,7,06/14/0096/O. Demolition of existing bungalow and replacement with 8 dwellings,local-authority-eng:GRY,not owned by a public authority,2014-06-02,,permissioned,outline planning permission,POINT(1.734188 52.599533),BFR9,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2576&p=0,2017-12-20,/brownfield-land/local-authority-eng/GRY/BFR9
BFR10,"5-6 Nelson Road South, Great Yarmouth",yes,,2017-12-20,,0.02,5,5,06/15/0647/F. Change of use from hostel to 6 residential flats,local-authority-eng:GRY,not owned by a public authority,2015-12-21,,permissioned,full planning permission,POINT(1.733408 52.600079),BFR10,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2577&p=0,2017-12-20,/brownfield-land/local-authority-eng/GRY/BFR10
