site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Building 1 (DAF Trucks) Kingsmead Business Park Howland Road Thame, OX9 3FB",yes,,2018-12-21,,1.14,45,45,Change of use from offices (Class B1) to residential (Class C3) to comprise 45 flats with ancillary facilities and parking.. http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S4127/PDO,local-authority-eng:SOX,not owned by a public authority,2018-01-17,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S4127/PDO,permissioned,other,POINT(-0.958559 51.741176),P17/S4127/PDO,http://www.southoxon.gov.uk/sites/default/files/P17_S4127_PDO-V2.pdf,2018-12-03,brownfield-land/local-authority-eng/SOX/P17-S4127-PDO
The Railway Hotel24 Station RoadWheatley OX33 1ST,yes,,2018-12-21,,0.26,15,15,"Demolition of the former Railway Inn and the creation of 16 retirement dwellings for people aged 55 and over, repositioning of vehicular and pedestrian access into the site and associated open space and landscaping.. http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S1865/FUL",local-authority-eng:SOX,not owned by a public authority,2018-03-23,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S1865/FUL,permissioned,full planning permission,POINT(-1.139877 51.746373),P17/S1865/FUL,http://www.southoxon.gov.uk/sites/default/files/P17_S1865_FUL-V2.pdf,2018-12-03,brownfield-land/local-authority-eng/SOX/P17-S1865-FUL
69 - 71 Peppard Road Sonning Common RG4 9RN,yes,,2018-12-21,,0.17,6,6,"Demolition of existing dwellings and erection of three pairs of semi-detached dwellings (2 x 2-bedroom, 2 x 3-bedroom, 2 x 4-bedroom) and two 3-bay carports and formation of new vehicular access (number of dwellings reduced, layout and design altered as shown on amended plans received 18th January 2018). http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S3501/FUL",local-authority-eng:SOX,not owned by a public authority,2018-02-16,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S3501/FUL,permissioned,full planning permission,POINT(-0.976157 51.517736),P17/S3501/FUL,http://www.southoxon.gov.uk/sites/default/files/P17_S3501_FUL.pdf,2018-12-03,brownfield-land/local-authority-eng/SOX/P17-S3501-FUL
Townlands Hospital York Road HENLEY-ON-THAMES RG9 2EB,yes,,2017-12-22,,2.40,97,97,"The amended scheme (P15/S2956/FUL) results in an additional assisted unit, therefore the proposal includes a 64 bed care home, 34 assisted living units and 12 key worker apartments which totals 110 units overall. However, a care home (Use Class C2) is calculated as 80% of the total (therefore 0.8*64=51). Therefore the overall capacity is 46+51=97.. Proposed health and social well being campus comprising conversion and demolition of existing hospital buildings, structures and walls, and redevelopment of the site to provide replacement 18 bed community hospital, 12 bed palliative care facility, 64 no.bed care home, 45 assisted living units and key worker apartments. http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P12/S1424/FUL",local-authority-eng:SOX,not owned by a public authority,2013-03-19,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P12/S1424/FUL,permissioned,full planning permission,POINT(-0.909224 51.538983),P12/S1424/FUL,http://www.southoxon.gov.uk/sites/default/files/P12S1424FUL_Townlands%20Hospital.pdf,2017-12-22,brownfield-land/local-authority-eng/SOX/P12-S1424-FUL
Didcot A,yes,,2017-12-22,,9.70,400,280,Minimum net dwellings is based on the planning application(P15/S1880/O) as it has a resolution to grant permission. Only the dwellings within South Oxfordshire have been included in the total.. Mixed use redevelopment comprising up to 400 dwellings (120 of which are in Vale of White Horse). http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S1880/O,local-authority-eng:SOX,not owned by a public authority,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S1880/O,pending decision,outline planning permission,POINT(-1.262269 51.617487),P15/S1880/O (SHELAA: 184),http://www.southoxon.gov.uk/sites/default/files/P15S1880O_Didcot%20A.pdf,2017-12-22,brownfield-land/local-authority-eng/SOX/P15-S1880-O--SHELAA--184-
"Woodcote NDP Site 16: Former Reservoir site, Greenmore",yes,,2017-12-22,,0.45,20,20,"Partially Brownfield site. Forms part of a larger site overall.. Erection of 20 new dwellings and formation of new access, driveway and parking including the demolition of the pump house. http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S2685/FUL",local-authority-eng:SOX,not owned by a public authority,2017-05-03,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S2685/FUL,permissioned,full planning permission,POINT(-1.068691 51.527292),P15/S2685/FUL,http://www.southoxon.gov.uk/sites/default/files/P15S2685FUL_Woodcote%20NDP%20Site%2016.pdf,2017-12-22,brownfield-land/local-authority-eng/SOX/P15-S2685-FUL
"Woodcote NDP Site 02: Woodcote Garden Centre, Reading Road",yes,,2017-12-22,,0.24,9,9,Partially Brownfield site. Forms part of a larger site overall.. Demolition of existing garden centre structures and erection of 9 new dwellings. http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S0375/FUL,local-authority-eng:SOX,not owned by a public authority,2017-06-29,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S0375/FUL,permissioned,full planning permission,POINT(-1.065674 51.534551),P16/S0375/FUL,http://www.southoxon.gov.uk/sites/default/files/P16S0375FUL_Woodcote%20NDP%20Site%2002.pdf,2017-12-22,brownfield-land/local-authority-eng/SOX/P16-S0375-FUL
JHHNDP Site U: Wilkins Yard Deanfield Avenue HENLEY-ON-THAMES Oxon RG9 1UE,yes,,2017-12-22,,0.23,23,23,Partially Brownfield site. Forms part of a larger site overall.. Demolition of existing depository and offices and erection of 14 open market and 9 affordable flats. http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S1227/FUL,local-authority-eng:SOX,not owned by a public authority,2017-05-30,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S1227/FUL,permissioned,full planning permission,POINT(-0.908563 51.535245),P16/S1227/FUL,http://www.southoxon.gov.uk/sites/default/files/P16S1227FUL_JHHNDP%20Site%20U.pdf,2017-12-22,brownfield-land/local-authority-eng/SOX/P16-S1227-FUL
"Atalanta Garage, Beggars bush Hill, Benson OX10 6PL",yes,,2017-12-22,,0.33,6,6,"Demolition of garages, workshops and offices and replaced with six dwellings with car parking. http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S3922/FUL",local-authority-eng:SOX,not owned by a public authority,2017-04-28,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S3922/FUL,permissioned,full planning permission,POINT(-1.077913 51.606671),P16/S3922/FUL (SHELAA 200),http://www.southoxon.gov.uk/sites/default/files/P16S3922FUL_Atalanta%20Garage.pdf,2017-12-22,brownfield-land/local-authority-eng/SOX/P16-S3922-FUL--SHELAA-200-
"40 Oakley Road, Chinnor, Oxon, OX39 4ES",yes,,2017-12-22,,0.18,20,6,The minimum number of net dwellings is 20 as it is based on both a prior approval and a permission. The prior approval relates to the change of use of the building to 14 apartments (P16/S4085/PDO) and the permission relates to the conversion of the roof into six flats (P16/S4117/FUL). The two schemes can both be built out on the site.. Convert the existing roof void to create six new flats. http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S4117/FUL,local-authority-eng:SOX,not owned by a public authority,2017-04-03,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S4117/FUL,permissioned,full planning permission,POINT(-0.914981 51.698737),P16/S4117/FUL,http://www.southoxon.gov.uk/sites/default/files/P16S4117FUL_40%20Oakley%20Road.pdf,2017-12-22,brownfield-land/local-authority-eng/SOX/P16-S4117-FUL
