name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BLR/SPA/001,"Former Network Rail Depot, Kings Road, Spalding",yes,,2017-11-22,,1.29,39,26,,local-authority-eng:SHO,not owned by a public authority,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0486-16&from=planningSearch,Not permissioned,,POINT(-0.153864 52.791491),BLR/SPA/001,,2017-11-22,/brownfield-land/local-authority-eng/SHO/BLR-SPA-001
BLR/SPA/002,"Land immediately adjact to Spalding Library, Victoria Street, Spalding",yes,,2017-11-22,,0.14,7,7,,local-authority-eng:SHO,not owned by a public authority,,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0601-17&from=planningSearch,Not Permissioned,,POINT(-0.154791 52.787091),BLR/SPA/002,,2017-11-22,/brownfield-land/local-authority-eng/SHO/BLR-SPA-002
BLR/SPA/003,"Former Glen Farrow premises, land off Spalding Road, Pinchbeck",yes,,2017-11-22,,0.37,5,5,,local-authority-eng:SHO,not owned by a public authority,2018-02-05,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H14-1187-17&from=planningSearch,permissioned,Section 73 Modification,POINT(-0.153326 52.805238),BLR/SPA/003,,2017-11-22,/brownfield-land/local-authority-eng/SHO/BLR-SPA-003
BLR/SPA/004,"36 Holbeach Road, Spalding",yes,,2017-11-22,,0.05,6,5,,local-authority-eng:SHO,not owned by a public authority,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0505-17&from=planningSearch,Not permissioned,,POINT(-0.138332 52.795735),BLR/SPA/004,,2017-11-22,/brownfield-land/local-authority-eng/SHO/BLR-SPA-004
BLR/SPA/005,"Former Welland Hospital Site, Holbeach Road/Roman Bank",yes,,2019-11-26,,0.94,36,36,H16-0459-19,local-authority-eng:SHO,not owned by a public authority,2019-01-15,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0853-17&from=planningSearch,permissioned,reserved matters approval,POINT(-0.13307 52.797046),BLR/SPA/005,,2019-11-26,/brownfield-land/local-authority-eng/SHO/BLR-SPA-005
BLR/SPA/006,"Locksmill Farm including Travel Stop Motel, Cowbit Road, Spalding",yes,,2019-11-26,,1.38,42,26,"Outline planning permission ref. H16-1038-17. At the Planning Committee meeting of 11th November 2020, members resolved to grant planning permission for the development of 42 affordable dwellings, subject to the applicant entering into a Section 106 planning obligation to secure the development as affordable housing, plus LCC Education and NHS England contributions and those Conditions listed at Section 9.0 of the report.",local-authority-eng:SHO,not owned by a public authority,2019-03-05,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1038-17&from=planningSearch,permissioned,outline planning permission,POINT(-0.156272 52.776262),BLR/SPA/006,,2019-11-26,/brownfield-land/local-authority-eng/SHO/BLR-SPA-006
BLR/SPA/007,"Land adjacent 6 Abbey Path, Spalding",yes,,2020-11-17,,0.02,5,5,H16-0008-20,local-authority-eng:SHO,not owned by a public authority,2020-03-06,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0008-20&from=planningSearch,permissioned,full planning permission,POINT(-0.15326 52.786824),BLR/SPA/007,,2020-11-17,/brownfield-land/local-authority-eng/SHO/BLR-SPA-007
BLR/DON/001,"Former Red Cow Hotel, 8 High Street, Donington",yes,,2017-11-22,,0.33,31,31,,local-authority-eng:SHO,not owned by a public authority,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H04-0314-16&from=planningSearch,Not permissioned,,POINT(-0.20341 52.905614),BLR/DON/001,,2017-11-22,/brownfield-land/local-authority-eng/SHO/BLR-DON-001
BLR/DON/002,"Former Royal British Legion, 3 Malting Lane, Donington, PE11 4XA",yes,,2019-11-26,,0.42,6,6,,local-authority-eng:SHO,not owned by a public authority,,,Not permissioned,,POINT(-0.209755 52.903543),BLR/DON/002,,2019-11-26,/brownfield-land/local-authority-eng/SHO/BLR-DON-002
BLR/HOB/001,"19 High Street, Holbeach",yes,,2019-11-26,,0.03,5,5,H09-0586-19,local-authority-eng:SHO,not owned by a public authority,2019-10-01,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H09-0586-19&from=planningSearch,permissioned,full planning permission,POINT(0.015035 52.804009),BLR/HOB/001,,2019-11-26,/brownfield-land/local-authority-eng/SHO/BLR-HOB-001
BLR/LOS/001,"The Bull Hotel, Market Place, Long Sutton",yes,,2017-11-22,,0.64,39,39,,local-authority-eng:SHO,not owned by a public authority,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H11-0123-13&from=planningSearch,Not permissioned,,POINT(-0.012718 52.787512),BLR/LOS/001,,2017-11-22,/brownfield-land/local-authority-eng/SHO/BLR-LOS-001
BLR/PIN/001,"Land to the west of Bear Lane, Pinchbeck",yes,,2017-11-22,,0.26,7,5,,local-authority-eng:SHO,not owned by a public authority,,,Not permissioned,,POINT(-0.16056 52.816967),BLR/PIN/001,,2017-11-22,/brownfield-land/local-authority-eng/SHO/BLR-PIN-001
BLR/PIN/003,"Birchgrove Garden Centre, Surfleet Road, Pinchbeck",yes,,2017-11-22,,2.44,61,49,,local-authority-eng:SHO,not owned by a public authority,,,Not permissioned,,POINT(-0.151511 52.824244),BLR/PIN/003,,2017-11-22,/brownfield-land/local-authority-eng/SHO/BLR-PIN-003
BLR/PIN/004,"Land to the north of Market Way, Pinchbeck",yes,,2017-11-22,,1.32,33,26,,local-authority-eng:SHO,not owned by a public authority,,,Not permissioned,,POINT(-0.161223 52.807941),BLR/PIN/004,,2017-11-22,/brownfield-land/local-authority-eng/SHO/BLR-PIN-004
BLR/SUB/001,"Land to the south of Bridge Road, Sutton Bridge",yes,,2017-11-22,,0.24,6,5,,local-authority-eng:SHO,not owned by a public authority,,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H18-0879-05&from=planningSearch,Not permissioned,,POINT(0.184229 52.769744),BLR/SUB/001,,2017-11-22,/brownfield-land/local-authority-eng/SHO/BLR-SUB-001
