name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BR61-16,"Coombe Valley Road, Dover, Former Barwick Site",yes,,2016-06-20,,0.74,24,24,Under Construction - forms part of a wider allocated site (LA8 - land in Coombe Valley),local-authority-eng:DOV,not owned by a public authority,2013-10-04,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_221339,permissioned,full planning permission,POINT(1.294884 51.132883),BR61-16,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR61-16.pdf,2016-06-20,/brownfield-land/local-authority-eng/DOV/BR61-16
BR68-16,"Land north of River Stour & including part of Sandwich Industrial Estate, Land north of River Stour and including part of Sandwich Industrial Estate",yes,,2016-06-20,,12.2,303,303,Under Construction,local-authority-eng:DOV,not owned by a public authority,2003-07-10,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_148512,permissioned,full planning permission,POINT(1.347032 51.276269),BR68-16,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR68-16.pdf,2016-06-20,/brownfield-land/local-authority-eng/DOV/BR68-16
BR71-16,"Old Folkestone Road, Aycliffe, Site of King Lear PH, Aycliffe",yes,,2016-06-20,,0.15,18,18,,local-authority-eng:DOV,not owned by a public authority,2007-06-21,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_205044,permissioned,,POINT(1.293275 51.113292),BR71-16,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR71-16.pdf,2016-06-20,/brownfield-land/local-authority-eng/DOV/BR71-16
BR87-16,"Discovery Park, Ramsgate Road, Sandwich, Discovery Park",yes,,2016-06-20,,72.3,500,500,Not Started - the housing on this site forms part of a wider mixed use application on a predominantly brownfield site. Expiry date extended from 3 years for approval of reserved matters to 10 years from date of decision,local-authority-eng:DOV,not owned by a public authority,2015-09-02,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_223268,permissioned,outline planning permission,POINT(1.34516 51.287413),BR87-16,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR87-16.pdf,2016-06-20,/brownfield-land/local-authority-eng/DOV/BR87-16
BR89-16,"Former council yard, Molland Lea, Ash, Former council yard, Molland Lea",yes,,2016-06-20,,0.16,5,5,,local-authority-eng:DOV,owned by a public authority,,,Not Permissioned,,POINT(1.277028 51.282659),BR89-16,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR89-16.pdf,2016-06-20,/brownfield-land/local-authority-eng/DOV/BR89-16
BR129-16,"The Old Sorting Office, Charlton Green, Dover, CT16 1AP, Charlton Green Sorting Office",yes,,2016-06-20,,0.69,65,65,Not Started,local-authority-eng:DOV,not owned by a public authority,2016-10-07,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_229059,permissioned,outline planning permission,POINT(1.307303 51.13201),BR129-16,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR129-16.pdf,2016-06-20,/brownfield-land/local-authority-eng/DOV/BR129-16
BR130-16,"Albany Place Car Park, Dover, Albany Place Car Park",yes,,2016-06-20,,0.4,15,15,,local-authority-eng:DOV,owned by a public authority,,,Not Permissioned,,POINT(1.311557 51.123533),BR130-16,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR130-16.pdf,2016-06-20,/brownfield-land/local-authority-eng/DOV/BR130-16
BR133-16,"Coombe Valley, Dover, Land in Coombe Valley",yes,,2016-06-20,,6.78,189,189,Allocated site - part of the site has already been granted permission. See BR60-16 and BR61-16 below. A third application on the Former Motorline Line Site in Coombe Valley has been completed https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_213882. Min homes has been adjusted to take account of this.,local-authority-eng:DOV,not owned by a public authority,,,Not Permissioned,,POINT(1.282334 51.1315),BR133-16,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR133-16.pdf,2016-06-20,/brownfield-land/local-authority-eng/DOV/BR133-16
BR135-16,"Land off Dunedin Drive, Dover, Land off Dunedin Drive",yes,,2016-06-20,,0.26,8,8,,local-authority-eng:DOV,owned by a public authority,,,Not Permissioned,,POINT(1.302196 51.140772),BR135-16,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR135-16.pdf,2016-06-20,/brownfield-land/local-authority-eng/DOV/BR135-16
BR171-16,"East Studdal Nursery, Downs Road, East Studdal, East Studdal Nursery",yes,,2016-06-20,,1,30,30,,local-authority-eng:DOV,not owned by a public authority,,,Not Permissioned,,POINT(1.327922 51.19978),BR171-16,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR171-16.pdf,2016-06-20,/brownfield-land/local-authority-eng/DOV/BR171-16
BR173-16,"Eastry Hospital, Mill Lane, Eastry, Eastry Hospital",yes,,2016-06-20,,3.29,80,80,,local-authority-eng:DOV,not owned by a public authority,2014-04-25,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_223626,pending decision,,POINT(1.305426 51.243496),BR173-16,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR173-16.pdf,2016-06-20,/brownfield-land/local-authority-eng/DOV/BR173-16
BR174-16,"The Old Chalk Pit, Heronden Road, Eastry, The Old Chalk Pit, Heronden Road, Eastry",yes,,2016-06-20,,0.68,20,20,,local-authority-eng:DOV,not owned by a public authority,,,Not Permissioned,,POINT(1.295737 51.242483),BR174-16,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR174-16.pdf,2016-06-20,/brownfield-land/local-authority-eng/DOV/BR174-16
BR181-16,"Prima Windows, Easole Street, Nonington, Prima Windows, Easole Street, Nonington",yes,,2016-06-20,,1.14,35,35,,local-authority-eng:DOV,not owned by a public authority,,,Not Permissioned,,POINT(1.240027 51.223837),BR181-16,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR181-16.pdf,2016-06-20,/brownfield-land/local-authority-eng/DOV/BR181-16
