site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Townlands Hospital York Road HENLEY-ON-THAMES RG9 2EB,yes,,2017-12-22,,2.39569,97,97,"The amended scheme (P15/S2956/FUL) results in an additional assisted unit, therefore the proposal includes a 64 bed care home, 34 assisted living units and 12 key worker apartments which totals 110 units overall. However, a care home (Use Class C2) is calculated as 80% of the total (therefore 0.8*64=51). Therefore the overall capacity is 46+51=97.",local-authority-eng:SOX,not owned by a public authority,2013-03-19,,permissioned,full planning permission,POINT(-0.909224 51.538983),P12/S1424/FUL,,2017-12-22,brownfield-land/local-authority-eng/SOX/P12-S1424-FUL
Didcot A,yes,,2017-12-22,,9.7,280,280,Minimum net dwellings is based on the planning application(P15/S1880/O) as it has a resolution to grant permission. Only the dwellings within South Oxfordshire have been included in the total.,local-authority-eng:SOX,not owned by a public authority,,,pending decision,outline planning permission,POINT(-1.262269 51.617487),P15/S1880/O (SHELAA: 184),,2017-12-22,brownfield-land/local-authority-eng/SOX/P15-S1880-O--SHELAA--184-
"Woodcote NDP Site 16: Former Reservoir site, Greenmore",yes,,2017-12-22,,0.452331,20,20,Partially Brownfield site. Forms part of a larger site overall.,local-authority-eng:SOX,not owned by a public authority,2017-05-03,,permissioned,full planning permission,POINT(-1.068691 51.527292),P15/S2685/FUL,,2017-12-22,brownfield-land/local-authority-eng/SOX/P15-S2685-FUL
"Woodcote NDP Site 02: Woodcote Garden Centre, Reading Road",yes,,2017-12-22,,0.244559,9,9,Partially Brownfield site. Forms part of a larger site overall.,local-authority-eng:SOX,not owned by a public authority,2017-06-29,,permissioned,full planning permission,POINT(-1.065674 51.534551),P16/S0375/FUL,,2017-12-22,brownfield-land/local-authority-eng/SOX/P16-S0375-FUL
JHHNDP Site U: Wilkins Yard Deanfield Avenue HENLEY-ON-THAMES Oxon RG9 1UE,yes,,2017-12-22,,0.231964,23,23,Partially Brownfield site. Forms part of a larger site overall.,local-authority-eng:SOX,not owned by a public authority,2017-05-30,,permissioned,full planning permission,POINT(-0.908563 51.535245),P16/S1227/FUL,,2017-12-22,brownfield-land/local-authority-eng/SOX/P16-S1227-FUL
"Atalanta Garage, Beggars bush Hill, Benson OX10 6PL",yes,,2017-12-22,,0.327171,6,6,,local-authority-eng:SOX,not owned by a public authority,2017-04-28,,permissioned,full planning permission,POINT(-1.077913 51.606671),P16/S3922/FUL (SHELAA 200),,2017-12-22,brownfield-land/local-authority-eng/SOX/P16-S3922-FUL--SHELAA-200-
"40 Oakley Road, Chinnor, Oxon, OX39 4ES",yes,,2017-12-22,,0.181949,20,20,The minimum number of net dwellings is 20 as it is based on both a prior approval and a permission. The prior approval relates to the change of use of the building to 14 apartments (P16/S4085/PDO) and the permission relates to the conversion of the roof into six flats (P16/S4117/FUL). The two schemes can both be built out on the site.,local-authority-eng:SOX,not owned by a public authority,,,permissioned,full planning permission,POINT(-0.914981 51.698737),P16/S4117/FUL,,2017-12-22,brownfield-land/local-authority-eng/SOX/P16-S4117-FUL
"Bloom Buildings, West End, Cholsey, OX10 9LR",yes,,2017-12-22,,0.684657,5,5,,local-authority-eng:SOX,not owned by a public authority,2017-05-19,,permissioned,full planning permission,POINT(-1.163409 51.569205),P16/S4177/FUL (SHELAA 401),,2017-12-22,brownfield-land/local-authority-eng/SOX/P16-S4177-FUL--SHELAA-401-
"Northfield House, 11 Northfield End, HENLEY-ON-THAMES, RG9 2JG",yes,,2017-12-22,,0.0975884,6,6,,local-authority-eng:SOX,not owned by a public authority,2017-05-24,,permissioned,full planning permission,POINT(-0.905187 51.540744),P16/S4234/FUL,,2017-12-22,brownfield-land/local-authority-eng/SOX/P16-S4234-FUL
The Mill at Sonning (Theatre) Ltd Sonning Eye RG4 6TY,yes,,2017-12-22,,0.860672,5,5,Partially Brownfield site. Forms part of a larger site overall.,local-authority-eng:SOX,not owned by a public authority,2017-06-27,,permissioned,full planning permission,POINT(-0.915896 51.476003),P17/S0259/FUL,,2017-12-22,brownfield-land/local-authority-eng/SOX/P17-S0259-FUL
