site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"180 High Street, Tonbridge, Kent, TN9 1BX",yes,,2017-11-24,,0.07,12,12,Demolition of existing office building and the erection of a new structure to provide 12 (twelve) new 1 and 2 bedroom apartments together with 12 on-site car and cycle parking spaces and refuse facilities. Restoration of existing garden and front boundary,local-authority-eng:TON,not owned by a public authority,2015-10-28,https://publicaccess2.tmbc.gov.uk/online-applications/,not permissioned,full planning permission,POINT(0.274958 51.198212),TMBC-BFR-002,,2017-11-24,brownfield-land/local-authority-eng/TON/TMBC-BFR-002
"Ferns Surfacing Ltd, Bellingham Way, Larkfield, Aylesford, Kent",yes,,2017-11-28,,0.53,32,32,"Erection of 32 no. dwellings, access road, car parking and landscaping at Bellingham Way, Aylesford, Kent",local-authority-eng:TON,not owned by a public authority,2016-03-01,https://publicaccess2.tmbc.gov.uk/online-applications/,not permissioned,full planning permission,POINT(0.44726 51.308026),TMBC-BFR-004,,2017-11-28,brownfield-land/local-authority-eng/TON/TMBC-BFR-004
"Cricketts Farm House, Borough Green Road, Ightham, Sevenoaks, Kent",yes,,2017-12-04,,0.71,5,5,"SS BY 18/02931 - The retention, refurbishment and conversion of Crickets Farmhouse into offices with access, parking and landscaping works, and extensions to create a garden room and lobby/entrance area",local-authority-eng:TON,not owned by a public authority,2016-03-14,https://publicaccess2.tmbc.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.295145 51.29527),TMBC-BFR-006,,2017-12-04,brownfield-land/local-authority-eng/TON/TMBC-BFR-006
"The River Centre Medway Wharf Road, Tonbridge, Kent",yes,,2017-12-09,,0.35,,,"Expired Permission: Redevelopment of site to provide 73 residential apartments, 34 units of boarding accommodation for students and conference delegates, lecture and meeting rooms and ancillary facilities, a children's nursery, pedestrian and cycle bridge and associated park",local-authority-eng:TON,not owned by a public authority,2011-06-21,https://publicaccess2.tmbc.gov.uk/online-applications/,not permissioned,,POINT(0.279045 51.194014),TMBC-BFR-009,,2017-12-09,brownfield-land/local-authority-eng/TON/TMBC-BFR-009
"Drayton Road Industial Estate, Tonbridge",yes,,2017-12-13,,1.68,,,,local-authority-eng:TON,not owned by a public authority,,https://publicaccess2.tmbc.gov.uk/online-applications/,not permissioned,,POINT(0.276448 51.186923),TMBC-BFR-011,,2017-12-13,brownfield-land/local-authority-eng/TON/TMBC-BFR-011
,yes,,2017-11-14,,0.28,5,5,"GREEN BELT REFUSED: Planning App 16/03760/FL: Demolition of existing office building and the erection of 10 residential dwellings. Access from existing Quarry Hill Roundabout, provision of public open space, works associated with de-culverting and diversion of the watercourse, sustainable urban drainage systems; associated landscaping, infrastructure and earthworks",local-authority-eng:TON,not owned by a public authority,,https://publicaccess2.tmbc.gov.uk/online-applications/,not permissioned,,POINT(0.302863 51.28841),TMBC-BFR-012,,2017-11-14,brownfield-land/local-authority-eng/TON/TMBC-BFR-012
"Office site, Quarry Hill Rd, Borough Green Land West Of Hermitage Lane And East Of Units 4A 4B And 4C Mills Road Quarry Wood Industrial Estate Aylesford Kent",yes,,2019-12-22,,3.11,64,64,"Hybrid Planning Application: The demolition of all existing buildings and structures and redevelopment to provide a new Centenary Village. Full planning permission for the redevelopment of the site to provide 24 Assisted Living Apartments, 40 Dwellings, Community Hub, Access Roads, Landscaping and Parking (Phase 2). (Outline planning permission for up to 35 Dwellings (all matters reserved) (Phase 3) - on C2 list)",local-authority-eng:TON,not owned by a public authority,,https://publicaccess2.tmbc.gov.uk/online-applications/,permissioned,,POINT(0.474549 51.290383),TMBC-BFR-013,,,brownfield-land/local-authority-eng/TON/TMBC-BFR-013
Tonbridge Chambers Pembury Road Tonbridge Kent TN9 2HZ,yes,,2019-12-22,,0.3,31,31,Prior Notification: change of use from office (Class B1) to residential (Class C3) (Part 3 Class O) to provide 30 x 1 bed units and 1 x 2 bed units,local-authority-eng:TON,not owned by a public authority,,https://publicaccess2.tmbc.gov.uk/online-applications/,permissioned,,POINT(0.269699 51.189357),TMBC-BFR-014,,,brownfield-land/local-authority-eng/TON/TMBC-BFR-014
The Car Company Priory Road Tonbridge Kent TN9 2BW,yes,,2019-12-22,,0.22,30,30,Demolition of existing warehouses (Use class B1) and erection of 14no. 3 bed dwelling with 16no. parking spaces (Use class C3),local-authority-eng:TON,not owned by a public authority,,https://publicaccess2.tmbc.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.279113 51.189884),TMBC-BFR-015,,,brownfield-land/local-authority-eng/TON/TMBC-BFR-015
Taddington Wood North Of Robin Hood Lane Blue Bell Hill Chatham Kent,yes,,2019-12-22,,0.61,5,5,"Outline Application for the erection of 5 dwelling houses and 5 detached garages with associated parking, turning areas and landscaping",local-authority-eng:TON,not owned by a public authority,,https://publicaccess2.tmbc.gov.uk/online-applications/,permissioned,,POINT(0.51356 51.334682),TMBC-BFR-016,,,brownfield-land/local-authority-eng/TON/TMBC-BFR-016
