site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Alderholt Surplus Stores,yes,,2020-01-04,,3.31,89,89,,local-authority-eng:DST,not owned by a public authority,2015-03-24,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,reserved matters approval,POINT(-1.84 50.91),LA/ALDE/017,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-ALDE-017
Flood Lane,,,2020-01-04,,0.59,24,24,,local-authority-eng:DST,owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.76 50.72),LA/BRID/001,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-BRID-001
Dorset Soldier PH,,,2020-01-04,,0.27,14,14,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.02 50.77),LA/CMUL/020,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-CMUL-020
Damers School Site,,,2020-01-04,,1.5,50,50,,local-authority-eng:DST,owned by a public authority,2018-01-10,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,full planning permission,POINT(-2.45 50.71),LA/DORC/004,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-DORC-004
Peveril House 382 - 388,yes,,2020-01-04,,0.17,8,8,,local-authority-eng:DST,not owned by a public authority,2019-10-15,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,full planning permission,POINT(-1.91 50.79),LA/FERN/001,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-FERN-001
The Post Office and 124 Ringwood Road,,,2020-01-04,,0.35,7,7,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-1.91 50.79),LA/FERN/030,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-FERN-030
Timber Vale Caravan Park,,,2020-01-04,,4.23,72,72,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.93 50.74),LA/LYME/004,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-LYME-004
Adult Learning Centre and St Martins Residential Home,yes,,2020-01-04,,0.64,16,16,,local-authority-eng:DST,owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.28 51.04),LA/GILL/015,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-GILL-015
"Churchbury House, Queen Street",yes,,2020-01-04,,0.04,8,8,,local-authority-eng:DST,not owned by a public authority,2018-09-24,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,full planning permission,POINT(-2.28 51.04),LA/GILL/016,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-GILL-016
"Hambro Car Park, Fortuneswell",yes,,2020-01-04,,0.31,10,10,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.44 50.56),LA/PORT/004,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-PORT-004
Islanders Club for young people,,,2020-01-04,,0.21,25,25,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.44 50.57),LA/PORT/005,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-PORT-005
Hammonds Yard,yes,,2020-01-04,,0.14,5,5,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.3 50.93),LA/SNEW/007,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-SNEW-007
